I brought ... and gave ... where ... 	Babylon, my capital city, they saw my ... and ... their ... 
Bit-Zabidi ... 	... Bit-Dakuri ... 
What are these words of yours ... 	Just as you have prepared a fine career for these sons of yours,  prepare likewise a fine career for (the rest) of your numerous sons!  Bring them into (your protective) shadow and shelter! May they like  grass seed rule over all countries! May you be good to Assyria — may  Assyria be good to you!
... made it pass by	... and to Babylon ... 
Hulî, servant of NN —	Witness Ubru-Issar, servant of ... 
shall place 10 minas of silver (and) one mina of gold in the lap of Inurta residing in Calah, and shall return the money tenfold to its owner. He shall contest in his  non-lawsuit and not succeed.	shall place 10 minas of refined silver (and) x minas of pure gold in the lap of Ninurta residing in Calah, and shall return the money tenfold to its owners. He shall contest in his lawsuit and not succeed.
... I shall forward.	... I shall give ... 
Written on the pedestal of the great lord, the god Marduk.	I had foundation inscriptions made of silver, gold, bronze, lapis lazuli, alabaster, basalt, pendû-stone, elallu-stone, (and) white limestone, (as well as) inscribed objects of baked clay, and (then) I depicted on them hieroglyphs representing the writing of my name. I wrote on them the might of the great hero, the god Marduk, (and) the deeds that I had done, my pious work, (and) I placed (these inscriptions) in the foundations (and) left (them) for far-off days.
Seal of Marduk-napšati-... , owner of the ... being sold.	Fingernail of Aššur-na'di, son of Mardanu, owner of the man being sold.
On the day that he pays the silver, he shall redeem his land.	The day that he pays back the silver in full, he shall enter his house.
... , whether Aplaya, scribe.	at the disposal of Nabû-... , the scribe.
Witness Ubbuku.	Witness Ubru-Issar, servant of ... 
... presented ... , saying: "... 	(I), Ninurta-kudurrī-uṣur ... son of Šamaš-rēša-uṣur ... descendant ... descendant ... son ... 
Witness Nusku-emuranni.	Witness Šamaš-remanni. Ubru-Issar.
x+20 male goats, 100 female goats, 	30 rams, 250 bearing ewes, 200 1-year-old (lambs), 3 male goats, 10 bearing female goats, 7 1-year-old (kids). Total 480 white sheep, 20 goats.
The priest of Aššur ... before Šerua ... 	The priest of Aššur offers hand-water to the Lady-of-the-Mountain and to the king, and places a rib on the terrace before the Seven Gods.
I improved ... ; the people ... 	(The god) Aššur, the father of the gods, the one who ... , the bridle that controls ... ; the god Anu, the powerful, ... whose ... cannot be altered, ... ; the god Ea, the wise, the lord ... who casts ... down on grassland, ... ; the god Enlil, the greatest lord, the foremost of ... ; the god Sîn, the pure god, the lord of the crown, the one who ... the one who widens ... ; the god Šamaš, the exalted judge, ... ; the god Adad, the canal inspector of heaven and earth, the one who gives ... to the people ... 
an estate of 300 (hectares) of field, a house, an orchard of 5  hectares ... 	An estate of x hectares of land, a house, a threshing floor, ... , irrigated land in Šibaniba;
... below her.	... wherever he goes ... 
... of the palace ... a wooden box ... 	saying: "I will ... in the palace. One of you ... "
whether Nabû-... or his sons seeks a lawsuit or litigation against Ninuayu, and his brothers	Whoever in the future, at any time, lodges a complaint and breaks the contract, whether Nabû-belu-uṣur or his sons or his grandsons, and seeks a lawsuit or litigation against Abdunu, his sons and his grandsons,
A mare in ... 	Perhaps the king will say: "Have they started a lawsuit against somebody?" By Bel, Nabû, (and) the gods of the king ... , I sent these words to the king, my lord, only today. May the lord of kings do as he deems best, and may Enlil, Šamaš and Marduk, the great gods, and the gods of Nippur and Babylon lengthen the days of the king, my lord.
Total 26 ... 	Nabû-ušabši, the haruspex, has incited the ... , the palace supervisor, and the magnates against me. I have sent ... a letter about it to the king, my lord. The king should summon him and have him brought in. He must not conceal ... 
... in the middle ... there is a 'request'-mark... 	Above the 'increment' there is a 'request'-mark... 
5 urnutu-garments, ditto, ditto, ditto, ... ;	3 hectares, ditto, ditto, ditto, palace herald; 1 house.
in your hearts conceive and put into words an ugly scheme or an evil plot against your lord Assurbanipal, king of Assyria,	anyone (of you) who should ... fabricate and carry out an ugly and evil thing or a revolt against your lord Assurbanipal, king of Assyria,
In my tenth regnal year I crossed the Euphrates for the eighth time. <I captured> the cities of Sangara, the Carchemishite. Moving on from the cities of the Carchemishite I approached the cities of Aramu (and) captured Arne, his royal city, together with one hundred cities in its environs.	In my tenth regnal year I crossed the Euphrates for the eighth time. I razed, destroyed, (and) burned the cities of Sangara, the Carchemishite. Moving on from the cities of the Carchemishite I approached the cities of Aramu (and) captured the city Arne, his royal city. I razed, destroyed, (and) burned (it) together with one hundred cities in its environs. (ii 60) I massacred them (and) plundered them. At that time, Hadad-ezer (Adad-idri), the Damascene, (and) Irḫulēnu, the Ḫamatite, together with twelve kings on the shore of the sea, trusting in their united forces, attacked me to wage war and battle. I fought with them (and) (ii 65) defeated them. I took from them their chariotry, cavalry, and military equipment. To save their lives they ran away.
... the heart of Nabû-ahu-ereš	... the heart of the king, our lord
... in truth to my lord ... 	... his ... in the town of ... 
10 shekels of silver ... 	Šulmu-šarri, ... has contracted and bought it for 1/2 mina of silver ... 
The governor and the people of the Inner City ... 	(As for) the governors, the nobles, and the people of the city Ekron (ii 70) who had thrown Padî, their king who was bound by treaty and oaths to Assyria, into iron fetters and who had handed him over to Hezekiah of the land Judah in a hostile manner, they became frightened on account of the villainous acts they had committed. They formed a confederation with the kings of Egypt (and) the archers, chariots, (ii 75) (and) horses of the king of the land Meluḫḫa, forces without number, and they came to their aid.
Bel-sharrani,	Sin-... , son of Bel-Harran-ilê, ... 
I heard of this and sent word to Bel-iqbi; he came and we went together to meet the booty. He saw us, ambushed us from behind, and we had a fight. 1,500 booty sheep from the city of Huzaza, 1,500 sheep ... city of ... , ... 2 men ... men ... 	I heard of this and sent word to Bel-iqbi; he came and we went together to meet the booty. He saw us, ambushed us from behind, and we had a fight. 1,500 booty sheep from the city of Huzaza, 1,500 sheep ... city of ... , ... 100 men ... men ... 
10 ditto, in the inner precinct;	3 (whole) oxen, in the inner precinct;
When I had seized ... 	... The towns which have been given ... to the king's offspring, which ... oxen and sheep ... 
the interior of the land Nirbu. I brought within the boundaries of my land (the territory stretching) from the passes of Mount Kirruru to the land Gilzānu, from the opposite bank of the Lower Zab to the city Tīl-Bāri which is upstream from the land Zaban, from the city Tīl-ša-Abtāni to the city Tīl-ša-Zabdāni,	With the help of the gods Šamaš and Adad, the gods my supporters, I thundered like the god Adad, the devastator, against the troops of the lands Nairi, Ḫabḫu, the Šubaru, and the land Nirbu. The king who subdued (the territory stretching) from the opposite bank of the Tigris to Mount Lebanon and the Great Sea, the entire land Laqû, (and) the land Sūḫu including the city Rapiqu; he conquered from the source  of the River Subnat to the land Urarṭu. I brought within the boundaries of my land (the territory stretching) from the passes of Mount Kirruru to the land Gilzānu, from the opposite bank of the Lower Zab to the city Tīl-Bāri which is upstream from the land Zaban, from the city Tīl-ša-Zabdāni
If Jupiter becomes visible in Tishri (VII): enemy kings will receive peace.	If Jupiter becomes steady in the morning: enemy kings will make peace; one king will send peaceful messages to another.
... ; NN, ... telû, in all 2 ... , ... 	... , NN, ... ša, in all 2 farmers and their people,
To Nabû-duri-uṣur, my lord: your servant Rimutte. Good health to my lord!	To the king, my lord: your servant Balasî. Good health to the king, my lord!
mutually ... 	News of Merodach-Baladan: he is in Babylon... will not overthrow him but ... 
Disregard that treachery ... 	Disregard that an unclean person has performed extispicy in this place... 
Whoever in the future breaks the contract, whether Remanni-ilu or his ... or any relative of his, and seeks a lawsuit or litigation against Inurta-ila'i, shall pay one mina of refined silver and x minas of pure gold to the god ... residing in ... 	Whoever in the future, at any time, breaks the contract, whether Sin-nadin-ahi or his sons or relatives, and seeks a lawsuit or litigation against Sin-šarru-uṣur and his sons, shall pay 10 minas of silver, 5 minas of gold, and four white horses to Sin residing in Harran, and shall return the silver tenfold to its owners. He shall contest in his lawsuit and not succeed.
For the god Marduk, his lord: Ashurbanipal, king of the world (and) king of Assyria, for the sake of his life had baked bricks made anew for Etemenanki.	For the god Asari, great lord, his lord: Ashurbanipal, king of the world (and) king of Assyria, son of Esarhaddon, king of the world, king of Assyria, (and) king of Babylon, for the sake of his life had Etemenanki constructed anew.
... does not know him ... 	... says: "Marduk-šarrani has said to the son of Yakin: '... who knows the shepherd ... who lays your throne in your hands ... And I ... of Assyria ... does not sin ... '"
shall place ... in the lap of Ištar residing in Nineveh, and shall return the money tenfold to its owners.	shall place 10 minas of refined silver (and) x minas of pure gold in the lap of Ninurta residing in Calah, and shall return the money tenfold to its owners. He shall contest in his lawsuit and not succeed.
... the governor of Arrapha to the city of ... 	for the governor of Arrapha, the road in question is very slow. He sets out from Zaban, and it takes him three days to get there, while I can make a round-trip to Parsua going this way.
My brother Bel-apla-iddin	Whoever in the future, at any time, lodges a complaint and breaks the contract, whether Bel-aplu-iddina or his sons, grandsons, brothers or nephews, or ... , or any relative of his,
... When the designers ... my names	they do not agree to ... When the men ... 
Now I am gathering troops in Meturna, as the king, my lord, wrote to me. I am waiting for the messenger of the king, my lord.	now then he has completed the 100 days, and his kingship is finished. As the king, my lord, wrote to me I am waiting for the ... ; the king, my lord, should know (this).
1 basket of silver;	Whoever in the future, at any time, breaks the contract, whether Sin-nadin-ahi or his sons or relatives, and seeks a lawsuit or litigation against Sin-šarru-uṣur and his sons, shall pay 10 minas of silver, 5 minas of gold, and four white horses to Sin residing in Harran, and shall return the silver tenfold to its owners. He shall contest in his lawsuit and not succeed.
Issar-na'id, ... ;	Witness Issar-na'id.
... who against the house of Daltâ	Concerning that ... who got ill, ... rituals against the loss of flesh are being performed. We are performing numerous effective counterspells. The king, my lord, can be at ease.
Now I have ... ed the royal bodyguard ... who came	And whoever wrote to the king, my lord, saying: "The day is not auspicious," does he in the same way tell  the king the day which ... ? ... Now then, I have performed the ritual which the king commanded me. Let  the king send the royal bodyguard ... who ... the rituals.
Those who entreat ... 	He trod, he entered ... 
Witness Immani-il, ... 	Witness Azi-il, scribe.
... in ... ; ... 	Just as I saw, ... in ... 
As to what the king, my lord, wrote me: "The ... ean who ... 	As to what the king, my lord, wrote to me: "When are they going to cast the gate column-bases for the portico of the hilānu palaces?"
Written in the month Kislīmu, on the first day.	In the month Kislīmu, the fourth day, I marched to the land Ḫabḫu. I conquered the lands Bāzu, Sarbaliu, (and) Didualu together with the cities on the banks of the River Rūru of the land Meḫru. I brought forth their booty (and) possessions (and) brought (them) to my city Aššur.
... the moon is seen with the sun ... Subartu ... Subartu.	... the moon will be seen with the sun ... it will let the eclipse pass by.
... We are the goddesses	... that house ... all ... the goddess Šerua ... which he/they donated and (re)built their ... had become dilapidated. I removed their ruined portions. I (re)built them from top to bottom (and) restored them. I deposited my monumental inscription.
Their nonexistence ... 	... into the presence ... 
... hewn ... s, (and) the bull colossus	... large ... the left ... (rev. 5') the gods ... , Nabû, Ištar of ... shining face ... abundance of the four quarters ... to my reign ... the bull colossus and the deity who makes safe the path of my royal person ... 
To Sargon, king of the universe, my lord: Your servant Balassu. May Nabû and Marduk bless the king, my lord! Say to the king, my lord:	Your servant Bel-iqiša: I would gladly die for the king of the universe, my lord! May Nabû and Marduk bless the king, my lord! Say to the king, my lord:
from my servants ... 	Witness Ubru-Issar, servant of ... 
I shall release ... to the god ... 	... Aššur to the king, my lord ... 
... on the 5th day is surrounded by a halo and ... 	If the moon is surrounded by a halo, and two stars stand in the halo with the moon: a reign of long days.
Šišlu             	Marduk-bani-zeri             
Witness Aššur-ahhe-uṣur. Witness Libbalayu.	Witness Buru-abu-uṣur. (Witness) Adad-naṣir.
Witness Ahu-la-amašši, palace farmer from the town of Mera.	Witness Ahu-la-amašši, palace farmer. Witness Nabû-naṣir, also a palace farmer.
if the 'hand' of god ... is placed on him in extispicy, is it decreed and confirmed in a favorable case, by the command of your great divinity, Šamaš, great lord?	Is the killing, plundering (or) looting of Ša-Nabû-šû, chief eunuch of Esarhaddon, king of Assyria, who is on a mission in Egypt, decreed and confirmed in accordance with the command of your great divinity, Šamaš, great lord? Will he who can see, see it? Will he who can hear, hear it?
May one of the kings, my descendants, whom the god Aššur names to rule over the land and people, read my foundation inscription, (viii 10) anoint (it) with oil, make an offering, (and) return (it) to its place. The god Aššur will (then) hear his prayers.	In the future, may one of the kings, my descendants, whom the god Aššur names for shepherding the land and people, renovate its dilapidated section(s) when that palace becomes old and dilapidated. May he find an inscribed object bearing my name, anoint (it) with oil, make an offering, (and) return (it) to its place. The god Aššur will (then) hear his prayers.
To the king, my lord: your servant Ṭab-šar-Aššur: Good health to the king, my lord!	To the king, my lord: your servant Mar-Issar. Good health to the king, my lord! May Nabû and Marduk bless the king, my lord! May the great gods bestow lasting days, well-being and joy upon the king, my lord!
Fingernail of Kiqillanu, ... , owner of the people being sold.	Seal of Bel-aplu-iddina, chief singer of Til-Barsip, owner of the people being sold.
Moreover, (as for) Hezekiah of the land Judah, who had not submitted to my yoke, I surrounded (and) conquered forty-six of his fortified cities, (iii 20) fortresses, and small(er) settlements in their environs, which were without number, by having ramps trodden down and battering rams brought up, the assault of foot soldiers, sapping, breaching, and siege engines. I brought out of them 200,150 people, young (and) old, male and female, (iii 25) horses, mules, donkeys, camels, oxen, and sheep and goats, which were without number, and I counted (them) as booty.	Moreover, (as for) Hezekiah of the land Judah, who had not submitted to my yoke, I surrounded (and) conquered forty-six of his fortified cities, fortresses, and small(er) settlements in their environs, which were without number, by having (iii 20) ramps trodden down and battering rams brought up, the assault of foot soldiers, sapping, breaching, and siege engines. I brought out of them 200,150 people, young (and) old, male and female, horses, mules, donkeys, camels, (iii 25) oxen, and sheep and goats, which were without number, and I counted (them) as booty.
Adda-kupa, 	Witness Adda-rapa', son of Nabû-eṭir.
in all, 4: the 'residences' of the Dikanaeans.	in all, x: the 'residences' beneath the Window.
... suati	... and shall send ... 
... fish, Aššur-šarru-uṣur,	Witness Aššur-šarru-ušur, chariot driver ... 
Gadâ, ša šēpi guard;	Witness Issar-nadin-ahhe, ša šēpi guard.
If the sun stands in a halo of the moon: they will speak the truth in all lands; the son will speak the truth with his father.	If the moon is surrounded by a halo, and the sun stands in it: there will be truth in the land; the son will speak the truth with his father.
Lu-ahhe, his servant —	The governor threw the sceptre from his hands, placed his arms on his chest, and said: "You are his servants! What are you saying? You ... your dynastic house! I ... your city."
... s of the king:	Perhaps the king will say: "Have they started a lawsuit against somebody?" By Bel, Nabû, (and) the gods of the king ... , I sent these words to the king, my lord, only today. May the lord of kings do as he deems best, and may Enlil, Šamaš and Marduk, the great gods, and the gods of Nippur and Babylon lengthen the days of the king, my lord.
To the king, my lord: your servant, Nabû-ašared. May Aššur and Ešarra bless the king.	To the king, my lord: your servant Mar-Issar. Good health to the king, my lord! May Nabû and Marduk bless the king, my lord! May the great gods bestow lasting days, well-being and joy upon the king, my lord!
1, chief treasurer;	Mušezib-ilu, deputy of the chief tracker;
At that time I controlled (as) with a bridle the land of the Papḫu, the lands Katmuḫu, Buššu, Mummu, Alzu, Madanu, Niḫanu, Alaia, Tepurzu, Purulumzu (and) the entire extensive land of the Šubaru. I subdued at my feet the kings, their leaders, and imposed (upon them) corvée. With my surpassingly strong might I frequently traversed impassable rocky mountains the paths of which no other king knew. Forty kings of the lands Nairi fiercely took up a position for armed conflict. I fought with them (and) brought about their defeat. I caused their blood to flow into the caves and ravines of the mountains. (Thus) I became lord of all their lands and levied upon them tribute and impost forever.	At the beginning of my sovereignty (lit. at the beginning of the throne of my sovereignty), at the beginning of my reign, I uprooted 28,800 Hittite people from Syria (lit. “Beyond the Euphrates”) and led (them) into my land... I conquered the lands of the Papḫu (and) Uqumanu as far as the lands Šarnida (and) Meḫru. Annually I regularly received the tribute of their lands and the produce of their mountains. (As) with a bridle I controlled the lands Katmuḫu, Buššu, Alzu, Madanu, Niḫanu, Alaia, Tepurzu, Purulumzu, (and) the entire land of the extensive Šubaru. I subdued at my feet the kings, their leaders, and imposed (upon them) corvée. With my surpassingly strong might I frequently traversed mighty mountains (and) extremely difficult ranges, the paths of which no other king knew. I cut into their mountains with copper picks (and) widened their impassable paths. I did battle with forty kings of the lands Nairi (and) brought about the defeat of their army. (Thus) I became lord of all their lands. I fastened bronze clasps to the necks of those same kings of the lands Nairi (and) brought them to Ekur, the great mountain, the temple of my support, into the presence of the god Aššur, my lord. I made them swear by the great gods of heaven (and) underworld (and) levied upon them tribute and impost forever.
... in(to) the presence	Concerning ... from Tabal and Que about whom they wrote to me  from the Palace - let Aššur, Bel (and) Nabû come into the presence of the king as soon as they lay their ... in Ṭurušpâ and their ... s from ... are visiting  the crown prince in Assyria.
Total, (in) the village of Bel-abu'a, near the town of Dumâ, in Kipani.	Total, in the village of Kaparu, near the city of Harran, in its entirety.
2 'litres' of small bread loaves, 4 thick bread loaves.	1 'litre' of small loaves of bread; 1 thick loaf of bread;
Disregard that they (may) think about it, but turn back and go away... 	Disregard what happens after my stipulated term. Disregard that they (may) think about it, but turn and ... 
... Ga... 	... — ... -ili
fifty men ... 	... tables, ... , one litre of vegetables ... , one litre of ... s, one litre of pears, x (loaves of) huhhurtu-bread, five cuts of mutton, one-fifth of ... meat of fish and birds, candy, fruit. 
Witness Nabû-nadin-apli, scribe.	Witness Nabû-bel-šumati, scribe.
Witness Nabû-kabti-ahhešu, scribe, keeper of the tablet.	Witness Nabû-eṭir-napšati, scribe, keeper of the tablet.
... s, drainage pipes	Furiouly, I overwhelmed the region around that district like a fog and compacted the length and breadth (of it) like ice. In a lordly manner, I entered the city Ulḫu, the city where Ursâ (Rusâ) went for relaxation, and walked about triumphantly in the palace (that had been) his (own) royal abode. With iron axes and iron spades, I smashed its strong (city) wall, which had been built with (blocks of) massive mountain stone, as if (it were) a pot, and leveled (it) down to the ground. I tore out the lengthy beams of juniper (that formed) the roof of his palace, cut (them) up with pickaxes, and took (them back) to Assyria. I opened up his granaries (and) storehouses and (then) fed my army his abundant grain in unlimited quantities. (220) I entered his hidden wine cellars, and the extensive troops of the god Aššur drew sweet wine (to drink) from waterskins (and) leather buckets as if (it were) river water. I blocked up the outlet of the canal, the canal on which he relied (to provide water), and turned the abundant water (supply) into a swamp. I stopped up the irrigation ditches (and) drainage pipes that forked off from its (the canal’s) center, and exposed ... their pebbles to the sun. I had my fierce warriors enter his well-kept gardens, (which provide) the general impression of his city (and) which were (so) studded with fruit trees and grapevines that they dripped (fruit as abundantly) as a rainfall, and they (the warriors) made the noise of (their) iron pickaxes resound like (the thunder of) the god Adad. (225) They picked a great deal of its fruit, a countless amount, and did not leave (any) for the weary heart to smile about in the future. I (cut down and) spread out his large trees, the ornaments of his palace, like malt (spread out for drying); I made his famous city disgusting and its district a subject of revilement. I gathered up those logs — all the trees that I had chopped down —, piled (them) up in heaps, and set them on fire. I tore out by the roots their abundant crops, which are as countless as reeds in a canebrake, and did not leave even a (single) ear of barley to allow the identification of what had been destroyed. (With regard to) his well-kept field(s) that were spotted with colored flecks like polished lapis lazuli and (whose) meadowland(s) were planted with new vegetation and young shoots, (230) like the god Adad, I trampled (it) down with (my) chariotry, (my) cavalry, (and) the passage of my infantry, and I turned the meadows that his horses had relied on (for pasture) into wasteland. (With regard to) the city Sarduriḫurda, their large fortress, together with fifty-seven settlements in the environs of the district Sangibutu, I destroyed all of them, leveling (them) down to the ground. I set fire to their roof-beams and turned (them) into ashes.
The priest of Anu, the priest of Adad, the priest of DN, the priest of the Assyrian (Ištar), and the priest of Nabû ... in the rikshaw	The priest of Anu, the priest of Adad, the priest of Šarrat-nipha, the priest of the Assyrian Ištar, the priest of Nabû and Tašmetu, the priest of Kuruš-kadru, the priest of DN, the priest of DN, the priest of DN, the priest of DN. 
Whoever in the future ... 	Whoever in the future, at any time, breaks the contract, whether Sin-nadin-ahi or his sons or relatives, and seeks a lawsuit or litigation against Sin-šarru-uṣur and his sons, shall pay 10 minas of silver, 5 minas of gold, and four white horses to Sin residing in Harran, and shall return the silver tenfold to its owners. He shall contest in his lawsuit and not succeed.
... the kingship and Bel-ibni	You shall neither change nor alter the word of Esarhaddon, king of Assyria, but serve this very Assurbanipal, the great crown prince designate, whom Esarhaddon, king of Assyria, your lord, has presented to you, and he shall exercise the kingship and dominion over you.
... they are in Babylon	Concerning the laying of the gate(s) in Babylon,  about which the king, my lord, wrote to me, saying:  "Go lay it," it has been laid. The gate of the temple of Ea has been laid too,  and we will lay those of the perimeter of Esaggil and of ... 
... you did not cheat ... 	... shore of the sea ... did not have ... 
... attacked ... 	let him attack ... the archers
... their heart	... they removed again
I know (that) the crown prince, my lord,	What are the written instructions of the crown prince, my lord? May Bel and Nabû, who are betrothed in the month of Shebat (XI), protect the life of the crown prince, my lord. May they extend your kingship to the end of time.
17 shekels of silver belonging to Ištar of Arbela, belonging to Nabû-iqbi, at the disposal of Mutaqqin-Aššur, at the disposal of Aššur-reši-išši.	5 bread offering-tables including their huhurtu breads, 10 (loaves) of huhurtu bread of 1 'litre' each, with utensils, and 6 shekels of silver belonging to the Sibitti and belonging to Nabû-šarru-ukin, at the disposal of Ša-la-maše and at the disposal of Girittu.
1 pot stand, for the ritual;	Concerning what the king, my lord, said about the clothes: "Where will the clothes be placed?" or about the people: "Why will the people be present?" — the clothes should be placed before Šamaš, and she should 'cast the solvents' upon them. A sacred woman will be there to perform a certain rite. The people should be present and perform their rituals. Thereupon an exorcist will take over.
The 8th of Nisan (I). 	(On the) 14th day of month of Nisan (I) he led the oxen away.
— ... and stands with Regulus.	If Regulus is black: the commander of the palace will die. — Mercury stands together with Regulus.
Month ... , 16th day, eponym year of Zababa-eriba.	Month Tishri (VII), 20th day, eponym year of Gabbaru.
If (the moon) becomes visible on the 1st day: reliable speech; the land will become happy.	If on the 14th day the moon and sun are seen together: reliable speech; the land will become happy; the gods will remember Akkad favorably; the king will become happy; joy among the troops; the cattle of Akkad will lie in the steppe undisturbed.
... of Milki-... 	The king, my lord, should examine the crimes ... of all ... s, have compassion on those whose crimes are light like breath, count (them) among his servants, and appoint them to the royal service.
son of Bi-Dadi,	A vacant lot adjoining Nurtî, a garden, an estate of 1 hectare 6 decares of land in the town of Bit-Dagan, adjoining the garden of Arbailayu, (the estate of) Qurdi-Issar, the canal of Adian, and (the estate) of Bel-taklak —
1 cooking pot of copper;	20 large cooking pots of copper, of two homers (capacity) each;
In the future, in days to come, may a later prince, when this wall becomes old and dilapidated, restore its weakened (portions). May he restore my inscribed name to its place. (Then) the god Aššur, the great lord, will listen to his prayers.	In the future may a later prince, when that palace becomes old and dilapidated, restore it. May he anoint with oil my monumental inscription, make sacrifices, (and) return (it) to its place. (Then) the gods Aššur and Adad will listen to his prayers.
... the Kišites ... 	... he escaped ... in fear.
Remanni-Adad, chariot driver, has contracted and bought (said people) from these gentlemen for x minas of silver (by the mina) of Carchemish.	Remanni-Adad, chief chariot driver of Assurbanipal, king of Assyria, has contracted and bought it for 10 minas of silver by the (mina) of Carchemish from Bel-šarru-uṣur, Nabû'a and Aššur-ši'i.
when help ... 	Disregard that a clean or an unclean person has touched the sacrificial sheep, or blocked the way of the sacrificial sheep... 
If the moon rides a chariot in month Sililiti: the dominion of the king of Akkad will prosper, and he will capture his enemies.	If the moon rides a chariot in month Sililiti: the dominion of the king of Akkad will prosper, and his hand will capture his enemies. Sililiti is Shebat (XI).
you have turned the palace into a ... 	Enthusiastically he entered the palace of ... ; he arranged the festival of the Lady of Arbela in Milqia.
... back ... 	... — ... -ili
Land of Melid, Philistia	... a royal city of the land Philistia that ... -Yaū (Hezekiah) had taken away (and) fortified, and (then) ... like a bush ... it was surrounded by tall towers and was exceedingly difficult ... the palace was secured before them like a mountain and rose  ... was dark, the sun did not illuminate it. Its waters were forever in darkness and its outflow ... its mouth had been hacked out with axes, the moat adjacent to it was deep, and ... 
Witness Sangû-Issar.	Witness Ubru-Issar, servant of ... 
The deportees and the pack animals are well; the king, my lord, can be pleased.	To the king, my lord: your servant Il-yada'. Good health to the king, my lord! The land and the forts of the king my lord are well. The king, my lord, can be glad.
Witness Addî, chariot driver.	Adad-ahhe-šallim, chariot driver;
from my presence ... 	... into the presence ... 
(When) I am angry in my temple, who ... ?	I am distressed, I am wrathful, I am angry ... (When) I am distressed, who ... ?
2 of carnelian ... ;	20,000 stalks of vine ... ;
I.e., it becomes visible on the 1st day.	If the moon becomes visible on the 1st day: reliable speech, the land will become happy.
Witness ... ṣu, eunuch ... 	Witness Ala... ru, Ahu-edi.
12 cavalry horses, ... 	We have given millstones, household utensils, and pigs to  these 50 cavalrymen ... 
... Borsippa  ... 	From Šapiku of Borsippa.
Witness Banî, scribe.	Witness Azi-il, scribe.
(and) of Susu'a, ... 	... the land of Raši ... 
Concerning the wall about which ... 	Concerning the horses about which you wrote, even before you wrote I sent the treasurer Aššur-gimilli-terra with the army. Do whatever is opportune to do, be it to block the canal or to subjugate those people.
Ulaya: the guardian of its city.	The name of the great (inner) wall is: “Whose Brilliance Covers the Land.” The name of its outēr wall is: “Who Convulses the Regions.” The god Ulai is the guardian of his city (and) the god Kidudu is the guardian of his wall. The name of the Tabira Gate is: “Entrance for All Lands through the Strong Wall.”
Witness Nabû-balassu-iqbi, scribe, keeper of the document.	Witness Nabû-uballissu-iqbi, prefect of the mounted archers.
... the king to me	On my third campaign, I marched against Baʾalu, the king of the land Tyre who resides in the middle of the sea. Because he did not honor my royal command(s and) did not obey the pronouncement(s) from my lip(s), (iii 20') I set up outposts against him. To prevent his people from leaving, I reinforced (its) garrison. By sea and dry land, I took control of (all of) his routes (and thus) cut off (all) access to him. (iii 25') I made water and food for the preservation of their lives scarce for their mouths. I confined them in a harsh imprisonment from which there was no escape. I constricted (and) cut short their lives. I made them (the people of Tyre) bow down to my yoke.
200 gulēnu-coats of the house ... 	... jars of wine in the house ... 
Seal of Lidbubu-lipušu, seal of Ahi-nuri, a total of 2 men, owners of the man being sold.	Seal of Qibit-Issar, seal of La-teggi-Nanaya, seal of Mannu-ki-Adad, in all 3 men, owners of the man being sold.
... sick ears	... he escaped ... in fear.
Witness ... Witness Nabuza', merchant.	Witness Kiṣir-... Witness Marduk-ereš.
Month ... , ... th day, eponym year of Nabû-le'i, governor of Arbela.	Month ... , ... th day, eponym year of Sin-šarru-uṣur, palace scribe.
— The Yoke star means Mars.	The Wolf star is Mars; the star of the sun is Saturn
That which is (written) upon a silver spoon of the goddess Tašmētu of the Inner City (Aššur).	That which is (written) upon a kallu-bowl (and) šulpu-bowl of the god Nabû of the Inner City (Aššur).
Whoever erases my inscribed name (or) places (it) in the service of a god or (another) person, may the deities Aššur, Sîn, (and) Šamaš make his name (and) his seed disappear.	Palace of Sennacherib, king of Assyria. Whoever erases my inscribed name (or) places (it) in the service of a god (or another) person, may the deity ... make his name (and) his seed disappear. Booty of the city Dumetu.
... I received, before Anu	... I laid before the statue of the goddess Ištar, and the Lady ... 
