...𒅅𒀜𒋫𒍝𒀸𒁉𒀉	... ig at-ta-ṣa ina be₂-et 	I brought ... and gave ... where ... 
𒅇𒋻𒀀𒁕𒊏𒀀𒈾𒉺𒀭𒈗𒁁𒉌𒐊𒆷𒅋𒆷𒅗𒌌𒌓𒌋𒅗𒄭𒀀𒃶𒉏𒈠𒈗𒁁𒉌𒇷𒄴𒋢𒊻𒆠𒄿𒈥𒍝𒆪...𒀀𒀭𒉌	u₃ KUD a da ra a-na pa-an LUGAL be-li₂-ia₂ la il-la-ka ul-tu₂ UGU-hi a-gan-nim-ma LUGAL be-li₂ li-ih-su-us ki-i mar-ṣa-ku ... a an ni 	and my ... does not come into the king, my lord's presence. From this the  king, my lord, should understand that I am sick and ... 
𒉌𒊒𒌒𒁁𒉌𒄿𒁲𒆠𒄿o...𒈠𒁕𒀀𒉌𒃻𒈗𒀉𒁲𒈾	ni-ru-ub be-li₂ i-di ki-i o ... ma-da-a-ni ša₂ LUGAL id-di-na 	My lord knows that the ... s which the king gave are ... 
𒑆𒂗𒉆𒈨𒌍𒋙𒁲𒂊𒆪𒂗𒉆𒊭𒁍𒌓𒃲𒁉𒈜𒃲𒁉𒈜𒂗𒉆𒊭𒁍𒌓𒉌𒂗𒉆𒊭𒁍𒌓𒁹𒊭𒀸𒋩𒁺𒁍𒂗𒉆𒊭𒁍𒌓𒌷𒈬𒍝𒍢𒊑𒂗𒉆𒊭𒆳𒌑𒀀𒍝𒂊𒂗𒉆𒊭𒆳𒅆𒅁𒂅𒊒𒈫𒂗𒉆𒈨𒌍𒊭𒁍𒌓𒆳𒋼𒀀𒌓𒅗𒁇𒂗𒉆𒊭𒆳𒃻𒀜𒋼𒊏𒉽𒑆𒂗𒉆𒈨𒌍𒋙𒁲𒂊𒆪	09 {LU₂~v}-EN.NAM-MEŠ-šu₂ de-e-ku {LU₂~v}-EN.NAM ša pu-ut {LU₂~v}-GAL—KAŠ.LUL {LU₂~v}-GAL—KAŠ.LUL {LU₂~v}-EN.NAM ša pu-tu₂-ni {LU₂~v}-EN.NAM ša pu-ut {1}-ša—aš-šur—du-bu {LU₂~v}-EN.NAM ša pu-ut {URU}-mu-ṣa-ṣi-ri {LU₂~v}-EN.NAM ša {KUR}-u₂-a-za-e {LU₂~v}-EN.NAM ša {KUR}-ši-ib-ṭu-ru 02 {LU₂~v}-EN.NAM-MEŠ ša pu-ut {KUR}-kar-UD.KA.BAR {LU₂~v}-EN.NAM ša {KUR}-ša₂-at-te-ra PAB 09 {LU₂~v}-EN.NAM-MEŠ-šu₂ de-e-ku 	Nine of his governors were killed: the governor opposite the chief cupbearer, the governor opposite us, the governor opposite Ša-Aššur-dubbu, the governor opposite Muṣaṣir, the governor of Wazae, the governor of Šibṭuru, two governors opposite Kar-siparri, the governor of Šattera — in all nine governors of his were killed.
𒄑𒊓𒄭𒅖𒈠𒇷𒇻𒌋𒉌𒌗𒄞𒌨𒄷𒁕𒀀𒁍𒋗𒌋𒌓𒈨𒌍𒋙𒄭𒂵𒈨𒌍𒈠𒀪𒁕𒄊𒈫𒀭𒋫𒀜𒌅𒄴𒁕𒀀𒁀𒀀𒆗𒌋𒌋𒁹𒂊𒇷𒂊𒀸𒉺𒀭𒈗𒁁𒉌𒅀	is-sa-he-iš-ma le-lu-u-ni {ITI}-GUD ur-hu ṭa-a-bu šu-u UD-MEŠ-šu₂ DUG₃.GA-MEŠ ma-aʾ-da GIR₃.2 DINGIR ta-at-tu-ah ṭa-a-ba a—dan-niš ana e-le-e ina pa-an LUGAL be-li₂-ia 	let them come up together: Iyyar (II) is a good month, it has numerous good days. The foot of the god has gone to rest; it is (really) very auspicious to go (now) to the king, my lord.
𒄿𒈾𒊕𒈗𒋾𒅀𒀸𒈤𒊑𒂊𒁄𒅀𒃻𒀸𒄑𒄖𒍝𒈗𒌋𒋾𒊏𒄫𒌑𒅆𒁍𒂍𒀭...𒃻𒁹𒀭𒅎𒂟𒃮...𒈗𒉺𒀀𒉌𒈤𒊑𒅀𒂊𒁍𒋙𒂊𒈾𒄴𒈠𒄿𒈾...𒆠𒄿𒈾𒅆𒌓𒅗𒆬𒃲𒇻𒋾...𒄿𒈾...𒋼𒈨𒂗𒋙𒀜𒁲𒈠𒂍...𒂍𒋗𒀀𒌓...𒅈𒍦𒌑𒊕𒇸...𒄑𒄯𒈨𒌍𒋙𒃲𒈨𒌍...𒀭𒀝𒌋𒀭𒌨𒈨𒌈...𒊒𒌅...	i-na SAG LUGAL-ti-ia ina mah-re-e BALA-ia ša₂ ina {GIŠ}-GU.ZA LUGAL-u-ti ra-biš u₂-ši-bu E₂ {d}-... ša₂ {m}-{d}-IŠKUR-ERIM.TAH₂ ... LUGAL pa-a-ni mah-ri-ia e-pu-šu₂ e-na-ah-ma i-na ... KI i-na ši-pir ka-ku₃-gal-lu-ti ... i-na ... te-me-en-šu₂ ad-di-ma E₂ ... E₂ šu-a-tu₂ ... ar-ṣip u₂-šak-lil ... GIŠ.HUR.MEŠ-šu₂ GAL.MEŠ ... {d}-AG u {d}-taš-me-tum ... šub-tu ... 	At the beginning of my kingship, during the first regnal year that I sat in majesty on the royal throne, the temple of the god Nabû which Adad-nārārī (III), ... , a king of the past (who came) before me, had built, became dilapidated and at ... Using the craft of the incantation-priest, ... through ... I (re)laid its foundation(s) and the temple ... I built (and) completed that temple ... Its grand designs ... the god Nabû and the goddess Tašmētu ... seat(s).
𒀀𒈾𒈗𒁁𒉌𒐊𒌨𒊒𒁍𒀭𒄑𒉢𒈬𒄀𒈾...𒌋𒊏𒁉𒋾𒄿𒁍𒍑𒈠...𒌌𒄿𒁳𒁍𒌒𒀀𒈾𒇽𒁷𒌁𒆠𒈨𒌍	a-na LUGAL be-li₂-ia₂ lik-ru-bu {d}-GIŠ.NU₁₁—MU—GI.NA ... u ra-bi-ti i-pu-uš-ma ... ul i-dab-bu-ub a-na {LU₂}-TIN.TIR {KI} MEŠ 	Šamaš-šumu-ukin is committing a great crime. He does not speak ... but is telling the Babylonians ... :
𒄿𒃮𒁍𒊩𒌨𒆪𒀸𒋥𒀭𒌍𒀀𒅆𒅁𒃻𒈠𒈪...𒈫𒋗...	i-qab-bu-nik-ku aš-rat {d}-30 a-ši-ib ša₂-ma-mi ... 2-šu ... 	Through prayer(s) to the god Šamaš, my lord, (and) through supplications to the great gods, the assembly of craftsmen saw the original foundation(s) and examined the (old) cella and throne platforms. They immediately returned (and) said to me: “I have indeed seen the original foundation(s) of Narām-Sîn, a king of the distant past, the cella of the god Šamaš, the permanent residence of his divinity.”
𒀸𒌋𒅗𒁹𒄥𒁲𒀭𒌋𒐊𒈠𒄭𒍢𒊭𒈗𒁁𒉌𒅖𒁓𒀭𒉌𒈠𒀀𒊮𒃻𒀾𒆥𒋙𒂍𒄑𒀳𒀀𒊮𒀀...	ina UGU {1}-qur-di—{d}-15 {LU₂~v}-ma-hi-ṣi ša LUGAL be-li₂ iš-pur-an-ni ma-a ŠA₃ ša₂-aš₂-kin-šu₂ E₂ {GIŠ}-APIN A.ŠA₃ a-... 	As to Qurdi-Issar, the archer about whom the king, my lord, wrote me: "Encourage him, and give him a house, a plough, and a field ... "
...𒌓...𒅆𒈬𒁹𒉌𒌓𒋃𒁹𒂗	... UD ... lim-mu {1}-tak₃-lak—ana—EN 	... , eponym year of Taklak-ana-Bel (715 B.C.).
𒀭𒈪𒊭𒀸𒌗𒁈𒀭𒌓𒅖𒆲𒌋𒉌𒆕𒋡𒊒𒊭𒆳𒋢𒂔𒆠𒆷𒅋𒁍𒌓𒅇𒀯𒊕𒈨𒃻𒆠𒁺𒋢𒊻𒊩𒅆𒌋𒐊𒌓𒈨𒌍𒋛𒀀𒈨𒌍𒁺𒄑𒅆𒂟𒋗𒌋𒌓	AN.MI ša ina {ITI}-BARAG {d}-UTU iš-kun-u-ni qaq-qa-ru ša {KUR}-SU.BIR₄ {KI} la il-pu-ut u₃ {MUL}-SAG.ME.GAR KI.GUB-su us-sal-lim 15 UD-MEŠ DIRI-MEŠ GUB-iz SIG₅ šu-u-tu₂ 	The solar eclipse which occurred in Nisan (I) did not touch the quadrant of Subartu. In addition, the planet Jupiter retained its position (in the sky); it was present for 15 more days. That is propitious.
𒅇𒆥𒂊𒁍𒊭𒌷𒁲𒂊𒊑𒄑𒊓𒉺𒊏𒈠𒀀𒈫𒅆𒂟𒈨𒌍𒊺𒁉𒆷𒅇𒂟𒈨𒌍𒋬𒀭𒈾𒅗𒀀𒈾𒌷𒄬𒍮𒈨𒌍𒆷𒄿𒊓𒉿𒄣𒋬𒀀𒀀𒅗𒂟𒈨𒌍𒇻𒊺𒁉𒆷𒀾𒋙	u₃ {LU₂~v}-qe-e-pu ša {URU}-de-e-ri is-sa-pa-ra ma-a 02 lim {LU₂~v}-ERIM-MEŠ še-bi-la u₃ ERIM-MEŠ TA@v an-na-ka a-na {URU}-HAL.ṢU-MEŠ la i-sa-pi-qu TA@v a-a-ka ERIM-MEŠ lu-še-bi-la-aš₂-šu₂ 	Further: the legate of Der has written to me: "Send me 2,000 men!" But the men from here do not suffice (even) for the fortresses! Whence should I take the men to send to him?
𒀭𒈾𒁉𒌝𒌉𒍑𒌑𒍮𒌫𒈗𒁕𒈝𒈗𒆍𒀭𒊏𒆠𒈗𒈠𒁕𒋗𒈨𒌷𒅎𒅇𒀝𒅗𒁲𒄿𒈬𒆠𒅔𒅖𒁲𒈠𒁕𒊒𒁀𒀀𒄠𒈾𒀪𒁮𒋾𒊑𒄑𒂵𒀜𒀭𒈾𒁉𒌝𒅇𒀭𒀫𒌓𒈪𒄀𒅕𒊭𒀸𒋗𒈾𒊏𒄠𒀭𒀀𒀀𒃼𒊏𒀜𒃼𒊏𒁲𒂊𒊭𒀭𒀴𒊏𒊏𒋗𒌒𒁍𒌑𒊭𒀝𒅆𒁺𒋗𒉌𒄑𒈠𒋢𒉿𒀸𒊑𒅎𒊭𒄴𒁮𒈬𒍑𒋼𒀪𒂊𒅎𒊕𒆠𒂊𒅎𒊭𒀭𒀭𒃲𒃲𒈗𒊭𒅁𒊺𒌅𒋗𒂊𒇷𒈗𒈗𒀜𒀜𒋗𒋗𒌅𒂵𒀀𒈾𒆪	{d}-na-bi-um-IBILA-u₂-ṣu-ur₂ LUGAL da-num₂ LUGAL KA₂.DINGIR.RA {KI} LUGAL MA.DA-šu-me-ri₂-im u₃ ak-ka-di-i mu-ki-in iš-di MA.DA ru-ba-a-am na-aʾ-dam ti-ri-iṣ qa₂-at {d}-na-bi-um u₃ {d}-AMAR.UTU mi-gi-ir ša-aš-šu na-ra-am {d}-a-a qar-ra-ad qar-ra-de-e ša {d}-er₃-ra ra-šu-ub-bu u₂-ša-ak-ši-du-šu ni-iz-ma-su a₃-aš-ri-im ša-ah-ṭam mu-uš-te-eʾ-e-em sak-ke-e-em ša DINGIR.DINGIR GAL.GAL LUGAL ša ep-še-tu-šu e-li LUGAL.LUGAL AD.AD-šu šu-tu-qa₂ a-na-ku 	Nabopolassar, strong king, king of Babylon, king of the land of Sumer and Akkad, the one who makes the foundations of the land firm,  pious prince, protégé of the gods Nabû and Marduk, favorite of the god Šaššu (Šamaš), beloved of the goddess Aya, the warrior of warriors whom the awesome god Erra allowed to attain his desire, the humble (and) respectful one who is assiduous towards the rites of the great gods, the king whose deeds surpass those of the kings, his ancestors, am I —
𒄴𒋼𒉿𒅇𒈠𒀀𒆳𒉏𒈠𒆠𒀀𒆸𒉿o𒀉𒈫𒈨𒌍𒋙𒋬𒆕𒄫𒄿𒉺𒅁𒉼𒈠𒀀𒆠𒄿𒀭𒉌𒄿𒆳𒉏𒈠𒆠𒀀𒃵𒈥	ah-te-pi u₃ ma-a {KUR}-NIM.MA {KI} a-hap-pi o A₂.2-MEŠ-šu₂ TA@v kaq-qir i-sap-pan ma-a ki-i an-ni-i {KUR}-NIM.MA {KI} a-gam-mar 	And (he said): "I will destroy Elam; its army shall be levelled to the ground. In this manner I will finish Elam."
𒆷𒍝𒆪𒌑𒊭𒀸𒊮𒌦𒆥𒈗𒍝𒆪𒌑𒊭𒀀𒊮𒂵𒇻𒆥𒊭𒅋𒄣𒉌𒊺𒉡𒊓𒄭𒉌𒋙𒉡𒆷𒄿𒈠𒃵𒀀𒈾𒋫𒁕𒉌	la za-ku-u₂ ša ina ŠA₃ un-qi LUGAL za-ku-u₂ ša A.ŠA₃.GA lu-kin ša il-qu-ni {ŠE}-nu-sa-hi-ni šu₂-nu la i-ma-gur₂ a-na ta-da-ni 	He who (owns a field) by the king's sealed order must prove the  exemption of the field. Those who were bought are (subject to) our corn taxes, but  he refuses to pay them.
𒅆𒈫𒅀𒆠𒄿𒀜𒆪𒌑𒌨𒊕𒀭𒌋𒄥𒀸𒄑𒄖𒍝𒈗𒌑𒋾𒀀𒅆𒅁𒀀𒄖𒌋𒈗𒌑𒋾𒀀𒉿𒅕𒀸𒋗𒈫𒋙𒆠𒇳𒇷𒂊𒈫𒄑𒈨𒄿𒁲𒊨𒈨𒌍𒍝𒂍𒈫𒀀𒀀𒊕𒁺𒈨𒌍𒀭...𒁺...	IGI.2-ia ki-i ad-ku-u₂ UR.SAG {d}-U.GUR ina {GIŠ}-GU.ZA LUGAL-u₂-ti a-ši-ib a-gu-u LUGAL-u₂-ti a-pi-ir ina ŠU.2-šu₂ ki-lal₂-le-e 02 {GIŠ}-mi₃-i-ṭi ŠUR₂-MEŠ ṣa-bit 02-a.a SAG.DU-MEŠ {d}-... DU ... 	When I raised my eyes,  (I saw) the valiant Nergal seated on a regal throne, apparelled with the royal tiara; with both hands he grasped two grim maces, each with two ... heads.
𒇻𒋫𒆧𒇽𒃻𒌋𒌋𒊭𒈗𒀜𒅗𒌑𒃲𒈜𒌋𒉌𒀸𒂍𒆸𒆠𒂍𒆸𒆠𒅕𒊐𒅇𒀸𒅆𒀩𒈨𒌍𒄑𒋛𒌋𒌋𒈗𒀜𒅗𒅁𒋾𒆤𒋢𒌑𒈠𒀀𒀸𒊮𒌗𒆥𒈨𒂊𒋼𒌉𒋙𒄯𒁺𒄿𒁀𒀾𒅆𒇽𒁲𒁲𒁍𒌑𒋗𒌑𒋬𒉿𒅕𒋼𒄿𒍝𒊍𒌑𒈠𒀀𒋳𒈠𒈠𒆟𒀸𒅆𒈗𒂗𒅀𒇻𒃲𒇷𒁍𒍑𒈗𒁁𒉌𒌑𒁕𒆠𒄿𒌓𒈨𒌍𒋼𒊭𒌋𒌆𒇷𒅆𒈾𒉌𒀸𒌋𒅗𒄭𒋗𒌑𒀀𒈾𒈗𒂗𒅀𒊻𒆤𒆠𒅎	lu ta-qiš {LU₂}-GAR.U.U ša LUGAL AD-ka u₂-gal-lib-u-ni ina E₂—rin-ki E₂—rin-ki er-rab u₃ ina IGI ALAM-MEŠ is-se-niš LUGAL AD-ka ip-ti-qid-su u₂-ma-a ina ŠA₃ {ITI}-KIN me-e-te DUMU-šu₂ hur-du i-ba-aš₂-ši {LU₂}-di-di-bu-u₂ šu-u₂ TA@v pi-ir-te i-za-az u₂-ma-a šum-ma ma-hir ina IGI LUGAL EN-ia lu-gal-li-bu-uš LUGAL be-li₂ u₂-da ki-i UD-MEŠ-te ša dul-li ši-na-ni ina UGU-hi šu-u₂ a-na LUGAL EN-ia us-sah-ki-im 	The driller, whom your royal father shaved, used to enter the ablution chamber, and your royal father put him in charge of the statues as well. Now, he died in Elul (VI). He has left a son (who) is a novice and 'stands with his hair.' Now, if it is acceptable to the king, my lord, let them shave him. The king, my lord, knows that these are the days of the ritual — that is why I am instructing the king, my lord.
𒂁𒈠𒋛𒌓𒁉𒈨𒌍𒆠𒈫𒃾𒂁𒀀𒂵𒉡𒁉𒈨𒌍𒆠𒈫𒃾𒂕𒊺𒄴𒋾𒊒𒁲	{DUG}-ma-si-tu₂ KAŠ-MEŠ KI.MIN GEŠTIN {DUG}-a-ga-nu KAŠ-MEŠ KI.MIN GEŠTIN EGIR še-eh-ti ŠUB-di 	You place a flagon of beer, a ditto of wine, an amphora of beer and ditto of wine behind the censer.
𒈨𒉡𒌋𒋗𒌋𒁳𒁉𒆪𒉡𒀭𒉡𒋼...	mi₃-nu-u šu-u dib-bi-ku-nu an-nu-te ... 	What are these words of yours ... 
...𒊻𒋛𒋾𒅅	... us-se-ti-iq 	... made it pass by
𒄿𒈾𒌋𒅗𒆠𒃲𒇷𒊭𒂗𒃲𒂊𒀭𒀫𒌓𒆳𒋻	i-na UGU ki-gal-li ša EN GAL-e {d}-AMAR.UTU šaṭ-ṭir₂ 	Written on the pedestal of the great lord, the god Marduk.
𒀀𒈾𒂊𒈮𒊏𒈠𒉌𒋙𒀉𒋫𒆸𒈠𒌝𒌋𒌋𒋙𒆠𒆘𒋢𒀉𒆠𒂊𒈠𒀀𒈾𒁹𒀭𒊩𒌆𒃲𒋧𒈾𒀴𒁕𒆸𒉺𒉌𒅀𒉌𒄿𒌅𒅋𒈨𒋙𒈠𒄑𒁀𒋫𒈬𒍝𒀀𒋙𒀜𒆠𒂊𒈠𒂟𒄭𒀀𒅀𒍑𒋼𒋓𒈠𒀀𒈾𒆳𒌓𒁴𒊍𒍝𒁁𒆜𒅀𒁹𒀭𒀝𒆰𒍣𒋛𒁲𒌉𒁹𒀭𒀫𒌓𒀀𒋧𒈾𒁀𒊏𒉡𒌋𒈾𒁄𒆑𒋫𒉡𒀀𒋃𒂟𒄭𒀀𒅀𒅖𒈨𒈠𒀀𒈾𒆳𒉏𒈠𒆠𒊺𒆷𒄫𒅔𒈾𒂍𒀾𒋙𒈠𒁁𒀭𒀸𒋩𒂗𒋙𒆷𒄑𒀫𒌋𒈠𒆠𒆗𒆳𒂊𒇴𒋾𒄿𒈾𒊒𒋙𒀸𒄑𒆪𒁹𒈾𒀪𒀉𒀭𒀫𒌓𒃻𒀀𒈾𒋀𒋙𒆠𒆗𒆳𒂊𒇴𒋾𒂊𒁍𒋙𒂊𒄯𒈠𒀀𒈾𒆳𒀸𒋩𒆠𒀀𒁲𒈤𒊑𒅀𒅋𒌨𒄠𒈠𒌑𒈾𒋝𒄊𒅀𒅀𒊑𒁺𒌓𒋀𒋙𒀀𒈾𒉺𒉌𒋙𒌑𒆳𒆸𒈠𒌋𒌋𒁕𒋾𒂗𒋾𒅀𒂊𒅂𒋢	a-na e-muq ra-ma-ni-šu₂ it-ta-kil-ma um-man-šu₂ KARAŠ-su id-ke-e-ma a-na {m}-{d}-nin-gal-SUM.NA ARAD da-gil₂ pa-ni-ia ni-i-tu il-me-šu₂-ma iṣ-ba-ta mu-ṣa-a-šu₂ ad-ke-e-ma ERIM.HI.A-ia uš-te-šir-ma a-na KUR tam-tim aṣ-ṣa-bat KASKAL.II {m}-{d}-AG-NUMUN-ZI-SI.SA₂ DUMU {m}-{d}-AMAR.UTU-A-SUM.NA ba-ra-nu-u na-bal-kat₃-ta-nu a-lak ERIM.HI.A-ia iš-me-ma a-na {KUR}-ELAM.MA {KI} še-la-biš in-na-bit aš₂-šu₂ ma-mit {d}-aš-šur EN-šu₂ la iṣ-ṣur-u-ma qe₂-reb {KUR}-e-lam-ti i-na-ru-šu₂ ina {GIŠ}-TUKUL {m}-na-ʾi-id-{d}-AMAR.UTU ša₂ a-na ŠEŠ-šu₂ qe₂-reb {KUR}-e-lam-ti e-pu-šu₂ e-mur-ma a-na KUR aš-šur {KI} a-di mah-ri-ia il-lik-am-ma u₂-na-šiq GIR₃.II-ia ri-du-ut ŠEŠ-šu₂ a-na pa-ni-šu₂ u₂-šad-gil₂-ma man-da-ti EN-ti-ia e-mid-su 	He (Nabû-zēr-kitti-līšir) trusted in his own strength and mustered his army (and) camp, besieged Ningal-iddin, a servant who was loyal to me, and cut off his escape route. I mustered my army and took the direct route to the Sealand. Nabû-zēr-kitti-līšir, son of Marduk-apla-iddina (II) (Merodach-baladan), the rebel, the traitor, heard of the approach of my army and fled like a fox to the land Elam. (10') Because he failed to keep the oath of the god Aššur, his lord, they killed him with the sword in the midst of the land Elam. Naʾid-Marduk saw what they had done to his brother in Elam and he came to Assyria, before me, and kissed my feet. I made the domain of his brother subject to him and imposed my lordly tribute on him.
...𒁲𒆸𒀀𒆠𒈫𒁹𒉽𒀸𒇽𒀀𒁀𒅈𒈠𒀀𒀀...	... di-kil-a KI.MIN {1}-PAB—AŠ {LU₂}-A.BA ar-ma-a.a ... 	... ; NN ditto; Ahu-iddina, Aramean scribe ... ;
𒅆𒁹𒀸𒋩𒁲𒉽𒈨𒌍𒅆𒁹𒀸𒋩𒁄𒀖𒉽𒋙	IGI {1}-aš-šur—DI—PAB-MEŠ IGI {1}-aš-šur—bal-liṭ PAB-šu₂ 	Witness Aššur-šallim-ahhe. Witness Aššur-balliṭ, his brother.
𒅇𒃻𒌑𒌑𒍝𒆪𒀭𒈦𒃻𒀸𒅅𒊑𒁉𒋙𒍠𒊒𒇷𒌉𒇷𒉌𒅔𒋙	u₃ ša₂ u₂-šam-za-ku {d}-MAŠ ša₂ ina ik-ri-bi-šu₂ zak-ru li-tur li-ni-in-šu₂ 	But whoever casts (it) aside, may Ninurta, who is called on in his prayer, turn and punish him.
𒈗𒀸𒂍𒃲𒋙𒇻𒄰𒈬𒊻...𒊭𒈾𒆠𒊑𒅗...𒂊𒅗...𒈨𒌍...𒇻...	LUGAL ina E₂.GAL-šu₂ lu kam-mu-us ... ša na-ki-ri-ka ... e ka ... MEŠ ... lu ... 	Let the king stay in his palace; ... of your enemies ... 
𒋗𒌝𒄀𒊑𒆠𒁉𒁺𒌝𒆠𒅀	šu-um-gi-ri qi₂-bi du-um-qi₂-ia 	O Lugal-Marda, supreme lord, mighty warrior, when you joyfully enter this temple (and) look with pleasure upon everything that I have done (for you), speak good thing(s) about me in the presence of the god Marduk, king of heaven and earth, daily so that the days of my life are long (and) I am sated with old age. With your fierce weapons, cut down my enemies (and) destroy all of my foes.
...𒀀𒉌𒇻𒁹𒀀𒅀𒀀𒁀	... a-ni lu {1}-A-ia A.BA 	... , whether Aplaya, scribe.
𒌑𒈠𒀀𒀀𒊓𒌓o𒋻𒄖𒈠𒉡𒀸...𒀀𒈥𒀀𒈾𒈗𒁁𒉌𒅀𒀀𒈾𒅆𒀀𒌑𒊺𒁄	u₂-ma-a a-sa-par o {LU₂~v}-tar-gu-ma-nu ina ... a-mar a-na LUGAL be-li₂-ia a-na-ši-a u₂-še-bal 	I have now sent (word), and I shall find an interpreter in ... , acquire him for the king, my lord, and send him.
...𒁉𒋗...𒉡𒀭𒌑𒌓𒋗𒇻𒅗𒀜𒀸𒉌𒋝𒋾𒉌𒌓𒌋𒆬𒄀𒉡𒌝𒈬𒊒𒍣𒈬𒋙𒀀𒈾𒀭𒂍𒀀𒁁𒉌𒈬𒊬𒁍𒌋𒈗𒋾𒐊𒀭𒀝𒉺𒆤𒆧𒆳𒀭𒂊𒅇𒆠𒁴𒈬𒃻𒋆𒌓𒈨𒁷𒅀𒀭𒌨𒈨𒌈𒃽𒈾𒍢𒋥𒈾𒄫𒋾𒅀𒀀𒈾𒋼𒁲𒄣𒀭𒌑𒋾𒋙𒉡𒃲𒋾𒊍𒈪𒅖𒌑𒃻𒌨	... bi-šu ... nu DINGIR-u₂-tu₂ šu-lu-ka-at ina ni-siq-ti NA₄ u KU₃.GI nu-um-mu-ru zi-mu-šu₂ a-na {d}-e₂-a be-li₂ mu-šar-bu-u LUGAL-ti-ia₂ {d}-AG pa-qid kiš-šat AN-e u₃ KI-tim mu-ša₂-rik UD.ME TIN-ia {d}-taš-me-tum GAŠAN na-ṣi-rat na-piš-ti-ia a-na te-di-qu DINGIR-u₂-ti-šu₂-nu GAL-ti as-mi-iš u₂-ša₂-lik 	... befitting (his) divinity, whose appearance is brightened with a selection of stones and gold — For the god Ea, (my) lord, the one who makes my kingship surpassing, the god Nabû, the overseer of the totality of heaven and earth and the one who prolongs the days of my life, (and) the goddess Tašmētu, the lady who safeguards my life, I had (these garments) made as ceremonial garment(s) befitting their great divinity.
...𒌋𒌋𒇻𒈧𒈨𒌍𒁹𒈨𒇻𒍚𒈨𒌍	... 20 {UDU}-MAŠ₂-MEŠ 01-me {UDU}-UZ₃-MEŠ 	x+20 male goats, 100 female goats, 
𒉌𒈨𒅋𒄩𒊑𒉺𒀀𒉌𒋗𒌅𒉌𒑛𒆜𒁍𒌓𒈬𒇷𒅖𒆥𒀀𒄩𒊏𒄠𒈨𒈠𒇻𒋼𒊒𒌒𒁀𒋛𒀉𒁕𒀀𒋾𒀉𒁕𒀀𒋾𒁁𒉌𒇽𒋗𒄿𒋢𒇷𒁍𒍑	ne₂-me-il ha-ri-pa-a-ni šu-tu-ni 2/3 KASKAL.GID₂ UD-mu li-iš-qi-a ha-ra-am-me-ma lu te-ru-ub ba-si id—da-a-ti id—da-a-ti be-li₂ {LU₂}-ŠU.I-su le-pu-uš 	since he is an 'early bird,' let the day (= the sun) rise for an hour and a half, thereupon she may enter. Soon after that my lord should have himself shaved.
𒇽𒋃𒃻𒀸𒋩𒊺𒇷𒀸𒅆𒀭𒊺𒊒𒌋𒀀...	{LU₂}-SANGA ša₂ aš-šur še-li ina IGI {d}-še-ru-u-a ... 	The priest of Aššur ... before Šerua ... 
𒀊𒋾𒆥𒁲𒀀𒈾𒆪𒀀𒊓𒄷𒊒𒂊𒋼𒄵𒌋𒂙𒈥𒄿𒁀𒋙𒉌𒄿𒋢𒊑𒀭𒈨𒌍𒉌𒊭𒈗𒋧𒉡𒉌𒉌...𒌑𒃶𒈾𒀾	ap-ti-qi-di a-na-ku a-sa-hu-ru e-te-bir u BURU₁₄ mar i-ba-šu₂-ni i-su-ri DINGIR-MEŠ-ni ša LUGAL SUM-nu-ni-ni ... u₂-kan-na-aš₂ 	I am returning, and (after) I have crossed (the Euphrates),  perhaps the gods of the king will grant me that I collect all the  harvest there is.
𒂍𒐈𒈨𒀀𒊮𒂍𒐊𒀲𒄑𒊬...	E₂ 03-me A.ŠA₃ E₂ 05 ANŠE {GIŠ}-SAR ... 	an estate of 300 (hectares) of field, a house, an orchard of 5  hectares ... 
...𒂍...𒄯𒊭𒄑𒆕𒆰𒇷...	... E₂ ... hur ša {GIŠ}-kaq-qul-li ... 	... of the palace ... a wooden box ... 
