not to harm ... 	... to conquer a land not obedient to me ... 
To aid the gods Bēl (Marduk) and Nabû, lords of mine whose divinity I constantly revered, I mustered my battle troops and set out on the road. He heard about the advance of my expeditionary force and (v 70) (then) fear overwhelmed him and he returned to his (own) land. I went after him (and) brought about his defeat. I drove him away as far as the border of his land. 	To aid the gods Bēl (Marduk) and Nabû, lords of mine whose divinity I constantly revered, I mustered my battle troops and set out on the road. He heard about the advance of my expeditionary force and (then) fear overwhelmed him and he returned to his (own) land. (v 15) I went after him (and) brought about his defeat. I drove him away as far as the border of his land.
40 spiced-loaves;	1 seah 1 'litre' of spiced loaves.
If ... : the king will have no opponents ... 	If the moon at its appearance is ... : the ruler will have no opponent.
was damaged ... 	which was made ... 
In the course of my campaign, I surrounded, conquered, (and) plundered the cities Bīt-Daganna, Joppa, Banayabarqa, (and) Azuru, the cities of Ṣidqâ that had not submitted to me quickly. (As for) the governors, the nobles, ... 	In the course of my campaign, I surrounded, conquered, (and) plundered the cities Bīt-Daganna, Joppa, Banayabarqa, (and) Azuru, (iii 5') the cities of Ṣidqâ that had not submitted to me quickly.
Disregard that I, the haruspex, your servant, have jumbled the oracle query in my mouth, (or) changed or altered the proceedings... 	Disregard that I, the haruspex your servant, have jumbled the oracle query in my mouth, or changed (or) altered the proceedings... 
of the 11th day... 	4 kimru-sheep, of the 10th day;
Witness Nabû-tabni-uṣur, city scribe.	Witness Nabû-rehtu-uṣur, scribe.
x mina(s), Ahu-kenu, 1/2 mina ditto;	x mina(s), Harimî, 1/2 mina ditto;
Iyyar (II), 1st day, eponym year of Atar-il, governor of Lahiru.	Month Iyyar (II), 1st day, eponym year of Nabû-belu-uṣur, governor of Dur-Šarrukku.
Witness Qua.	Witness Ubru-Issar, servant of ... 
I imposed upon him (Šarru-lū-dāri) the payment of tribute (and) gifts (in recognition) of my overlordship so that he (now) pulls my yoke.	I set Šarru-lū-dāri, son of Rūkibtu, their former king, over the people of the city Ashkelon and imposed upon him the payment of tribute (and) gifts (in recognition) of my overlordship so that he (now) pulls my yoke.
... bread from the temple	... The bread of the temple is excellent, the best-quality beer of the temple is good. The guard of the school is well. The king, my lord, can be very happy.
which ... will come 	... at the appearance ... will become long ... 
I turned around (lit. “I turned the front of my yoke”) and took the road to the land Ellipi. (ii 5'') Before my arrival, Ispabāra, their king, abandoned his fortified cities (and) his treasury and fled far away. I overwhelmed all of his wide land like a fog. I surrounded, conquered, destroyed, devastated, (and) burned with fire the cities Marʾubištu (and) Akkuddu, (ii 10'') cities of his royal house, together with thirty-four small(er) settlements in their environs.	I turned around (lit. “I turned the front of my yoke”) and took the road to the land Ellipi. Before my arrival, Ispabāra, their king, abandoned his fortified cities (and) his treasury and fled far away. I overwhelmed all of his wide land like a fog. I surrounded, conquered, destroyed, devastated, (and) burned with fire the cities Marʾubištu (and) Akkuddu, cities of his royal house, together with thirty-four small(er) settlements in their environs.
... they appoint	... appointed under him
The king, my lord, should do as he deems best.	I am a dog who reveres the king, my lord. I have written to the king, my lord. May the king, my lord, do as he deems best.
1 ditto — the house ... ,	to the house ... 
This ... Nabû-... 	... Nabû-... 
Will Esarhaddon, king of Assyria, ... be troubled and worried?	Will Esarhaddon, king of Assyria, be troubled and angry? Will he who can see, see it? Will he who can hear, hear it?
Aššur-nārārī, vice-regent of the god Aššur, son of Išme-Dagan (II), (who was) also vice regent of the god Aššur:	Arik-dīn-ili, vice-regent of the god Aššur, son of Enlil-nārārī, vice-regent of the god Aššur, son of Aššur-uballiṭ (I) (who was) also vice-regent of the god Aššur:
In the middle surface of the 'finger' there is a fissure... 	In the base of the middle surface of the 'finger' there is a 'weapon'-mark ... The 'weapon'-mark of the 'increment' rises towards the left. The upper part is elevated. The base of the middle part is 'loose.'             
(As for) the governors, the nobles, and the people of the city Ekron who had thrown Padî, their king who was bound by treaty and oaths to Assyria, into iron fetters and who had handed him over to Hezekiah of the land Judah in a hostile manner, (iii 10) they became frightened on account of the villainous acts they had committed. They formed a confederation with the kings of Egypt (and) the archers, chariots, (and) horses of the king of the land Meluḫḫa, forces without number, and they came to their aid.	(As for) the governors, the nobles, and the people of the city Ekron (ii 70) who had thrown Padî, their king who was bound by treaty and oaths to Assyria, into iron fetters and who had handed him over to Hezekiah of the land Judah in a hostile manner, they became frightened on account of the villainous acts they had committed. They formed a confederation with the kings of Egypt (and) the archers, chariots, (ii 75) (and) horses of the king of the land Meluḫḫa, forces without number, and they came to their aid.
... plus the storehouse	... this storehouse ... a praiseworthy structure ... of this storehouse in ... which had buckled and become weak ... 
He shall enjoy the usufruct of the field for three crop years.	He shall have the usufruct of the field for three fallow years and three crop years.
The money is paid completely. That man is purchased, acquired, paid off, and cleared. Any revocation, lawsuit or litigation is void.	The money is paid completely. That field is purchased and acquired. Any revocation, lawsuit, or litigation is void.
It shall increase 1 shekel of silver per mina.	It shall increase 2 shekels per mina per month.
An estate of 2 hectares "thin" (land) adjoining ... 	an estate of 4 hectares of land adjoining the road which leads from the village of Dannaya to the village of ... , a total of 5 (hectares) adjoining the field of Išmanni-... 
... , eponym year of Taklak-ana-Bel (715 B.C.).	State service which Sargon, king of Assyria, remitted to the provincial governor. Month of Tebet (X), 25th day, eponym year of Taklak-ana-Bel (715 B.C.). 
He shall enjoy it for x crop years.	He shall have the usufruct of it for years. He shall enjoy it for 4 crop years and 4 fallow years.
The king did not agree to ... 	they do not agree to ... When the men ... 
Palace of Ashurnasirpal, king of the world, king of Assyria, son of Tukultī-Ninurta (II), (who was) also king of the world and king of Assyria.	Shalmaneser, king of the universe, king of Assyria, son of Ashurnasirpal (II), king of the universe, king of Assyria, son of Tukultī-Ninurta (II), (who was) also king of the universe and king of Assyria:
... Šamulu, son of NN;	... tu, son of NN
Bel-u... 	Month ... , 27th day, eponym year of Bel-... 
fills ... 	They did not agree but said: "We will not give them ... When the horses and mules ... , and he has come, then we shall pass them over." And they said: "Bring the men who went to Nabû-belu-ka''in, and we will ... !"
Should Esarhaddon, king of Assyria, appoint the man whose name is written in this papyrus and placed before your great divinity, to the office which is written in this papyrus?	I ask you, Šamaš, great lord, whether, (should) Esarhaddon, king of Assyria, appoint the man whose name is written in this papyrus and placed before your great divinity, to the office of 'bishop' in ... ,
... (of) Sargon, king of Assyria.	... the one who raised the downfallen, avenger of ... capable ... , the one who provides pleasant protection over the people am I; son of Sennacherib, great king, mighty king, king of the world, king of Assyria; descendant of Sargon (II), king of Assyria, governor of Babylon, king of Sumer and Akkad; descendant of Bēl-bāni, son of Adasi, king of Assyria, ancient stock —
Bit-Zabidi ... 	When the king, my lord, set out to the country of ... , the king, my lord, arrived in ... , and I wrote to ... to Bit-Zamani ... concerning the king's men:
On the 23rd day the king came down to the House of God. He brought forth a censer and a torch. He performed the sheep offerings before Aššur and Mullissu. He performed those before the gods of heaven.	On the 23rd day the king goes down to the House of God. He illuminates the face. He performs the regular offering before Aššur and Mullissu. He performs one before the gods of heaven.
... made it pass by	They are at a distance and will keep away from each other; the  king, my lord, should not be afraid of it. (The interpretation)  should be written in the apotropaic ritual; anything that is  pertinent should be done, and the evil should be made to pass by.
Hulî, servant of NN —	Atar-hamu, servant of Asî —
shall place 10 minas of silver (and) one mina of gold in the lap of Inurta residing in Calah, and shall return the money tenfold to its owner. He shall contest in his  non-lawsuit and not succeed.	shall place 10 minas of refined silver (and) x minas of pure gold in the lap of Ninurta residing in Calah, and shall return the money tenfold to its owners. He shall contest in his lawsuit and not succeed.
... I shall forward.	The second emissary of Commagene went back with letters in his hand. I  ordered them to send me their words. As soon as they bring me the letters ... ,  I shall forward them to the king, my lord.
Written on the pedestal of the great lord, the god Marduk.	Written on the pedestal of (the statue of) the god Bēl. Like its original, written and collated. Tablet (belonging to) Marduk-šākin-šumi, the young apprentice (scribe). Written by Nabû-zēra-ikṣur, scribe, son of Ina-tēšî-ēṭir,  scribe (and) descendant of Nabû-nāṣir, scribe.
Seal of Marduk-napšati-... , owner of the ... being sold.	Seal of ... , owner of the ... being sold.
On the day that he pays the silver, he shall redeem his land.	On the day that he pays the silver, he shall redeem his servant.
Witness Ubbuku.	Witness Ubru-Issar, servant of ... 
... will they attack (him), and kill and plunder him? Will Esarhaddon, king of Assyria, be troubled and angry? Will he who can see, see it? Will he who can hear, hear it?	Will Esarhaddon, king of Assyria, be troubled and angry? Will he who can see, see it? Will he who can hear, hear it?
... presented ... , saying: "... 	Concerning Erešu ... , about whom the king, my lord, gave me orders, ... he has entered ... , saying: "... 
Witness Nusku-emuranni.	Witness Bel-emuranni.
(As for) the one who alters the work of my hands, mutilates my features (on a relief), obliterates the reliefs that I have engraved (lit.: “engrave”), (or) effaces my own representation(s), may the gods Aššur, Šamaš, Adad, and the gods who dwell there remove his name (and) his descendant(s) from the land and make him live in bondage under his enemy.	(As for) the one who alters the work of my hands, mutilates my features (on a relief), obliterates the reliefs that I have engraved, or effaces my own representation(s), may the gods Sîn, Šamaš, Adad, and the great gods who dwell there remove his name (and) his descendant(s) from the land and make him live in bondage under his enemy.
I improved ... ; the people ... 	(The god) Aššur, the father of the gods, the one who ... , the bridle that controls ... ; the god Anu, the powerful, ... whose ... cannot be altered, ... ; the god Ea, the wise, the lord ... who casts ... down on grassland, ... ; the god Enlil, the greatest lord, the foremost of ... ; the god Sîn, the pure god, the lord of the crown, the one who ... the one who widens ... ; the god Šamaš, the exalted judge, ... ; the god Adad, the canal inspector of heaven and earth, the one who gives ... to the people ... 
... below her.	... lower ... 'weapon'-mark ... 
A mare in ... 	Tablet of the treaty established with Baal of Tyre in ... 
Moving on from this camp I marched to the cities in the plain of Mount Niṣir which no one had ever seen. I conquered the city Larbusa, the fortified city (iii 5) which (was ruled by) Kirteara, (and) eight cities in its environs. The troops were frightened (and) took to a rugged mountain. The mountain was as jagged as the point of a dagger. The king with his troops climbed up after them. I threw down their corpses within the mountain, massacred 172 of their fighting men, (iii 10) (and) piled up many troops on the precipices of the mountain. I brought back captives, possessions, oxen, (and) sheep from them (and) burnt their cities. I hung their heads on trees of the mountain (and) burnt their adolescent boys. I returned to my camp (and) spent the night.	Moving on from this camp I marched to the cities in the plain of Mount Niṣir which no one had ever seen. I conquered the city Larbusa, the fortified city which (was ruled by) Kirtiara, (and) eight cities in its environs. The troops were frightened (and) took to a rugged mountain. The mountain was as jagged as the point of a dagger. The king with his troops climbed up after them. I threw down their corpses in the mountain, massacred 172 of their fighting-men, (and) piled up many troops on the precipices of the mountain. I brought back captives, possessions, oxen, (and) sheep from them (and) burnt their cities. I hung their heads on trees of the mountain (and) burnt their adolescent boys (and) girls. I returned to my camp (and) spent the night.
Total 26 ... 	Total, 35 ... 
... in the middle ... there is a 'request'-mark... 	... in the middle of the right side, a 'request'-mark ... 
5 urnutu-garments, ditto, ditto, ditto, ... ;	4 urnutu-garments, ditto, ditto, ditto ... ;
In my tenth regnal year I crossed the Euphrates for the eighth time. <I captured> the cities of Sangara, the Carchemishite. Moving on from the cities of the Carchemishite I approached the cities of Aramu (and) captured Arne, his royal city, together with one hundred cities in its environs.	In my tenth regnal year I crossed the Euphrates for the eighth time. I captured the cities of Sangara, the Carchemishite. I approached the cities of Aramu (and) captured Arnê, his royal city, together with one hundred cities (in its environs).
10 shekels of silver ... 	11 shekels of silver of Ištar of Nineveh belonging to Šep-Issar, at the disposal of Kulu'-Issar, at the disposal of Dayyan-Kurbail.
Bel-sharrani,	Bel-Harran-issiya, ... ; Mannu-ki-... , cavalryman ditto; Kiṣir-Aššur, ... ; a total of 3 owners of the man being sold.
I heard of this and sent word to Bel-iqbi; he came and we went together to meet the booty. He saw us, ambushed us from behind, and we had a fight. 1,500 booty sheep from the city of Huzaza, 1,500 sheep ... city of ... , ... 2 men ... men ... 	I heard of this and sent word to Bel-iqbi; he came and we went together to meet the booty. He saw us, ambushed us from behind, and we had a fight. 1,500 booty sheep from the city of Huzaza, 1,500 sheep ... city of ... , ... 100 men ... men ... 
10 ditto, in the inner precinct;	3 (whole) oxen, in the inner precinct;
When I had seized ... 	When I seized ... 
the interior of the land Nirbu. I brought within the boundaries of my land (the territory stretching) from the passes of Mount Kirruru to the land Gilzānu, from the opposite bank of the Lower Zab to the city Tīl-Bāri which is upstream from the land Zaban, from the city Tīl-ša-Abtāni to the city Tīl-ša-Zabdāni,	With the help of the gods Šamaš and Adad, the gods my supporters, I thundered like the god Adad, the devastator, against the troops of the lands Nairi, Ḫabḫu, the Šubaru, and the land Nirbu. The king who subdued (the territory stretching) from the opposite bank of the Tigris to Mount Lebanon and the Great Sea, the entire land Laqû, (and) the land Sūḫu including the city Rapiqu; he conquered from the source  of the River Subnat to the land Urarṭu. I brought within the boundaries of my land (the territory stretching) from the passes of Mount Kirruru to the land Gilzānu, from the opposite bank of the Lower Zab to the city Tīl-Bāri which is upstream from the land Zaban, from the city Tīl-ša-Zabdāni
mutually ... 	The lord of kings joyfully ... 
Disregard that treachery ... 	Disregard that they (may) think about it, but turn and ... 
For the god Marduk, his lord: Ashurbanipal, king of the world (and) king of Assyria, for the sake of his life had baked bricks made anew for Etemenanki.	For the god Marduk, his lord: Ashurbanipal, king of the world (and) king of Assyria, son of Esarhaddon, king of the world, king of Assyria, (and) king of Babylon, had baked bricks made anew for Etemenanki.
... does not know him ... 	... does not know whether they are in Assyria, and the ... of the king of Babylon ... does not know whether they are in Elam. 
shall place ... in the lap of Ištar residing in Nineveh, and shall return the money tenfold to its owners.	shall place 10 minas of refined silver (and) x minas of pure gold in the lap of Ninurta residing in Calah, and shall return the money tenfold to its owners. He shall contest in his lawsuit and not succeed.
... the governor of Arrapha to the city of ... 	Perhaps the king, my lord, will say: "When are you going to depart from the Inner City ... ?" I am waiting ... for the troops; right now ... the governor of Arrapha ... 
1 basket of silver;	1 block of silver;
Issar-na'id, ... ;	Witness Issar-na'id.
Those who entreat ... 	those who enter ... 
Witness Immani-il, ... 	Witness Il-immi, ... 
... in ... ; ... 	... Nargi; 20 hectares of field in the village of  Šumma-šarru, x hectares of field in ... , ... 
As to what the king, my lord, wrote me: "The ... ean who ... 	As to what the king, my lord, wrote to me: "When are they going to cast the gate column-bases for the portico of the hilānu palaces?"
Written in the month Kislīmu, on the first day.	The word(s) of their divine command that they had spoken in distant days, they now disclosed to the people of a later generation. I grasped the hand of her great divinity. (vi 120) She took the direct path, which pleases the heart, to Eanna. In the month Kislīmu (IX), on the first day, I made her enter into Uruk and made (her) dwell on (her) eternal dais in Eḫiliana, which she loves.
... We are the goddesses	... are the gods, his fathers, seeing him.
To Sargon, king of the universe, my lord: Your servant Balassu. May Nabû and Marduk bless the king, my lord! Say to the king, my lord:	Your servant Bel-iqiša: I would gladly die for the king of the universe, my lord! May Nabû and Marduk bless the king, my lord! Say to the king, my lord:
from my servants ... 	my servants ... 
... on the 5th day is surrounded by a halo and ... 	If the moon on the 14th day is surrounded by a halo ... : the land will dwell in quiet.
Šišlu             	Marduk-bani-zeri             
Witness Aššur-ahhe-uṣur. Witness Libbalayu.	Witness ... -iqbi. Witness Aššur-ahu-uṣur. Witness Ibašši-ilani.
if the 'hand' of god ... is placed on him in extispicy, is it decreed and confirmed in a favorable case, by the command of your great divinity, Šamaš, great lord?	Is the ... of Esarhaddon, king of Assyria, decreed and confirmed in a favorable case, by the command of your great divinity, Šamaš, great lord? Will he who can see, see it? Will he who can hear, hear it?
To the king, my lord: your servant Ṭab-šar-Aššur: Good health to the king, my lord!	To the king, my lord: your servant NN. Good health to the king, my lord!
Fingernail of Kiqillanu, ... , owner of the people being sold.	Fingernail of ... î, owner of the man being sold.
Moreover, (as for) Hezekiah of the land Judah, who had not submitted to my yoke, I surrounded (and) conquered forty-six of his fortified cities, (iii 20) fortresses, and small(er) settlements in their environs, which were without number, by having ramps trodden down and battering rams brought up, the assault of foot soldiers, sapping, breaching, and siege engines. I brought out of them 200,150 people, young (and) old, male and female, (iii 25) horses, mules, donkeys, camels, oxen, and sheep and goats, which were without number, and I counted (them) as booty.	Moreover, (as for) Hezekiah of the land Judah, who had not submitted to my yoke, I surrounded (and) conquered forty-six of his fortified cities, fortresses, and small(er) settlements in their environs, which were without number, by having ramps trodden down and battering rams brought up, (iii 20) the assault of foot soldiers, sapping, breaching, and siege engines. I brought out of them 200,150 people, young (and) old, male and female, horses, mules, donkeys, camels, oxen, and sheep and goats, which were without number, and I counted (them) as booty.
Adda-kupa, 	ditto Adda-pada, ... 
in all, 4: the 'residences' of the Dikanaeans.	in all, 3: the 'residences' of the scribes.
... suati	... at his disposal ... 
... fish, Aššur-šarru-uṣur,	x mina(s), Aššur-šarru-uṣur, 1/3 mina ditto;
Gadâ, ša šēpi guard;	Witness Issar-nadin-ahhe, ša šēpi guard.
If the sun stands in a halo of the moon: they will speak the truth in all lands; the son will speak the truth with his father.	If the moon is surrounded by a halo, and the sun stands in it: there will be truth in the land; the son will speak the truth with his father.
Lu-ahhe, his servant —	Ahu-uqur, his servant —
Sennacherib, king of Assyria, built a house at the same time as the laying of the foundation(s) of Nineveh and gave (it) to Aššur-šumu-ušabši, his son.	Sennacherib, king of Assyria, built a house at the same time as the laying of the foundation(s) of Nineveh and gave (it) to his son.
... s of the king:	... whom the king ... 
To the king, my lord: your servant, Nabû-ašared. May Aššur and Ešarra bless the king.	To the king, my lord: your servant Nabû-naṣir. May Nabû and  Marduk bless the king, my lord!
1, chief treasurer;	Of the wedding night of Mullissu — of the chief treasurer.
... in(to) the presence	... into the presence ... 
Disregard that they (may) think about it, but turn back and go away... 	Disregard that they (may) think about it, but turn and ... 
... Ga... 	... — ... -ili
fifty men ... 	and to my men ... 
Witness Nabû-nadin-apli, scribe.	Witness Nabû-nammir, scribe.
Witness Nabû-kabti-ahhešu, scribe, keeper of the tablet.	Witness Nabû-eṭir-napšati, scribe, keeper of the tablet.
... s, drainage pipes	The father(s) have performed the king’s naṭu ritual... The river wood has been cut and broken pieces have been smeared (with)  bitumen. 28 wooden stockades have been placed, the door of the main  gate has been installed and the key and lock have been made. The  drainage pipes of the courtyard have been coated with bitumen. The ... of the dariku-container has been installed. The rest of the barracks  have been completely built and roofed. I am (also) completely building  the storehouse of ... I shall glaze burnt bricks and coat  them with bitumen.
The priest of Anu, the priest of Adad, the priest of DN, the priest of the Assyrian (Ištar), and the priest of Nabû ... in the rikshaw	The priest of Anu, the priest of Adad, the priest of Šarrat-nipha, the priest of the Assyrian Ištar, the priest of Nabû and Tašmetu, the priest of Kuruš-kadru, the priest of DN, the priest of DN, the priest of DN, the priest of DN. 
Whoever in the future ... 	Whoever in the future, at any time, breaks the contract, whether Sin-nadin-ahi or his sons or relatives, and seeks a lawsuit or litigation against Sin-šarru-uṣur and his sons, shall pay 10 minas of silver, 5 minas of gold, and four white horses to Sin residing in Harran, and shall return the silver tenfold to its owners. He shall contest in his lawsuit and not succeed.
... the kingship and Bel-ibni	... this kingship and dominion
... they are in Babylon	The gods of Der, Nanaya, Gula, Mar-Biti (and) Marat-Biti, who went from the fort with ... to the city ... , are in Babylon. The king, my lord, should know (it).
... you did not cheat ... 	... shore of the sea ... did not have ... 
... attacked ... 	If in Ab (V) ... attack ... 
... their heart	... the death of ... 
I know (that) the crown prince, my lord,	And the crown prince, my lord, drew up a contract (entitling) me to have usufruct of the 'leftovers' of the crown prince, my lord. Now, what have I done wrong in the eyes of the crown prince, my lord?
17 shekels of silver belonging to Ištar of Arbela, belonging to Nabû-iqbi, at the disposal of Mutaqqin-Aššur, at the disposal of Aššur-reši-išši.	15 shekels of silver of Ištar of Arbela, belonging to Nur-Šamaš, at the disposal of Duri-Aššur, at the disposal of Arbailayu, at the disposal of Kur-ila'i, from the estate of Azhula.
The 8th of Nisan (I). 	On the 1st of Nisan (I), Aries appears; on the 20th of  Nisan (I), Auriga appears."
Month ... , 16th day, eponym year of Zababa-eriba.	Month ... , 23rd day, eponym year of Zazaya.
If (the moon) becomes visible on the 1st day: reliable speech; the land will become happy.	If the moon becomes visible on the 1st day: reliable speech, the land will become happy.
... of Milki-... 	Witness NN, from the village of Milki-... 
son of Bi-Dadi,	(As for) Uaiteʾ (Iautaʾ), son of Hazael, son of the brother of the father of Uaiteʾ, son of Bir-Dāda, who made himself king of the land of the Arabs — (viii 5)  (the god) Aššur, the king of the gods, the great mountain, deranged his mind and he (Iautaʾ) came before me. To show the praise of (the god) Aššur and the great gods, my lords, (viii 10) I imposed a heavy punishment upon him. I placed him in a neck-stock, bound him with a bear (and) a dog and (then) made him guard the Citadel Gate of Nineveh, (whose name is) the Entrance to the Place Where the World Is Controlled.
1 cooking pot of copper;	20 large cooking pots of copper, of two homers (capacity) each;
In the future, in days to come, may a later prince, when this wall becomes old and dilapidated, restore its weakened (portions). May he restore my inscribed name to its place. (Then) the god Aššur, the great lord, will listen to his prayers.	In the future may a later prince, when that structure becomes old and dilapidated, restore it. May he restore my inscribed name to its place. (Then) Aššur will listen to his prayers.
... the Kišites ... 	... there is ... 
Remanni-Adad, chariot driver, has contracted and bought (said people) from these gentlemen for x minas of silver (by the mina) of Carchemish.	Šumma-ilani, chariot driver, has contracted and bought them for x minas of silver by the (mina) of Carchemish
when help ... 	... the enemy, help ... 
If the moon rides a chariot in month Sililiti: the dominion of the king of Akkad will prosper, and he will capture his enemies.	If the moon rides a chariot in month Sililiti: the dominion of the king of Akkad will prosper, and his hand will capture his enemies. Sililiti is Shebat (XI).
... back ... 	... as ... 
Witness Sangû-Issar.	Witness Šar-Issar, rab dayāli.
Witness Addî, chariot driver.	Witness NN, chariot driver.
from my presence ... 	... into the presence ... 
2 of carnelian ... ;	x carnelian ... 
I.e., it becomes visible on the 1st day.	If the moon becomes visible on the 1st day: reliable speech, the land will become happy.
Witness ... ṣu, eunuch ... 	Witness ... šu, ... horse trainer.
12 cavalry horses, ... 	12 cavalry horses, the town of ... 
... Borsippa  ... 	We did not ... the Borsippeans ... 
Witness Banî, scribe.	Witness Atinni, scribe.
Concerning the wall about which ... 	Concerning the horses about which you wrote, even before you wrote I sent the treasurer Aššur-gimilli-terra with the army. Do whatever is opportune to do, be it to block the canal or to subjugate those people.
Ulaya: the guardian of its city.	The name of the great (inner) wall is: “Whose Brilliance Covers the Land.” The name of its outēr wall is: “Who Convulses the Regions.” The god Ulai is the guardian of his city (and) the god Kidudu is the guardian of his wall. The name of the Tabira Gate is: “Entrance for All Lands through the Strong Wall.”
Witness Nabû-balassu-iqbi, scribe, keeper of the document.	Witness Ilu-le'i, scribe, keeper of the document.
... the king to me	... the kings, my descendants, ... the people ... the great gods ... 
Seal of Lidbubu-lipušu, seal of Ahi-nuri, a total of 2 men, owners of the man being sold.	Seal of Sin-ahu-iddina, seal of Tuwi, a total of 2 men, owners of the women being sold.
... sick ears	... his ears ... 
Month ... , ... th day, eponym year of Nabû-le'i, governor of Arbela.	Month ... , xth day, eponym year of Šarru-lu-dari, governor of Dur-Šarruken.
— The Yoke star means Mars.	The Yoke star (means) Mercury; it is faint (and) ... are scarce.
Whoever erases my inscribed name (or) places (it) in the service of a god or (another) person, may the deities Aššur, Sîn, (and) Šamaš make his name (and) his seed disappear.	Palace of Sennacherib, king of Assyria. Whoever erases my inscribed name (or) places (it) in the service of a god (or another) person, may the deity ... make his name (and) his seed disappear. Booty of the city Dumetu.
... another ... 	... these ... 
total 5, at 2 seahs each.	total 70, at 2 seahs each.
Witness Šulmu-beli, village manager.	Witness Bel-lamur, village manager.
... reached Aries.	... reached, saying: "... 
they are ... persons ... 	Amurrî, his servant; ... -šar-Aššur; Urkit-ila'i; ... ; a household of all together 3 persons ... —
Palace of Ashurnasirpal, king of the world, king of Assyria, son of Tukultī-Ninurta (II), king of Assyria, son of Adad-nārārī (II) (who was) also king of Assyria: plunder from the city Mariru of the land Ḫatti.	Palace of Ashurnasirpal, king of the world, king of Assyria, son of Tukultī-Ninurta (II), king of Assyria, son of Adad-nārārī (II) (who was) also king of Assyria: (brick) belonging to the Bīt-natḫi of Nineveh.
20 ... ;	4 minas ... ;
... Remanni-ilu ... 	... Raši-il ... , and
Witness Silim-Adad.	Witness Ṣil-Adad, servant of chief of granaries.
Disregard that the days ... 	Disregard that ... 
... , in all 4	... in all 10 persons,
... habbur-wine;	... habbur-wine ... 
If he does not, he shall pay (in) silver according to the market price of Nineveh.	If he does not, he shall pay according to the market price of Nineveh.
Month Tishri (VII), 25th day, eponym year of Aššur-da''inanni of Que.	Month Tishri (VII), 13th day, eponym year of Aššur-garu'a-nere, chief cupbearer.
... Nabû-balliṭanni ... 	... -balliṭanni and his people, NN and his people,
I brought out of them ... sheep and goats, and I counted (them) as booty. Moreover, I destroyed, devastated, (and) turned into ruins their small(er) settlements, which were without number. I burned with fire pavilions (and) tents, their abodes, and reduced (them) to ashes.	I surrounded (and) conquered the cities Bīt-Kilamzaḫ, Ḫardišpu, (and) Bīt-Kubatti, their fortified walled cities. I brought out of them people, horses, mules, donkeys, oxen, and sheep and goats, and I counted (them) as booty. Moreover, I destroyed, devastated, (and) turned into ruins their small(er) settlements, which were without number. I burned with fire pavilion(s) (and) tents, their abodes, and reduced (them) to ashes.
to NN, ... —	Witness NN, ... 
Witness Huziru.	Witness Hurayu.
... of Šakkan.	... of Kakkullanu,
To the king of the lands, my lord: your servant, Šuma-iddin. May Nabû and Marduk bless the king of the lands, my lord.	To the king of the world, my lord: your servant Nabû-iqbi. May Nabû and Marduk bless the king of the world, my lord!
An estate of 60 hectares ... 	An estate of x hectares of field according to the seah of 10 'litres' ... 
... you shall come to me	... I shall come to ... and Harran, venerate my gods, and honour my house.
... have blessed the king, my lord, and given a life of distant days to the king, my lord!	On the 17th day Sin sets off and takes up residence in the akītu-temple. Let the king, my lord, order that they give the garments; I should bring them with me. The penitential psalm will be performed over them, he will bless the king, my lord, and give a life of distant days to the king, my lord.
So that the construction of my palace might be carried out correctly and that my handiwork be completed, at that time, the god Aššur and the goddess Ištar revealed to me the presence of white limestone in the city Balāṭāya... 	So that the construction of my palace might be carried out correctly and that my handiwork be completed, at that time, the god Aššur and the goddess Ištar, who love my priestly service (and) who selected me (lit. “who called my name”), revealed to me a source of trunks of cedar, which since distant days grew tall and very thick as they stood in seclusion in the Sirāra mountain range.
1 can of beer.	10 cans of beer;
Gabbu-amur, farmer, ... ;	Witness Nabi-ram, farmer ... 
If the moon is surrounded by a halo, and Mars stands in it: in all lands cultivated fields and dates will not prosper; variant: the Westland will diminish.	If the moon is surrounded by a halo, and Mars stands in it: loss of cattle; in all lands cultivated fields and dates will not prosper; the Westland will diminish.
I have crossed the Euphrates twenty-eight times, twice in one year, in pursuit of the Aḫlamû-Arameans. I brought about their defeat from the city Tadmar of the land Amurru, Anat of the land Sūḫu, as far as the city Rapiqu of Karduniaš (Babylonia). I brought their booty (and) possessions to my city Aššur.	I have crossed the Euphrates ... times, twice in one year, in pursuit of the Aḫlamû-Arameans, to the land Ḫatti. I brought about their defeat from the foot of Mount Lebanon, the city Tadmar of the land Amurru, Anat of the land Sūḫu, as far as Rapiqu of Karduniaš (Babylonia). I brought their booty (and) possessions to my city Aššur.
I took (and) uprooted 4,000 Urumu (and) Abešlu, insubmissive troops of Ḫatti, (and) regarded them as people of my land.	I took (and) uprooted 4,000 Urumu (and) Abešlu, (insubmissive) Hittite troops, (and) regarded them as belonging to my land.
I am waiting for ... Perhaps the king, my lord, will say:  "... 	(In the days) of my father and my grandfather, ... the chief victualler ... ed the corn ... Perhaps the king, my lord, will say: "... "
Month Ab (V), 5th day ... , eponym year of Metunu, governor of Isana.	Month Ab (V), 15th day, eponym year of Ilu-isse'a, governor of Damascus.
... utensils	I had a statue of the mother of the king made for the ... s which are ... in the streets of Gadisê... Utensils ... for (the city of) ... 
1 ditto, the Central City;	6 ditto, the New Palace of the Central City;
