not to harm ... 	not to ... 
To Sargon, king of the universe, my lord: Your servant Balassu. May Nabû and Marduk bless the king, my lord! Say to the king, my lord:	To Sargon, the king of the lands, my lord: your servant Nabû-šuma-iškun. May Nabû and Marduk bless the king, my lord! Say to the king, my lord:
from my servants ... 	my servants ... 
Šišlu             	Babilayu             
The money is paid completely. That house is purchased and acquired.	The money is paid completely. That woman and child are purchased and acquired.
To the king, my lord: your servant Ṭab-šar-Aššur: Good health to the king, my lord!	To the king, my lord: your servant NN. Good health to the king, my lord!
Fingernail of Kiqillanu, ... , owner of the people being sold.	Fingernail of ... î, owner of the man being sold.
cattle ... 	came ... 
Moreover, (as for) Hezekiah of the land Judah, who had not submitted to my yoke, I surrounded (and) conquered forty-six of his fortified cities, (iii 20) fortresses, and small(er) settlements in their environs, which were without number, by having ramps trodden down and battering rams brought up, the assault of foot soldiers, sapping, breaching, and siege engines. I brought out of them 200,150 people, young (and) old, male and female, (iii 25) horses, mules, donkeys, camels, oxen, and sheep and goats, which were without number, and I counted (them) as booty.	Moreover, (as for) Hezekiah of the land Judah, who had not submitted to my yoke, I surrounded (and) conquered forty-six of his fortified cities, fortresses, and small(er) settlements in their environs, which were without number, by having ramps trodden down and battering rams brought up, (iii 20) the assault of foot soldiers, sapping, breaching, and siege engines. I brought out of them 200,150 people, young (and) old, male and female, horses, mules, donkeys, camels, oxen, and sheep and goats, which were without number, and I counted (them) as booty.
in all, 4: the 'residences' of the Dikanaeans.	in all, 3: the 'residences' of the scribes.
... suati	... said
witness ... 	Witness ... 
Gadâ, ša šēpi guard;	Gadia, ša šēpi guard;
If the sun stands in a halo of the moon: they will speak the truth in all lands; the son will speak the truth with his father.	If the sun stands in the halo of the moon: (in) all lands (people) will speak the truth; the son will speak the truth with his father.
Sennacherib, king of Assyria, built a house at the same time as the laying of the foundation(s) of Nineveh and gave (it) to Aššur-šumu-ušabši, his son.	Sennacherib, king of Assyria, built a house at the same time as the laying of the foundation(s) of Nineveh and gave (it) to his son.
... s of the king:	... the king
To the king, my lord: your servant, Nabû-ašared. May Aššur and Ešarra bless the king.	To the king, my lord: your servant Ubru-ahhe. May Aššur and Ištar  bless the king, my lord.
1, chief treasurer;	x, the treasurer;
... in(to) the presence	... into the presence ... 
... he is	... this
Disregard that they (may) think about it, but turn back and go away... 	Disregard that they (may) think about it, but turn and ... 
... Ga... 	... as ... 
fifty men ... 	My men ... 
Witness Nabû-nadin-apli, scribe.	Witness Nabû-nammir, scribe.
Witness Nabû-kabti-ahhešu, scribe, keeper of the tablet.	Witness Nabû-eṭir-napšati, scribe, keeper of the tablet.
Whoever in the future ... 	Whoever in the future,
... you did not cheat ... 	... you did not ... 
... attacked ... 	... placed ... 
had ... 	heard ... 
... their heart	... their arms
The 8th of Nisan (I). 	On the nth of Nisan (I) ... 
Month ... , 16th day, eponym year of Zababa-eriba.	Month ... , 23rd day, eponym year of Zazaya.
If (the moon) becomes visible on the 1st day: reliable speech; the land will become happy.	If the moon becomes visible on the 1st day: reliable speech, the land will become happy.
... of Milki-... 	... of oil ... 
In the future, in days to come, may a later prince, when this wall becomes old and dilapidated, restore its weakened (portions). May he restore my inscribed name to its place. (Then) the god Aššur, the great lord, will listen to his prayers.	In the future may a later prince, when that structure becomes old and dilapidated, restore it. May he restore my inscribed name to its place. (Then) Aššur will listen to his prayers.
... the Kišites ... 	... there is ... 
Remanni-Adad, chariot driver, has contracted and bought (said people) from these gentlemen for x minas of silver (by the mina) of Carchemish.	Šumma-ilani, chariot driver, has contracted and bought them for x minas of silver by the (mina) of Carchemish
Ashurnasirpal, king of the world, king of Assyria, son of Tukultī-Ninurta (II), king of the world, king of Assyria, son of Adad-nārārī (II) (who was) also king of the world and king of Assyria.	Palace of Ashurnasirpal, great king, strong king, king of the world, king of Assyria, son of Tukultī-Ninurta (II), king of the world, king of Assyria, son of Adad-nārārī (II) (who was) also king of the world and king of Assyria: property of the temple of the god Ninurta. 
when help ... 	when he fell ... 
If the moon rides a chariot in month Sililiti: the dominion of the king of Akkad will prosper, and he will capture his enemies.	If the moon rides a chariot in month Sililiti: the dominion of the king of Akkad will prosper, and his hand will capture his enemies. Sililiti is Shebat (XI).
... back ... 	... as ... 
... the Arameans	... the Araean ... 
Witness Sangû-Issar.	Witness Habur-Issar.
Witness Addî, chariot driver.	Witness NN, chariot driver.
from my presence ... 	who in my presence ... 
2 of carnelian ... ;	x carnelian ... 
I.e., it becomes visible on the 1st day.	If the moon becomes visible on the 1st day ... 
Witness ... ṣu, eunuch ... 	Witness ... ku, ... 
... Borsippa  ... 	to Borsippa ... 
Witness Banî, scribe.	Witness Atinni, scribe.
Concerning the wall about which ... 	Concerning ... about which ... 
Witness Nabû-balassu-iqbi, scribe, keeper of the document.	Witness Ilu-le'i, scribe, keeper of the document.
... the king to me	... the king ... 
Seal of Lidbubu-lipušu, seal of Ahi-nuri, a total of 2 men, owners of the man being sold.	Seal of Sin-ahu-iddina, seal of Tuwi, a total of 2 men, owners of the women being sold.
Month ... , ... th day, eponym year of Nabû-le'i, governor of Arbela.	Month ... , ... th day, eponym year of NN, governor of ... 
Whoever erases my inscribed name (or) places (it) in the service of a god or (another) person, may the deities Aššur, Sîn, (and) Šamaš make his name (and) his seed disappear.	Palace of Sennacherib, king of Assyria. Whoever erases my inscribed name (or) places (it) in the service of a god (or another) person, may the deities Aššur, Sîn, Šamaš, Adad, ... , (and) Uraš make his name (and) his seed disappear.
married ... 	carries ... 
... another ... 	... these ... 
total 5, at 2 seahs each.	total 70, at 2 seahs each.
Witness Šulmu-beli, village manager.	Witness Bel-lamur, village manager.
2-year-old,	3-year-olds,
opposite ... 	opposite me in ... 
Palace of Ashurnasirpal, king of the world, king of Assyria, son of Tukultī-Ninurta (II), king of Assyria, son of Adad-nārārī (II) (who was) also king of Assyria: plunder from the city Mariru of the land Ḫatti.	Palace of Ashurnasirpal, king of the world, king of Assyria, son of Tukultī-Ninurta (II), king of Assyria, son of Adad-nārārī (II) (who was) also king of Assyria: (brick) belonging to the Bīt-natḫi of Nineveh.
20 ... ;	100 ... ;
Witness Silim-Adad.	Witness Silim-... 
Disregard that the days ... 	Disregard that ... 
... habbur-wine;	... habbur-wine ... 
If he does not, he shall pay (in) silver according to the market price of Nineveh.	If he does not, he shall pay according to the market price of Nineveh.
Month Tishri (VII), 25th day, eponym year of Aššur-da''inanni of Que.	Month Iyyar (II), 16th day, eponym year of Aššur-da''inanni.
about which the king, my lord, wrote to me,	As to what the king, my lord, wrote to me:
I brought out of them ... sheep and goats, and I counted (them) as booty. Moreover, I destroyed, devastated, (and) turned into ruins their small(er) settlements, which were without number. I burned with fire pavilions (and) tents, their abodes, and reduced (them) to ashes.	I surrounded (and) conquered ... their fortified walled cities. I brought out of them people, horses, mules, donkeys, oxen, and sheep and goats, and I counted (them) as booty. (ii 5') Moreover, I destroyed, devastated, (and) turned into ruins their small(er) settlements, which were without number. I burned with fire pavilions (and) tents, their abodes, and reduced (them) to ashes.
to NN, ... —	to NN ... 
Witness Huziru.	Witness Hurayu.
To the king of the lands, my lord: your servant, Šuma-iddin. May Nabû and Marduk bless the king of the lands, my lord.	To the king of the world, my lord: your servant Nabû-iqbi. May Nabû and Marduk bless the king of the world, my lord!
An estate of 60 hectares ... 	An estate of 10 hectares ... 
of the city ... 	of the king ... 
1 can of beer.	10 cans of beer;
If the moon is surrounded by a halo, and Mars stands in it: in all lands cultivated fields and dates will not prosper; variant: the Westland will diminish.	If the moon is surrounded by a halo, and Mars stands in it: loss of cattle; in all lands cultivated fields and dates will not prosper; the Westland will diminish.
I have crossed the Euphrates twenty-eight times, twice in one year, in pursuit of the Aḫlamû-Arameans. I brought about their defeat from the city Tadmar of the land Amurru, Anat of the land Sūḫu, as far as the city Rapiqu of Karduniaš (Babylonia). I brought their booty (and) possessions to my city Aššur.	I have crossed the Euphrates ... times, twice in one year, in pursuit of the Aḫlamû-Arameans, to the land Ḫatti. I brought about their defeat from the foot of Mount Lebanon, the city Tadmar of the land Amurru, Anat of the land Sūḫu, as far as Rapiqu of Karduniaš (Babylonia). I brought their booty (and) possessions to my city Aššur.
To the king, my lord: your servant Inurta-ila'i.	To the king, my lord: your servant Aššur-bani.
I took (and) uprooted 4,000 Urumu (and) Abešlu, insubmissive troops of Ḫatti, (and) regarded them as people of my land.	I took (and) uprooted 4,000 Urumu (and) Abešlu, (insubmissive) Hittite troops, (and) regarded them as belonging to my land.
I am waiting for ... Perhaps the king, my lord, will say:  "... 	has come ... Perhaps the king, my lord, will say: "... 
Month Ab (V), 5th day ... , eponym year of Metunu, governor of Isana.	Month Ab (V), 5th day, eponym year of Šulmu-beli, governor of Talmusa.
did not take ... 	did not go ... 
(Ammili'ti) the son of Amiri readied himself with 300 she-camels, intending to attack the booty being transferred  from Damascus to Assyria.	(Ammili'ti) the son of Amiri readied himself with 300 she-camels, intending to attack the booty being transferred from Damascus to Assyria.
3 2/3 ... ;	432 ... ;
Witness Ta... 	Witness ... 
Arrapha... 	Arrapha. 
the king my lord ... 	Let the king, my lord ... 
1, the woman Nikkal-šarrat.	the woman Nikkal-amat.
... s before you	... before you ... 
I turned around (lit. “I turned the front of my yoke”) and took the road to the land Bīt-Yakīn. He — Marduk-apla-iddina (II) (Merodach-baladan), whom (iii 60) I had defeated and whose forces I had scattered during my first campaign — became frightened by the clangor of my mighty weapons and my fierce battle array, then dislodged the gods of the (full) extent of his land from their abodes, and loaded (them) onto boats. (iii 65) He flew away like a bird to the city Nagīte-raqqi, which is in the midst of the sea. I brought his brothers, the seed of his father’s house, whom he had abandoned at the shore of the sea, together with the rest of the people of his land, out of the land Bīt-Yakīn, which is in the swamps and marshes, and I counted (them) as booty.	I turned around (lit. “I turned the front of my yoke”) and took the road to the land Bīt-Yakīn. He — Marduk-apla-iddina (II) (Merodach-baladan), whom I had defeated and whose forces I had scattered during my first campaign — became frightened by the clangor of my mighty weapons and my fierce battle array, then (iii 55) dislodged the gods of the (full) extent of his land from their abodes, and loaded (them) onto boats. He flew away like a bird to the city Nagīte-raqqi, which is in the midst of the sea. I brought his brothers, the seed of his father’s house, whom he had abandoned at the shore of the sea, together with the rest of the people of his land, out of the land Bīt-Yakīn, which is in the swamps and marshes, and I counted (them) as booty.
1, cohort commanders of the bodyguard;	1, cohort commander of the left;
Witness Kukulu. Witness Kullulu.	Witness Kinua. Witness Mullu-abu.
... nî	... in
Witness Sasî, mayor ... 	Witness Sasî, mayor of ... 
... curses 	... purse
... and seeks a lawsuit or litigation against Zabdî, his sons and his grandsons,	... seeks a lawsuit or litigation against Nabû-hamatua, his sons (and) his grandsons,
grant ... 	Again ... 
Azâ ... 	As ... 
upon the dais ... 	And the dais ... 
Ashurnasirpal, great king, strong king, king of the world, king of Assyria, son of Tukultī-Ninurta (II), great king, strong king, king of the world, king of Assyria, son of Adad-nārārī (II) (who was) also great king, strong king, king of the world, king of Assyria; valiant man who acts with the support of Aššur, his lord, and has no rival among the princes of the four quarters,	Ashurnasirpal, great king, strong king, king of the world, king of Assyria, son of Tukultī-Ninurta (II), great king, strong king, king of the world, king of Assyria, son of Adad-nārārī (II) (who was) also great king, strong king, king of the world, king of Assyria; valiant man who
Witness Bel-zeru-iqiša, ... 	Witness Bel-zeru-iddina, ... 
Palace of Sargon (II), appointee of the god Enlil, nešakku-priest of (the god) Aššur, great king, strong king, king of the world, king of Assyria, king of the four quarters (of the world), favorite of the great gods;	Palace of Sargon (II), appointee of the god Enlil, nešakku-priest of the god Aššur, strong king, king of the world, king of Assyria; king who ruled the four quarters (of the world), from east to west, and set governors (over them).
does not know ... 	does not ... 
28 stars ... 	to star ... 
Afterwards, I decided to increase the height of the terrace, then I added 30 courses of brick to the former (terrace) and (thus) I raised (it) to a height of 190 courses of brick. I made the area larger than before, (vi 40) added (it) to the former dimensions of the palace, and (thus) enlarged its structure. 	Afterwards, I decided to increase the height of the terrace, then I added 20 courses of brick to the former (terrace) and (thus) I raised (it) to a (total) height of 180 courses of brick. (55) I made the area larger than before, added (it) to the former dimensions of the palace, and (thus) enlarged its structure. 
To the king, my lord: your servant Šamaš-metu-uballiṭ. Good health to the king, my lord! May Nabû and Marduk bless the king, my lord.	To the king, my lord: your servant Nabû-zeru-uṣur, the scribe of the palace supervisor. Good health to the king, my lord! May Nabû and Marduk bless the king, my lord.
Witness Šama', scribe.	Witness Nargî, scribe.
... the breast-bone is thick. The coils of the colon are 14 in number... 	The breast-bone is thick. The coils of the colon ... 
If in Marchesvan (VIII) Adad thunders, the day becomes cloudy, it rains, a rainbow stretches, lightning flashes: a famous important person will fall.	If in Tishri (VII) Adad thunders, the day becomes cloudy, it rains, a rainbow stretches, lightning flashes: the gods will have mercy on the land.
16 2-seah jars of hinhinu-seeds;	3 2-seah jars of hinhinu-seeds;
... the royal house	... the royal seal
1 dark, fine garment of linen:	1 dark, fine garment:
NN, ... ya, Marduk-šumu-uṣur,	... Marduk-šumu-uṣur.
To the king, my lord: your servant, Marduk-šallim-ahhe, the one who blesses you. Good health to the king, my lord. May Aššur, Sin, Šamaš, Bel, Nabû, Ištar of Nineveh, and Ištar of Arbela very greatly bless the king, my lord. May they give to the king, my lord, long days and years of physical well-being.	To the king, my lord: your servant, Marduk-šallim-ahhe, the one who blesses you. Good health to the king, my lord. May Aššur, Bel, Nabû, Sin, Šamaš, Ištar of Nineveh, and Ištar of Arbela very greatly bless the king, my lord. May they give to the king, my lord, long days and years of physical well-being.
... to NN	... of NN
I made that city Bīt-Kilamzaḫ a fortress again (and) I strengthened its walls more than before, then I settled therein the people of the lands that I had conquered. I brought down from the mountains the people of the land of the Kassites 	I made that city Bīt-Kilamzaḫ a fortress again (and) I strengthened its walls more than before, then I settled therein the people of the lands that I had conquered.
... , 2 carpenters;	... the carpenters
Witness Sumaya, scribe.	Witness Nargî, scribe.
Ditto Nabû-šarru-uṣur.	Witness Nabû-šarru-uṣur.
Month Sivan (III), ... th day, eponym year of Sennacherib, king of Assyria.	Month Tammuz (IV), 15th day, eponym year of Sennacherib, king of Assyria.
Month ... , xth day, eponym year of Bel-lu-dari.	Month ... , 30th day, eponym year of Metunu.
x ditto garments, the front red, of the country;	1 urnutu-garment, the front (red), of the country.
41 children of 4 spans' height;	38 children of 5 spans' height;
I have asked ... 	I have hauled ... 
Disregard that the ram (offered) to your divinity for the performance of the extispicy is deficient or faulty.	Disregard that the ram (offered) to your great divinity for the performance of the extispicy is deficient or faulty... 
from his servants ... 	... his servant ... 
in accordance with the command of your great divinity, Šamaš, great lord, and your favorable decisions, should the subject of this query, Esarhaddon, king of Assyria, strive and plan, and send his messenger to Hubuškia?	in accordance with the command of your great divinity, Šamaš, great lord, and your favorable decisions, should the subject of this query, Esarhaddon, king of Assyria, strive and plan, and send ... ? If he, having planned, sends him,
and with you ... 	and you ... 
the year which ... 	that which ... 
Šamaš-... , 	Šamaš-... , ... ;
10 sheep ... 	16,000 sheep ... 
Witness Nergal-remanni, ... 	Witness Nergal-šallimanni, chief ... 
... in the town of Diati; ... 	... in the town Bir-nari, ... 
Corn or straw taxes shall not be exacted from that village.	Corn or straw taxes shall not be exacted from that land.
Witness Mesimesi.	Witness Misu.
... garden of the town Ra... 	... of the town ... 
Witness Urdu, weaver.	Witness Nabutî, weaver.
1 seah 1 'litre' of spiced bread; a 2-seah jar of hammurtu-beer.	1 seah 1 'litre' of spiced loaves; a 2-seah jar of hammurtu-beer,
Witness Nabû'a, scribe, keeper of the contract.	Witness Marduk-iddina, scribe, keeper of the contract.
an estate of x hectares of land ... 	An estate of 10 hectares ... 
8 trays of cakes;	2 trays of cakes;
He filled plates with spicy grains. He performed a sheep offering before it, and provided cooked meat. He placed the plates before Aššur and Mullissu, offered salt on them.	The king fills plates with spicy grains. He performs a sheep offering before them. He provides cooked meat and places the plates before Aššur and Mullissu. He offers salt on them.
... their ... status.	... their ... 
1 bedspread, ... ;	1 bedspread of ... ;
Witness Hubašate.	Witness Hatenu.
(Guaranteed against) epileptic seizures for 100 days (and against) fraud forever.	(Guaranteed against) seizures of epilepsy for 100 days (and against) fraud forever.
Issar-nadin-ahhe,	Issar-nadin-ahhe, ... ;
Kulkulanu, cohort commander, has contracted and bought them from Zeru-ukin, son of Bel-duri, for 3 minas of silver.	Kakkullanu, cohort commander, has contracted and bought them for one mina of silver.
broken and ... 	broke ... 
... I shall return ... 	... I shall give ... 
... to his left ... 	... the left ... 
Witness Nabû-rim-ilani.	Witness Nabû-ribanni.
1 seah 1 'litre' of spiced bread. A 2-seah jar of hammurtu-beer;	1 seah 1 'litre' of spiced loaves; a 2-seah jar of hammurtu-beer,
The son of Sargon ... 	the town of Saraga ... 
(whether) they will capture that city, enter that city, and conquer that city.	capture that city, enter that city, conquer that city?
If on the 16th day the moon and sun are seen together: the king of Subartu will have no rival. (This is) from a ... tablet.	If on the 16th day the moon and sun are seen together: the king of Subartu will become strong and have no rival.
If the moon is surrounded by a halo and the Field star stands in it: reduction of barley.	If the moon is surrounded by a halo and the Old Man Star stands in it: a reign of long duration.
Whoever in the future, at any time, lodges a complaint and breaks the contract, whether these men or their sons or ... ,	Whoever in the future, at any time, lodges a complaint or breaks the contract, whether these men or ... ,
the messenger and ... 	The messengers ... 
... -Issar — seah of 8 'litres'	... za — seah of 8 'litres'
Witness Iqiša-Aya, ... 	Witness Riba-Aya, ... 
Shalmaneser, appointee of the god Enlil, vice-regent of Aššur, son of Adad-nārārī (I), appointee of the god Enlil, vice-regent of Aššur, son of Arik-dīn-ili (who was) also appointee of the god Enlil (and) vice-regent of Aššur; founder of holy cult centers, builder of Ekur — shrine of the gods (and) dwelling of the god Nunnamnir:	Shalmaneser, appointee of the god Enlil, vice-regent of Aššur, son of Adad-nārārī (I), appointee of the god Enlil, vice-regent of Aššur, son of Arik-dīn-ili (who was) also appointee of the god Enlil (and) vice-regent of Aššur:
We kept watch on the ... th day; on the ... th day the moon and sun saw each other. May Nabû and Marduk bless the king my lord!	We kept watch on the 12th day; on the 13th day the moon and sun  saw each other. May Nabû and Marduk bless the king my lord!
To the king, my lord, your servants: NN and ... Good health to the king, my lord. May Nabû, Marduk, Sin, Ištar of Nineveh, and Ištar of Arbela very greatly bless the king, my lord.	To the king, my lord: your servant, Aššur-hamatu'a. Good health to the king, my lord. May Aššur, Sin, Šamaš, Ištar of Nineveh, and Ištar of Arbela bless the king, my lord.
Now what is it that the king, my lord, commands?	What is it that the king, my lord, commands? 
Shamash-upahhir,	Shamash-upahhir.
If the moon is surrounded by a halo, and a planet stands in it: robbers will rage.	If the moon is surrounded by a halo, and a planet stands in it: the king's troops will be shut up.
you ... to the gods ... ?	... the gods ... 
Disregard that ... they (may) experience ... trouble and hardships on the journey... 	Disregard that they (may) experience trouble and hardships on the journey... 
One mina of silver (by the mina) of Carchemish belonging to Silim-Aššur, at the disposal of Urda-Issar. He has taken it as a loan.	One mina of silver (by the mina) of Carchemish belonging to Silim-Aššur, at the disposal of Urda-Issar.
... 30 hectares of field,	... 20 hectares of field,
Month Iyyar (II), (eponym year of) Gir-Ṣapunu.	Month Iyyar (II), eponym year of Šarru-nuri.
... It has a 'station.' The 'path' ... 	It has a 'station.' The 'path' is present... 
If the moon is surrounded by a halo, and Mars stands in it: in all lands the cultivated field will not prosper.	If the moon is surrounded by a halo, and Mars stands in it: loss of cattle; in all lands cultivated fields and dates will not prosper ... 
The king should ask why ... 	The king should not say ... 
... of Bel-Harran-belu-uṣur	Bel-Harran-belu-usur
I would have seen ... 	I have seen ... 
In order to be able to draw water by bucket every day, I had bronze wire chains and bronze cables made and, instead of poles, I had tree trunks (and) date palm(s) placed over wells.	In order to be able to draw water by bucket every day, I had bronze wire chains and bronze cables made and, instead of poles, I had tree trunks together with date palm(s) of copper placed over wells.
... citizens of Babylon,	... to a citizen of Babylon
... so there is no fear ... 	... there is no ... 
... they are building ... 	... they are laying ... 
Gada', royal bodyguard;	Hadidu, royal bodyguard;
... 2 brick-courses laid	... brick-courses laid
... The 'weapon'-mark of the 'increment' is elevated to the left ... 	... The 'weapon'-mark of the 'increment' rises to the left... 
... tubes, 6 ... ,	... s, ... ,
Witness Nusku-iddina.	Witness Nabû-šumu-iddina.
Witness Dagan-milki.	Witness Dugul-pan-ili.
I, Ashurbanipal, the creation of (the god) Aššur and the goddess Mullissu, the senior son of the king of the House of Succession, the one whom the god Sîn nominated in distant days, while (he was) in the womb of his mother, for shepherding Assyria and (the one for whom) the gods Šamaš (and) Adad declared the exercising of its kingship through their firm decision(s) —	I, Ashurbanipal, the creation of (the god) Aššur and the goddess Mullissu, the senior son of the king of the House of Succession, the one whom (the god) Aššur and the god Sîn — the lord of the (lunar) crown — nominated in distant days to be king (i 5) and created in the womb of his mother for shepherding Assyria, (and the one for whom) the deities Šamaš, Adad, and Ištar declared my exercising the kingship through their firm decision(s) —
If he does not give, it shall increase by the same amount.	If he does not pay, it shall increase by a fourth.
Witness Nabû-sagib.	Witness Nabû'a.
The god Enlil saw ... and his heart became angry (and) his mood became furious. The Enlil of the gods, the lord of the lands, plotted evilly to scatter the land and people; to level the land and to destroy its people, his heart was angry. A bitter curse was placed in his mouth. 	... His mood became furious. The Enlil of the gods, the lord of the lands, plotted evilly to scatter the land and people; his heart schemed to level the land and to destroy its people. A bitter curse was set in his mouth. 
in all, 9: the 'residences' of the Huhamaeans.	in all, 3: the 'residences' of the scribes.
I, Sîn-šarra-iškun, great king, strong king, king of the world, king of Assyria; son of Ashurbanipal, great king, strong king, king of the world, king of Assyria, king of the land of Sumer and Akkad, king of the four quarters (of the world); son of Esarhaddon, great king, strong king, king of the world, king of Assyria, (5) governor of Babylon, king of the land of Sumer and Akkad; son of Sennacherib, great king, strong king, king of the world, king of Assyria, unrivalled prince; descendant of Sargon (II), great king, strong king, king of the world, king of Assyria, governor of Babylon, king of the land of Sumer and Akkad; (10) the one who renovates the chapels of the temple of the god Nabû, that is inside Baltil (Aššur): I repaired its enclosed courtyard (lit. “that enclosed courtyard”) with baked bricks, the craft of the deity Nunurra.	son of Ashurbanipal, great king, strong king, king of the world, king of Assyria, king of the land of Sumer and Akkad, king of the four quarters (of the world); son of Esarhaddon, great king, strong king, king of the world, king of Assyria, governor of Babylon, king of the land of Sumer and Akkad; son of Sennacherib, great king, strong king, king of the world, king of Assyria, unrivalled prince; descendant of Sargon (II), great king, strong king, king of the world, king of Assyria, governor of Babylon, king of the land of Sumer and Akkad; ... , pious prince, capable governor, beloved of the god Nabû and the goddess Tašmētu ... 
Month of Iyyar (II), 10th day, eponym year of Sargon (719 B.C.)... 	Month Iyyar (II), 16th day, eponym year of ... 
... the horses ... 	... these ... 
Witness Dunusu. Witness NN.	Witness Kanunayu. Witness NN.
of these men ... 	the men ... 
To the king, my lord: your servant Ašipâ. Good health to the  king, my lord! May Nabû (and) Marduk bless the king, my lord.	To the king, my lord: your servant Nabû-zeru-uṣur, the scribe of the palace supervisor. Good health to the king, my lord! May Nabû and Marduk bless the king, my lord.
If you do what is good to me,	and do what is good to me.
brothers ... 	another ... 
If the upper part and the lower part are in equilibrium: strife. Lovers will be estranged.	... If the upper and the lower part are in equilibrium: strife. Lovers will be estranged... 
If the moon and sun are in balance: the land will become stable; reliable speech will be placed in the mouth of people.	If the moon and sun are in balance: the land will become stable; reliable speech will be placed in the mouth of people; the king ... will make the throne last long.
Aššur-Enlil; Mašmaš; Aššur-Adad in front of Aššur-dugul; Aššur-Adad in front of Aššur-Conqueror; Enlil-Anu; Ea-šarru; Sîn, Adad, Šamaš; Ištar, the Queen of Heaven of Kar-Tukulti-Ninurta, Šerua; the Great Gods; Tašmetu; Nusku, Ninurta; Kippat-mati, Kippat-mati-image, Kutatati; Enlil, Dagan, Aššur-Tiara, the Sun-image, Aššur-Lahmus, Aššur-Judges, Ea-Kittu, Sîn, Šamaš, Aššur-Conqueror; Ea, Kittu (and) Mišaru, Dibar; Ninurta (and) Aššur; Aššur-Šakkan-Tišpak, Aššur-Judges; Lubelim, Gimagan, Ili-pada;	Aššur-Enlil; Mašmaš; Aššur-Adad in front of Aššur-dugul; Aššur-Adad in front of Aššur-Conqueror; Enlil-Anu; Ea-šarru; Sîn, Adad, Šamaš; Ištar, the Queen of Heaven of Kar-Tukulti-Ninurta, Šerua; the Great Gods; Tašmetu, Ninurta, Nusku; Kippat-mati, Kippat-mati-image, Kutatati; Enlil, Dagan, Aššur-Tiara, Sun-image, Aššur-Lahmus, Aššur-Judges, Kittu, Sîn, Šamaš, Aššur-Conqueror; Ea, Kittu (and) Mišaru, Dibar; Ninurta and Aššur, Aššur-Šakkan-Tišpak, Aššur-Judges; Lubelim, Gimagan, Il-pada;
Witness Danqu-dibbi-Issar, ditto.	Witness Danqu-dibbi-šarri.
Marduk-šarrani,	Marduk-remanni,
adjoining the garden of Šumma-ilani,	adjoining the garden of Ulkâ,
Witness NN. Witness Nargî.	Witness NN. Witness Samati.
If the moon reaches the sun and follows it closely, and one horn meets the other: there will be truth in the land; the son will speak the truth with his father; universal peace.	If the moon reaches the sun and follows it closely, and one horn meets the other: there will be truth in the land, and the son will speak the truth with his father.
You wrote ... 	... you wrote ... 
To the king, my lord: your servant Nabû-eṭiranni. 	To the king, my lord: your servant Aššur-bani.
The exorcists who go in front of him reciting an incantation, are his people; they go wailing in front of him. 	The exorcists, who go in front of him reciting an incantation, are his people; they go wailing in front of him. 
Esarhaddon, great king, mighty king, king of the world, king of Assyria, governor of Babylon, king of Sumer and Akkad, the true shepherd who reorganized the confused people and made light shine forth for them; to whom the <great> gods gave as a gift (the ability) to create, build, (and) renew; the one who (re)constructed the temple of the god Aššur, (re)built Esagil and Babylon, completed all of the cult centers, renewed the statues of the great gods, (and) who returned the plundered gods of the lands to their (proper) place from Assyria; who plated Egašankalama, the temple of the goddess Ištar of Arbela, his lady, with silver (zaḫalû) and made (it) shine like daylight — I had lions, screaming anzû-birds, laḫmu-monsters, (and) kurību-genii fashioned from silver and copper and set (them) up in its entry doors.	Esarhaddon, great king, mighty king, king of the world, king of Assyria, governor of Babylon, king of Sumer and Akkad, the true shepherd who reorganized the confused people (and) made light shine forth for them; to whom the great gods gave as a gift (the ability) to create, build, (and) renew; (5) the one who (re)constructed the temple of the god Aššur, (re)built Esagil and Babylon, completed all of the cult centers, renewed the statues of the great gods, (and) who returned the plundered gods of the lands to their (proper) place from Assyria; who plated Egašankalama, the temple of the goddess Ištar of Arbela, his lady, with silver (zaḫalû) and made (it) shine like daylight — I had lions, screaming anzû-birds, laḫmu-monsters, (and) kurību-genii fashioned from silver and copper and set (them) up in its entry doors.
... with you ... 	... who ... 
Now then I’m writing to the king, my lord: 	Now then I am waiting for the king, my lord.
Witness Nergal-duri.	Witness Nergal-eṭir.
He shall enjoy it for three crop years and 3 fallow years, in all 6 years.	He shall enjoy the field for 3 crop years and 3 fallow years, in all 6 years.
... , his wife, his 2 sons, his daughter ... 	... ni, his wife, NN his son, his daughter,
I placed crossbeams on tall cedar columns (thus forming) a cornice in their gates. I had the frieze(s) (and) coping(s) of the whole of that palace made of black (and) blue (glazed bricks) and I put (them) around (it) like a wreath. I surrounded all of the gates with an arch (and) a vault like a rainbow. I embedded nails of pure silver and shining bronze in them. Through the craft of the sculptor, I depicted on it (the frieze of the palace) the might of the god Aššur, my lord,  (the deeds) that I had accomplished in enemy lands.	I placed crossbeams on large copper columns (and) tall cedar columns, (thus forming) a cornice in their gates. I had the frieze(s) (and) coping(s) of the whole of that palace made of black and blue (glazed bricks) and I put (them) around (it) like a wreath. I surrounded all of the gates with an arch and a vault like a rainbow. I embedded nails of silver, gold, and shining copper in them. Through the craft of the sculptor, I depicted on it (the frieze of the palace) the might of the god Aššur, my lord, (and) the deeds that I had accomplished in enemy lands. 
Month ... , 18th day	Month ... , 17th day.
on foot ... 	not ... 
