x talents, Sam'al;	x talents, Ṣimirra;
As for him, Hezekiah, fear of my lordly brilliance overwhelmed him and, after my (departure), he had the auxiliary forces (and) his elite troops whom he had brought inside to strengthen the city Jerusalem, his royal city, thereby gaining reinforcements, (along with) 30 talents of gold, 800 talents of silver, choice antimony, large blocks of ... , ivory beds, armchairs of ivory, elephant hide(s), elephant ivory, ebony, boxwood, garments with multi-colored trim, linen garments, blue-purple wool, red-purple wool, utensils of bronze, iron, copper, tin, (and) iron, chariots, shields, lances, armor, iron belt-daggers, bows and uṣṣu-arrows, equipment, (and) implements of war, (all of) which were without number, together with his daughters, his palace women, male singers, (and) female singers brought into Nineveh, my capital city, and he sent a mounted messenger of his to me to deliver (this) payment and to do obeisance.	As for him, Hezekiah, fear of my lordly brilliance overwhelmed him and, after my (departure), he had the auxiliary forces and his elite troops (iii 35) whom he had brought inside to strengthen the city Jerusalem, his royal city, thereby gaining reinforcements, along with 30 talents of gold, 800 talents of silver, choice antimony, large blocks of ... , ivory beds, armchairs of ivory, elephant hide(s), elephant ivory, ebony, boxwood, every kind of valuable treasure, as well as his daughters, (iii 40) his palace women, male singers, (and) female singers brought into Nineveh, my capital city, and he sent a mounted messenger of his to me to deliver (this) payment and to do obeisance.
I saw ... 	He saw ... 
To aid the gods Bēl (Marduk) and Nabû, lords of mine whose divinity I constantly revered, I mustered my battle troops and set out on the road. He heard about the advance of my expeditionary force and (v 70) (then) fear overwhelmed him and he returned to his (own) land. I went after him (and) brought about his defeat. I drove him away as far as the border of his land. 	To support the gods of the land Akkad, I mustered my battle troops and took the road. Urtaku, the king of the land Elam, heard about the advance of my expeditionary force, fear overwhelmed him, and he returned to his (own) land. I went after him (and) brought about his defeat. I drove him away as far as the border of his land.
was damaged ... 	has made ... 
In the course of my campaign, I surrounded, conquered, (and) plundered the cities Bīt-Daganna, Joppa, Banayabarqa, (and) Azuru, the cities of Ṣidqâ that had not submitted to me quickly. (As for) the governors, the nobles, ... 	In the course of my campaign, I surrounded, conquered, (and) plundered the cities Bīt-Daganna, Joppa, Banayabarqa, (and) Azuru, (iii 5') the cities of Ṣidqâ that had not submitted to me quickly.
Disregard that I, the haruspex, your servant, have jumbled the oracle query in my mouth, (or) changed or altered the proceedings... 	Disregard that I, the haruspex your servant, have jumbled the oracle query in my mouth, or changed (or) altered the proceedings... 
of the 11th day... 	the 1xth day ... 
Witness Nabû-tabni-uṣur, city scribe.	Witness Nabû-nammir, scribe.
x mina(s), Ahu-kenu, 1/2 mina ditto;	x mina(s), Sin-šarru-uṣur, 1/3 mina ditto;
Iyyar (II), 1st day, eponym year of Atar-il, governor of Lahiru.	Month Iyyar (II), 1st day, eponym year of Šulmu-beli-lašme, governor of Der.
Witness ... mua, from Nineveh.	Witness ... ayu, citizen of Nineveh.
Witness Qua.	Witness ... 
Eṭir-... 	Eṭir-... ;
Grand total 977 people, deportees, from Que. 	(Grand) total, 84 people, deportees. 
... the temple ... 	... these ... 
which ... will come 	... will come
I turned around (lit. “I turned the front of my yoke”) and took the road to the land Ellipi. (ii 5'') Before my arrival, Ispabāra, their king, abandoned his fortified cities (and) his treasury and fled far away. I overwhelmed all of his wide land like a fog. I surrounded, conquered, destroyed, devastated, (and) burned with fire the cities Marʾubištu (and) Akkuddu, (ii 10'') cities of his royal house, together with thirty-four small(er) settlements in their environs.	I turned around (lit. “I turned the front of my yoke”) and took the road to the land Ellipi. Before my arrival, Ispabāra, their king, abandoned his fortified cities (and) his treasury and fled far away. I overwhelmed all of his wide land like a fog. I surrounded, conquered, destroyed, devastated, (and) burned with fire the cities Marʾubištu (and) Akkuddu, cities of his royal house, together with thirty-four small(er) settlements in their environs.
... they appoint	... the amount
The king, my lord, should do as he deems best.	The king may happily do as he deems best.
1 ditto — the house ... ,	to the house ... 
This ... Nabû-... 	... of Nabû-... 
Will Esarhaddon, king of Assyria, ... be troubled and worried?	Will Esarhaddon, king of Assyria, be ... ?
Aššur-nārārī, vice-regent of the god Aššur, son of Išme-Dagan (II), (who was) also vice regent of the god Aššur:	Aššur-nārārī, vice-regent of the god Aššur, son of Išme-Dagan (II) (who was) also vice-regent of the god Aššur:
In the middle surface of the 'finger' there is a fissure... 	In the middle surface of the 'finger' there is a ... and ... 
(As for) the governors, the nobles, and the people of the city Ekron who had thrown Padî, their king who was bound by treaty and oaths to Assyria, into iron fetters and who had handed him over to Hezekiah of the land Judah in a hostile manner, (iii 10) they became frightened on account of the villainous acts they had committed. They formed a confederation with the kings of Egypt (and) the archers, chariots, (and) horses of the king of the land Meluḫḫa, forces without number, and they came to their aid.	(As for) the governors, the nobles, and the people of the city Ekron (ii 70) who had thrown Padî, their king who was bound by treaty and oaths to Assyria, into iron fetters and who had handed him over to Hezekiah of the land Judah in a hostile manner, they became frightened on account of the villainous acts they had committed. They formed a confederation with the kings of Egypt (and) the archers, chariots, (ii 75) (and) horses of the king of the land Meluḫḫa, forces without number, and they came to their aid.
He shall enjoy the usufruct of the field for three crop years.	He shall have the usufruct of the field for three fallow years and three crop years.
Witness Se'-nuri. Witness Šer-ila'i.	Witness ... surri. Witness Bel-ila'i,
belonging to Bahianu, at their disposal. They have taken it as a loan.	(barley) belonging to Bahianu, at their disposal. They have taken it as a loan.
... his ... s 	... who ... 
The money is paid completely. That man is purchased, acquired, paid off, and cleared. Any revocation, lawsuit or litigation is void.	The money is paid completely. Those fields, houses and people are purchased and acquired. Any revocation, lawsuit, or litigation is void.
It shall increase 1 shekel of silver per mina.	It shall increase 2 shekels per mina per month.
An estate of 2 hectares "thin" (land) adjoining ... 	an estate of 3 decares adjoining ... ;
He shall enjoy it for x crop years.	He shall live in it for 5 years.
The king did not agree to ... 	He did not agree ... 
Palace of Ashurnasirpal, king of the world, king of Assyria, son of Tukultī-Ninurta (II), (who was) also king of the world and king of Assyria.	Shalmaneser, king of the universe, king of Assyria, son of Ashurnasirpal (II), king of the universe, king of Assyria, son of Tukultī-Ninurta (II), (who was) also king of the universe and king of Assyria:
... Šamulu, son of NN;	... tu, son of NN
Bel-u... 	Bel-... 
fills ... 	in all ... 
Should Esarhaddon, king of Assyria, appoint the man whose name is written in this papyrus and placed before your great divinity, to the office which is written in this papyrus?	I ask you, Šamaš, great lord, whether, (should) Esarhaddon, king of Assyria, appoint the man whose name is written in this papyrus and placed before your great divinity, to the office of 'bishop' in ... ,
... (of) Sargon, king of Assyria.	... son of Sennacherib, king of Assyria.
Bit-Zabidi ... 	of Bit-Zabidaya ... 
On the 23rd day the king came down to the House of God. He brought forth a censer and a torch. He performed the sheep offerings before Aššur and Mullissu. He performed those before the gods of heaven.	On the 23rd day the king goes down to the House of God. He illuminates the face. He performs the regular offering before Aššur and Mullissu. He performs one before the gods of heaven.
Hulî, servant of NN —	servants of NN —
shall place 10 minas of silver (and) one mina of gold in the lap of Inurta residing in Calah, and shall return the money tenfold to its owner. He shall contest in his  non-lawsuit and not succeed.	shall place 10 minas of refined silver (and) x minas of pure gold in the lap of Ninurta residing in Calah, and shall return the money tenfold to its owners. He shall contest in his lawsuit and not succeed.
... I shall forward.	... I shall do
Seal of Marduk-napšati-... , owner of the ... being sold.	Seal of ... , owner of the ... being sold.
On the day that he pays the silver, he shall redeem his land.	On the day that he pays the silver, he shall redeem his servant.
Witness Ubbuku.	Witness Saklu.
... will they attack (him), and kill and plunder him? Will Esarhaddon, king of Assyria, be troubled and angry? Will he who can see, see it? Will he who can hear, hear it?	Will Esarhaddon, king of Assyria, be troubled and angry? Will he who can see, see it? Will he who can hear, hear it?
... presented ... , saying: "... 	... reached, saying: "... 
Witness Nusku-emuranni.	Witness Bel-emuranni.
(As for) the one who alters the work of my hands, mutilates my features (on a relief), obliterates the reliefs that I have engraved (lit.: “engrave”), (or) effaces my own representation(s), may the gods Aššur, Šamaš, Adad, and the gods who dwell there remove his name (and) his descendant(s) from the land and make him live in bondage under his enemy.	(As for) the one who alters the work of my hands, mutilates my features (on a relief), obliterates the reliefs that I have engraved, or effaces my own representation(s), may the gods Sîn, Šamaš, Adad, and the great gods who dwell there remove his name (and) his descendant(s) from the land and make him live in bondage under his enemy.
... below her.	... Now he
A mare in ... 	Again ... 
Moving on from this camp I marched to the cities in the plain of Mount Niṣir which no one had ever seen. I conquered the city Larbusa, the fortified city (iii 5) which (was ruled by) Kirteara, (and) eight cities in its environs. The troops were frightened (and) took to a rugged mountain. The mountain was as jagged as the point of a dagger. The king with his troops climbed up after them. I threw down their corpses within the mountain, massacred 172 of their fighting men, (iii 10) (and) piled up many troops on the precipices of the mountain. I brought back captives, possessions, oxen, (and) sheep from them (and) burnt their cities. I hung their heads on trees of the mountain (and) burnt their adolescent boys. I returned to my camp (and) spent the night.	Moving on from this camp I marched to the cities in the plain of Mount Niṣir which no one had ever seen. I conquered the city Larbusa, the fortified city which (was ruled by) Kirtiara, (and) eight cities in its environs. The troops were frightened (and) took to a rugged mountain. The mountain was as jagged as the point of a dagger. The king with his troops climbed up after them. I threw down their corpses in the mountain, massacred 172 of their fighting-men, (and) piled up many troops on the precipices of the mountain. I brought back captives, possessions, oxen, (and) sheep from them (and) burnt their cities. I hung their heads on trees of the mountain (and) burnt their adolescent boys (and) girls. I returned to my camp (and) spent the night.
Total 26 ... 	total ... 
... in the middle ... there is a 'request'-mark... 	... in the middle of the right side, a 'request'-mark ... 
5 urnutu-garments, ditto, ditto, ditto, ... ;	1 urnutu-garment, ditto, ... ;
he said: "... 	heard ... 
In my tenth regnal year I crossed the Euphrates for the eighth time. <I captured> the cities of Sangara, the Carchemishite. Moving on from the cities of the Carchemishite I approached the cities of Aramu (and) captured Arne, his royal city, together with one hundred cities in its environs.	In my tenth regnal year I crossed the Euphrates for the eighth time. I captured the cities of Sangara, the Carchemishite. I approached the cities of Aramu (and) captured Arnê, his royal city, together with one hundred cities (in its environs).
Witness Nusku-emuranni, son of Babilayu.	Witness Inurtî, son of Babilayu.
... in truth to my lord ... 	... of the king my lord ... 
... we	... weight
10 shekels of silver ... 	10+x shekels of silver
Bel-sharrani,	Bel-shadua,
I heard of this and sent word to Bel-iqbi; he came and we went together to meet the booty. He saw us, ambushed us from behind, and we had a fight. 1,500 booty sheep from the city of Huzaza, 1,500 sheep ... city of ... , ... 2 men ... men ... 	I heard of this and sent word to Bel-iqbi; he came and we went together to meet the booty. He saw us, ambushed us from behind, and we had a fight. 1,500 booty sheep from the city of Huzaza, 1,500 sheep ... city of ... , ... 100 men ... men ... 
10 ditto, in the inner precinct;	1 ditto, in the inner precinct;
When I had seized ... 	When I seized ... 
the interior of the land Nirbu. I brought within the boundaries of my land (the territory stretching) from the passes of Mount Kirruru to the land Gilzānu, from the opposite bank of the Lower Zab to the city Tīl-Bāri which is upstream from the land Zaban, from the city Tīl-ša-Abtāni to the city Tīl-ša-Zabdāni,	to the interior of the land Nirbu; I brought within the boundaries of my land (the territory stretching) from the passes of Mount Kirruru to the land Gilzānu, from the opposite bank of the Lower Zab to the city Tīl-Bāri which is upstream from the land Zaban, from the city Tīl-ša-Abtāni to the city Tīl-ša-Zabdāni, (and) the cities Ḫirimu (and) Ḫarutu (which are) fortresses of Karduniaš (Babylonia); finally, I have gained dominion over the entire extensive lands Nairi:
If Jupiter becomes visible in Tishri (VII): enemy kings will receive peace.	If Jupiter becomes steady in the morning: enemy kings will make peace.
... watch	... why
To Nabû-duri-uṣur, my lord: your servant Rimutte. Good health to my lord!	To the treasurer, my lord, your servant Aššur-reṣuwa. Good health to my lord!
mutually ... 	all ... 
Disregard that treachery ... 	Disregard that ... 
For the god Marduk, his lord: Ashurbanipal, king of the world (and) king of Assyria, for the sake of his life had baked bricks made anew for Etemenanki.	For the god Marduk, his lord: Esarhaddon, king of Assyria (and) king of Babylon, had baked bricks made anew for Etemenanki.
... does not know him ... 	... goodness to him ... 
shall place ... in the lap of Ištar residing in Nineveh, and shall return the money tenfold to its owners.	He shall place x minas of silver and x minas of gold in the lap of Ištar of Nineveh, and shall return the money tenfold to its owner.
1 basket of silver;	1 block of silver;
Issar-na'id, ... ;	Issar-na'di said: "... 
ask ... 	Bakkâ ... 
Those who entreat ... 	those who enter ... 
1 duck;	1 duck,
Witness Immani-il, ... 	Witness Il-immi, ... 
... in ... ; ... 	... in ... 
As to what the king, my lord, wrote me: "The ... ean who ... 	As to what the king, my lord, wrote to me: "Set out ... !
me ... 	when ... 
he said ... 	heard ... 
... Šamaš	... Šamaš ... 
To Sargon, king of the universe, my lord: Your servant Balassu. May Nabû and Marduk bless the king, my lord! Say to the king, my lord:	To the king, my lord: your servant, Šumaya. May Nabû and Marduk bless the king, my lord. Good health to the king, my lord!
from my servants ... 	4 servants ... 
Šišlu             	Babilayu             
The money is paid completely. That house is purchased and acquired.	The money is paid completely. That woman and child are purchased and acquired.
if the 'hand' of god ... is placed on him in extispicy, is it decreed and confirmed in a favorable case, by the command of your great divinity, Šamaš, great lord?	Is it decreed and confirmed in a favorable case, by the command of your great divinity, Šamaš, great lord?
(With regard to) Eanna, which Šulgi, a previous king, had had built and which had become old, and (with regard to) the shrine of the god Ningizzida, which Anam, an earlier king, had had constructed inside it, (with regard to) this temple, whose walls had buckled and whose bondings had disintegrated, whose parapet had collapsed and which had become unrecognizable, (and) whose reconstruction had not occurred to the kings, (his) predecessors,	(With regard to) Eanna, which Šulgi, a previous king, had had built and which had become old, (i 20) (with regard to) this temple, whose walls had buckled, whose bondings had disintegrated, <who>se parapet had become ruined, whose foundation had collapsed, (and) whose (re)construction had not occurred to (any of) the kings, (his) predecessors —
May one of the kings, my descendants, whom the god Aššur names to rule over the land and people, read my foundation inscription, (viii 10) anoint (it) with oil, make an offering, (and) return (it) to its place. The god Aššur will (then) hear his prayers.	In the future, may one of the kings, my descendants, whom the god Aššur names for shepherding the land and people, renovate its dilapidated section(s) when that palace becomes old and dilapidated. May he find an inscribed object bearing my name, anoint (it) with oil, make an offering, (and) return (it) to its place. The god Aššur will (then) hear his prayers.
To the king, my lord: your servant Ṭab-šar-Aššur: Good health to the king, my lord!	To the king, my lord: your servant NN. Good health to the king, my lord!
Fingernail of Kiqillanu, ... , owner of the people being sold.	Seal of Se'-natan, owner of the people being sold.
cattle ... 	total ... 
To the great crown prince, the son of the king of the whole world, my lord: your servant Adad-šumu-uṣur. Good health to the son of the king of all lands! May Aššur, Sin, Šamaš, Nabû and Marduk, and the great gods of heaven and earth very greatly bless the son of the king of all lands, my lord.	To the king, my lord: your servant Adad-šumu-uṣur. Good health  to the king, my lord! May Aššur, Sin, Šamaš, Nabû, Marduk and the great gods of heaven and earth very greatly bless the king, my lord!
Moreover, (as for) Hezekiah of the land Judah, who had not submitted to my yoke, I surrounded (and) conquered forty-six of his fortified cities, (iii 20) fortresses, and small(er) settlements in their environs, which were without number, by having ramps trodden down and battering rams brought up, the assault of foot soldiers, sapping, breaching, and siege engines. I brought out of them 200,150 people, young (and) old, male and female, (iii 25) horses, mules, donkeys, camels, oxen, and sheep and goats, which were without number, and I counted (them) as booty.	Moreover, (as for) Hezekiah of the land Judah, who had not submitted to my yoke, I surrounded (and) conquered forty-six of his fortified cities, fortresses, and small(er) settlements in their environs, which were without number, by having ramps trodden down and battering rams brought up, (iii 20) the assault of foot soldiers, sapping, breaching, and siege engines. I brought out of them 200,150 people, young (and) old, male and female, horses, mules, donkeys, camels, oxen, and sheep and goats, which were without number, and I counted (them) as booty.
in all, 4: the 'residences' of the Dikanaeans.	in all, x: the 'residences' beneath the Window.
... suati	... said
witness ... 	Witness ... 
... fish, Aššur-šarru-uṣur,	... , Sin-šarru-uṣur,
Gadâ, ša šēpi guard;	Gadia, ša šēpi guard;
If the sun stands in a halo of the moon: they will speak the truth in all lands; the son will speak the truth with his father.	If the moon is surrounded by a halo, and the sun stands in it: there will be truth in the land; the son will speak the truth with his father.
Lu-ahhe, his servant —	Ahu-uqur, his servant —
Sennacherib, king of Assyria, built a house at the same time as the laying of the foundation(s) of Nineveh and gave (it) to Aššur-šumu-ušabši, his son.	Sennacherib, king of Assyria, built a house at the same time as the laying of the foundation(s) of Nineveh and gave (it) to his son.
... s of the king:	... my ... to the king
To the king, my lord: your servant, Nabû-ašared. May Aššur and Ešarra bless the king.	To the king, my lord: your servant Nabû-naṣir. May Nabû and  Marduk bless the king, my lord!
1, chief treasurer;	x, the treasurer;
... in(to) the presence	... into the presence ... 
... he is	... this
Total, (in) the village of Bel-abu'a, near the town of Dumâ, in Kipani.	Total, in the village of Gurrabâ, near the town of Dur-Nabû.
Disregard that they (may) think about it, but turn back and go away... 	Disregard that they (may) think about it, but turn and ... 
... Ga... 	... to ... 
fifty men ... 	My men ... 
Witness Nabû-nadin-apli, scribe.	Witness Nabû-bel-šumati, scribe.
Witness Nabû-kabti-ahhešu, scribe, keeper of the tablet.	Witness Nabû-eṭir-napšati, scribe, keeper of the tablet.
Aššur-da''in-šarru, eunuch, (was) reporter.	Aššur-da''in-šarru, Dannaya, reporters.
Whoever in the future ... 	Whoever in the future, at any time, ... 
... the kingship and Bel-ibni	... this kingship and dominion
... they are in Babylon	... they are silent
... you did not cheat ... 	... did not settle ... 
... attacked ... 	... red ... 
had ... 	heard ... 
... their heart	... there are
I know (that) the crown prince, my lord,	... of the crown prince, my lord
... like this	... this
The 8th of Nisan (I). 	On the nth of Nisan (I) ... 
Witness Šulmu-šarri, witness Bel-Harran-ahu-uṣur,	Witness Tabalayu. Witness Bel-Harran-ahu-uṣur.
Month ... , 16th day, eponym year of Zababa-eriba.	Month ... , 23rd day, eponym year of Zazaya.
If (the moon) becomes visible on the 1st day: reliable speech; the land will become happy.	If the moon becomes visible on the 1st day: reliable speech, the land will become happy.
... of Milki-... 	... of ... 
Let the king, my lord, write me what (his) orders are.	Let the king, my lord, decide what his orders are and write me.
In the future, in days to come, may a later prince, when this wall becomes old and dilapidated, restore its weakened (portions). May he restore my inscribed name to its place. (Then) the god Aššur, the great lord, will listen to his prayers.	In the future may a later prince, when that wall becomes old and dilapidated, restore it. May he restore my inscribed name, my monumental inscriptions, and my clay inscriptions to their places. (Then) the god Aššur will listen to his prayers.
... the Kišites ... 	... these ... 
Remanni-Adad, chariot driver, has contracted and bought (said people) from these gentlemen for x minas of silver (by the mina) of Carchemish.	Aššur-šallim-ahhe has contracted and bought (said) threshing floor from these men for x minas of silver by the mina of Carchemish.
Ashurnasirpal, king of the world, king of Assyria, son of Tukultī-Ninurta (II), king of the world, king of Assyria, son of Adad-nārārī (II) (who was) also king of the world and king of Assyria.	Ashurnasirpal, great king, strong king, king of the world, king of Assyria, son of Tukultī-Ninurta (II), great king, strong king, king of the world, king of Assyria, son of Adad-nārārī (II) (who was) also great king, strong king, king of the world, king of Assyria; valiant man who
when help ... 	when ... 
If the moon rides a chariot in month Sililiti: the dominion of the king of Akkad will prosper, and he will capture his enemies.	If the moon rides a chariot in month Sililiti: the dominion of the king of Akkad will prosper, and his hand will capture his enemies. Sililiti is Shebat (XI).
... back ... 	... to ... 
... the Arameans	... the Hatalleans
Witness Sangû-Issar.	Witness Habur-Issar.
Witness Addî, chariot driver.	Witness NN, chariot driver.
from my presence ... 	to the presence ... 
2 of carnelian ... ;	x carnelian ... 
I.e., it becomes visible on the 1st day.	If the moon becomes visible on the 1st day ... 
Witness ... ṣu, eunuch ... 	Witness ... abu, ... 
12 cavalry horses, ... 	12 cavalry horses, the town of ... 
... Borsippa  ... 	to Borsippa ... 
Witness Banî, scribe.	Witness Azi-il, scribe.
Concerning the wall about which ... 	Concerning ... about which ... 
Ulaya: the guardian of its city.	Engidudu: the guardian of its city wall.
Witness Nabû-balassu-iqbi, scribe, keeper of the document.	Witness Nabû-eṭir-napšati, scribe, keeper of the tablet.
... the king to me	... the king ... 
Seal of Lidbubu-lipušu, seal of Ahi-nuri, a total of 2 men, owners of the man being sold.	Seal of Sin-ahu-iddina, seal of Tuwi, a total of 2 men, owners of the women being sold.
... sick ears	... of ears
Witness ... Witness Nabuza', merchant.	Witness ... mea, merchant.
Month ... , ... th day, eponym year of Nabû-le'i, governor of Arbela.	Month ... , 27th day, eponym year of Šulmu-šarri, governor of Halziatbar.
That which is (written) upon a silver spoon of the goddess Tašmētu of the Inner City (Aššur).	That which is (written) upon a kallu-bowl (and) šulpu-bowl of the god Nabû of the Inner City (Aššur).
Whoever erases my inscribed name (or) places (it) in the service of a god or (another) person, may the deities Aššur, Sîn, (and) Šamaš make his name (and) his seed disappear.	Palace of Sennacherib, king of Assyria. Whoever erases my inscribed name (or) places (it) in the service of a god (or another) person, may the deity ... make his name (and) his seed disappear. Booty of the city Dumetu.
"... Reap your harvest ... 	... their harvest ... 
married ... 	Garidâ ... :
... another ... 	... wine ... 
total 5, at 2 seahs each.	total 70, at 2 seahs each.
Witness Šulmu-beli, village manager.	Witness Bel-lamur, village manager.
... reached Aries.	... receives.
2-year-old,	3-year-olds,
opposite ... 	opposite me in ... 
Palace of Ashurnasirpal, king of the world, king of Assyria, son of Tukultī-Ninurta (II), king of Assyria, son of Adad-nārārī (II) (who was) also king of Assyria: plunder from the city Mariru of the land Ḫatti.	Palace of Ashurnasirpal, king of the world, king of Assyria, son of Tukultī-Ninurta (II), king of Assyria, son of Adad-nārārī (II) (who was) also king of Assyria: (brick) belonging to the Bīt-natḫi of Nineveh.
20 ... ;	100 ... ;
... Remanni-ilu ... 	... "Naṣib-ilu ... 
Witness Silim-Adad.	Witness Sukki-Aya.
Disregard that the days ... 	Disregard that ... 
... , in all 4	... in Izalla —
... habbur-wine;	... habbur-wine ... 
If he does not, he shall pay (in) silver according to the market price of Nineveh.	If he does not, he shall pay according to the market price of Nineveh.
Month Tishri (VII), 25th day, eponym year of Aššur-da''inanni of Que.	Month Tishri (VII), 20th day, eponym year of Gabbaru.
... Nabû-balliṭanni ... 	... Nabû-bel-šumati ... 
about which the king, my lord, wrote to me,	As to what the king, my lord, wrote to me:
I brought out of them ... sheep and goats, and I counted (them) as booty. Moreover, I destroyed, devastated, (and) turned into ruins their small(er) settlements, which were without number. I burned with fire pavilions (and) tents, their abodes, and reduced (them) to ashes.	I surrounded (and) conquered the cities Bīt-Kilamzaḫ, Ḫardišpu, (and) Bīt-Kubatti, their fortified walled cities. I brought out of them people, horses, mules, donkeys, oxen, and sheep and goats, and I counted (them) as booty. Moreover, I destroyed, devastated, (and) turned into ruins their small(er) settlements, which were without number. I burned with fire pavilion(s) (and) tents, their abodes, and reduced (them) to ashes.
to NN, ... —	to NN ... 
Witness Huziru.	Witness Gurdî.
... of Šakkan.	... of Kakkullanu,
To the king of the lands, my lord: your servant, Šuma-iddin. May Nabû and Marduk bless the king of the lands, my lord.	To the king, my lord: your servant Nabû-naṣir. May Nabû and  Marduk bless the king, my lord!
An estate of 60 hectares ... 	An estate of 10 hectares ... 
... you shall come to me	... you said to me
of the city ... 	of the campaign ... 
So that the construction of my palace might be carried out correctly and that my handiwork be completed, at that time, the god Aššur and the goddess Ištar revealed to me the presence of white limestone in the city Balāṭāya... 	So that the construction of my palace might be carried out correctly and that my handiwork be completed, at that time, the god Aššur and the goddess Ištar revealed to me the presence of white limestone in the city Balāṭāya. (vi 25) Therein, I quarried mighty mountain sheep colossi, sphinxes, and large stone slabs for the gates of my lordly palace. 
1 can of beer.	10 cans of beer;
If the moon is surrounded by a halo, and Mars stands in it: in all lands cultivated fields and dates will not prosper; variant: the Westland will diminish.	If the moon is surrounded by a halo, and Mars stands in it: loss of cattle; in all lands cultivated fields and dates will not prosper; the Westland will diminish.
I have crossed the Euphrates twenty-eight times, twice in one year, in pursuit of the Aḫlamû-Arameans. I brought about their defeat from the city Tadmar of the land Amurru, Anat of the land Sūḫu, as far as the city Rapiqu of Karduniaš (Babylonia). I brought their booty (and) possessions to my city Aššur.	I have crossed the Euphrates ... times, twice in one year, in pursuit of the Aḫlamû-Arameans, to the land Ḫatti. I brought about their defeat from the foot of Mount Lebanon, the city Tadmar of the land Amurru, Anat of the land Sūḫu, as far as Rapiqu of Karduniaš (Babylonia). I brought their booty (and) possessions to my city Aššur.
To the king, my lord: your servant Inurta-ila'i.	To the king, my lord: your servant Aššur-bani.
Total 6 oxen, meat of the meal;	In all, 2 oxen, meat (from) the meal;
I took (and) uprooted 4,000 Urumu (and) Abešlu, insubmissive troops of Ḫatti, (and) regarded them as people of my land.	I took (and) uprooted 4,000 Urumu (and) Abešlu, (insubmissive) Hittite troops, (and) regarded them as belonging to my land.
I am waiting for ... Perhaps the king, my lord, will say:  "... 	... Perhaps the king, my lord, will say: “... in ... 
Month Ab (V), 5th day ... , eponym year of Metunu, governor of Isana.	Month Ab (V), 15th day, eponym year of Ilu-isse'a, governor of Damascus.
... utensils	... until
did not take ... 	did not go ... 
(Ammili'ti) the son of Amiri readied himself with 300 she-camels, intending to attack the booty being transferred  from Damascus to Assyria.	(Ammili'ti) the son of Amiri readied himself with 300 she-camels, intending to attack the booty being transferred from Damascus to Assyria.
3 2/3 ... ;	32 ... 
Witness Ta... 	Witness ... 
Arrapha... 	Adapa ... 
the king my lord ... 	the king's mother ... 
1, the woman Nikkal-šarrat.	the woman Nikkal-amat.
... s before you	... s before ... 
I turned around (lit. “I turned the front of my yoke”) and took the road to the land Bīt-Yakīn. He — Marduk-apla-iddina (II) (Merodach-baladan), whom (iii 60) I had defeated and whose forces I had scattered during my first campaign — became frightened by the clangor of my mighty weapons and my fierce battle array, then dislodged the gods of the (full) extent of his land from their abodes, and loaded (them) onto boats. (iii 65) He flew away like a bird to the city Nagīte-raqqi, which is in the midst of the sea. I brought his brothers, the seed of his father’s house, whom he had abandoned at the shore of the sea, together with the rest of the people of his land, out of the land Bīt-Yakīn, which is in the swamps and marshes, and I counted (them) as booty.	I turned around (lit. “I turned the front of my yoke”) and took the road to the land Bīt-Yakīn. He — Marduk-apla-iddina (II) (Merodach-baladan), whom I had defeated and whose forces I had scattered during my first campaign — became frightened by the clangor of my mighty weapons and my fierce battle array, then (iii 55) dislodged the gods of the (full) extent of his land from their abodes, and loaded (them) onto boats. He flew away like a bird to the city Nagīte-raqqi, which is in the midst of the sea. I brought his brothers, the seed of his father’s house, whom he had abandoned at the shore of the sea, together with the rest of the people of his land, out of the land Bīt-Yakīn, which is in the swamps and marshes, and I counted (them) as booty.
1, cohort commanders of the bodyguard;	Witness NN, cohort commander of the royal bodyguard.
Witness Kukulu. Witness Kullulu.	Witness Kinua. Witness Mullu-abu.
... nî	... and
Witness Sasî, mayor ... 	Witness Sasî, mayor of ... 
... curses 	... purse
... let him come up	... let them come ... 
... and seeks a lawsuit or litigation against Zabdî, his sons and his grandsons,	... or his labour-duty superior, seeks a lawsuit or litigation against Bel-duri, his sons (and) his grandsons,
you light ... his ... 	your ... s ... 
grant ... 	and to ... 
Agudu: the guardian of its ... 	Enlil-qarrad: the guardian of its ... 
Azâ ... 	As ... 
700, 800, total 1,500 — Marduk-(e)riba;	700, 800, total 1,500 — NN;
upon the dais ... 	In the isru ... 
Ashurnasirpal, great king, strong king, king of the world, king of Assyria, son of Tukultī-Ninurta (II), great king, strong king, king of the world, king of Assyria, son of Adad-nārārī (II) (who was) also great king, strong king, king of the world, king of Assyria; valiant man who acts with the support of Aššur, his lord, and has no rival among the princes of the four quarters,	Ashurnasirpal, great king, strong king, king of the world, king of Assyria, son of Tukultī-Ninurta (II), great king, strong king, king of the world, king of Assyria, son of Adad-nārārī (II) (who was) also great king, strong king, king of the world, king of Assyria; valiant man who
Witness Bel-zeru-iqiša, ... 	Witness Bel-zeru-iddina, ... 
Palace of Sargon (II), appointee of the god Enlil, nešakku-priest of (the god) Aššur, great king, strong king, king of the world, king of Assyria, king of the four quarters (of the world), favorite of the great gods;	Palace of Sennacherib, great king, strong king, king of the world, king of Assyria, king of the four quarters (of the world), (and) favorite of the great gods:
