x talents, Sam'al;	x talents, Ṣimirra;
"We are his messengers	... his messenger
two ... my servants	... my seals
... up to two days	... two days
Now nothing ... 	of the king ... 
... -šumu-ukin, gate-guard;	... me, gate-guard;
Witness Remanni-ilu.	Witness Mannu-ki-Ninua.
Mannu-ki-Arbail has contracted and bought it from Balṭaya for 4 minas of silver (by the mina) of Carchemish.	Zazî, eunuch of the king, has contracted and bought it from Eṭir-Marduk for 5 3/4 minas of silver by the mina of the merchant.
there are no ... 	there is ... 
... Ea-mahir	... Elam
... the nešakku-priest ... 	... the deity ... 
The kettledrum (performance)s for the processions of the gods, for the entire year: 	The kettledrum (performance)s for divine processions for the entire year: 
5 whole sheep;	5 sheep;
... them there	... altogether
... a favour for me. If it is acceptable to the king, these ... 	... Now, if it is acceptable to the king, my lord, ... 
On the ... of month Iyyar (II) of the coming year... , should they load the statue of the great lord Marduk on the boat in the Inner City, and should he go to Babylon ... ?	I ask you, Šamaš, great lord, whether on the ... th of Iyyar (II) of the coming year the statue of the great lord Marduk should be loaded on to a boat in the Inner City and go to Babylon ... 
I consulted ... 	... completed ... 
Witness Nabû-taqqinanni, scribe.	Witness Nabû-bel-šumati, scribe.
... I have dispatched to the king, my lord.	... the campaign of the king, my lord
In Sivan (III) on the 28th day the moon will stand there and will not disappear.	In Adar (XII) on the 14th day the moon will make an eclipse.
Witness Na'id-Aššur, architect.	Witness Mušezib-Aššur, ditto.
at the disposal of Susu, son of Lu-šakin.	at the disposal of Edu-šallim, son of Burtaya.
By the command of the gods Aššur, Anu, and AIdad, the great gods, my lords, ... in pursuit of the Arameans, which twice in one year I crossed the Euphrates. I brought about their defeat from the city Anat of the land Sūḫu and the city Tadmar as far as the city Rapiqu of Karduniaš (Babylonia). I brought their tribute and tax to my city Aššur. The ... -daiu, Sutu, ... miraiu, who live at the foot of Mount Lebanon ... in rafts (made of inflated) goatskins I crossed the Euphrates. I conquered the city ... which (is) on the opposite bank of the Euphrates, (on the River Saggurru). At that time the region of the Aḫlamu which ... the city Mi... 	By the command of the gods Aššur (and) Adad, the great gods, my lords, ... in pursuit of the Arameans, which twice in one year I crossed the Euphrates. The Sutu, Naa... who live at the foot of Mount Lebanon ... in rafts (made of inflated) goatskins I crossed the Euphrates. I conquered the city ... which (is) (on the opposite bank of the Euphrates), on the River Saggurru. At that time the region of the Aḫlamu which ... numerous ... 
Atar-yatê, the ... ,	Ambatî, the ... 
Month Tammuz (IV), 18th day, eponym year of Dananu of Manṣuati.	Month Tammuz (IV), 2nd day, eponym year of ... 
As for the one who removes my inscription and my name: May the goddess Ištar, the great mistress, overthrow his sovereignty and rule; may she command that he not live one day longer.	As for the one who removes my inscriptions and my name: May the god Aššur, my lord, overthrow his sovereignty (and) destroy his name (and) his seed from the land.
If indeed he does not pay, he shall give the woman and her fine.	If he does not pay, he shall pay in the centre of Nineveh.
they belong to Aššur. The palace manager responsible for ... 	... ; they belong to Aššur. The palace manager responsible for ... 
Previously ... 	... previous ... 
This is good for the king my lord.	he should ... to the king, my lord.
Bel-dan, ... ;	Bel-dan,
the cities Sapīya (Šapīya), Sarrabānu, Larak, Parak-Marri, Bīt-Ilu-bāni, Aḫudu, Ša-iṣṣur-Adad, Šaḫarratu, Manaḫḫu, Ša-amēlê, Dūr-Aqqīya, Nagītu, Nūr-abīnu, Ḫar-Ṣuarra, Dūr-Rukbi, Danda-Ḫulla, Dūr-Bir-Dada, Bīt-Reʾê, Dūr-Ugurri, Ḫindaina, Dūr-Uayyit, Bīt-Taurâ, Sapḫuna, Bu-ḫarru, (45) Ḫarbat-Iddina, Ḫarbat-Kalbi, Ša-barê, Bīt-Bāni-ilūya, Sulādu, Bīt-Iltama-samaʾa, Bīt-Dīni-ili, Daqala, Ḫameza, Bēlā, Tairu, Kiprānu, Iltaratu, Aqqar-ša-kīna, Sagabatu-ša-Mardukīya, altogether 39 fortified cities of the land of the Bīt-Amukāni, together with 350 small(er) settlements in their environs;	the cities Sapīya (Šapīya), Sarrabānu, Larak, Parak-Mar­ri, Bīt-I­lu-bā­ni, A­ḫu­du, Ša-iṣ­ṣur-A­dad, Ša­ḫar­ra­tu, Manaḫḫu, Ša-amēlê, Dūr-Aqqīya, Nagītu, Nūr-abīnu, Ḫar-Ṣuarra, Dūr-Rukbi, Danda-Ḫulla, Dūr-Bir-Dada, Bīt-Reʾê, Dūr-Ugurri, Gindaina, Dūr-Uayyit, Bīt-Taurâ, Sapḫuna, Bu-ḫarru, (45) Ḫarbat-Iddina, Ḫarbat-Kalbi, Ša-barê, Bīt-Bāni-ilūya, Sulādu, Bīt-Iltama-samaʾa, Bīt-Dīni-ili, Daqala, Ḫameza, Bēlā, Tairu, Kip­rā­nu, Il­ta­ra­tu, Aq­qar-ša-kī­na, Sa­ga­ba­tu-ša-Mar­du­kī­ya, altogether 39  fortified walled cities of the land of the Bīt-Amukāni, together with 350 small(er) settlements in their environs;
... The 'base of the throne' is present. The 'finger' is thick ... 	The 'base of the throne' ... and faces downward. The 'finger' ... 
... they stay ... his ... 	... Let them say ... ,  
Witness NN, chariot driver ... 	Witness NN, chariot driver.
... will bring in	... wailing
crossed over ... 	are very ... ;
into the charge of ... 	in the presence of ... 
Total 5 1/2 minas 2 shekels... 	11 minas 10 shekels ... ;
deported ... of	or deportees ... 
... sâ, his son,	... -Harran, his son;
If the Plough star comes close to Scorpius: the ruler will die by a sting of a scorpion; after him his son will not take the throne; the mind of the land will change, the land will get another lord; the border of the land will not be stable; lamentation of the great gods over the land.	If the Plough star comes close to Scorpius: the ruler will die from a sting of a scorpion, variant: he will be seized in his palace; after him, his son will not take the throne; the mind of the land will change, the land will get another lord and the dwelling of the land will not become stable; lamentation of the great gods for the land. — Mars stands in Scorpius.
Witness Mannu-ki-Adad, porter.	Witness Mannu-ki-Ninua.
Esaggil ... front	... Esaggil ... 
Urda-Belet and his people, ... ,	Danduru and his people, ... ,
28 tablets, 10 one-column tablets, Enuma Anu Enlil,	x one-column tablets, Enuma Anu Enlil,
adjoining the road ... 	adjoining the field of ... ,
x trays of cakes	2 trays of cakes;
Now then I am writing to you:	Now then I’m writing to you:
Witness Hara-Dadi, ditto.	Witness Arbailayu, ditto.
The king's word to Bel-eṭir: I am well; you can be glad.	The king's word to the Babylonians: I am well; you can be glad.
... of Chaldea ... 	... he ... 
30 Kushite horses from Parsua,	41 Kushite horses from ... na;
Witness Da... , ... of the crown prince.	Witness NN, horse trainer of the crown prince.
the hem ... 	whether ... 
Witness Aya-niri.	Witness Azi-il, scribe.
I have not ... 	does not ... 
Qabaya ... 	day ... 
now the messenger ... 	... into the presence ... 
Witness Aššur-šarru-uṣur, cohort commander, son of Ahi-bašte.	Witness Nabû-šarru-uṣur, cohort commander of ditto.
To the king, my lord: your servant Bel-iddina: I would gladly die for the king, my lord! May Nabû and Marduk bless the king, my lord! Say to the king, my lord:	To the king, my lord: your servant Mar-Issar. Good health to the king, my lord! May Nabû and Marduk bless the king, my lord! May the great gods bestow lasting days, well-being and joy upon the king, my lord!
... will he see ... ? The day ... 	... will make less ... and ... 
Month Kislev (IX), 26th day, eponym year of Bel-dan, governor of Calah, during his second term.	Month ... , 6th day, eponym year of Bel-dan, during his second term.
(As for) the one who destroys an inscribed object bearing my name or the name of the father of the father who had engendered me, makes (it) disappear by some crafty device, (or) does not place (it) with an inscribed object bearing his name, may the great gods of heaven and netherworld overthrow his kingship (and) make his name (and) seed disappear from the land.	(As for) the one who destroys an inscribed object bearing my name or the name of Esarhaddon, my father, (or) does not place (it) with an inscribed object of his (own), (x 25''') may the gods who reside in heaven and netherworld angrily curse him, overthrow  his kingship, (and) make his name (and) seed disappear from the land.
In my twelfth regnal year I moved out from Nineveh (and) crossed the Euphrates for the tenth time. I marched to the land Paqaraḫubunu, (where) the people became frightened (and) took to a rugged mountain. I besieged (and) captured the mountain peak. I massacred them (and) (iii 20) brought plunder and possessions of theirs down from the mountain.	In my twelfth regnal year I crossed the Euphrates for the tenth time (and) marched to the city Paqaraḫubunu. The people took to a rugged mountain. I massacred them (and) brought plunder (and) possessions of theirs down from the mountain. 
Satarpānu of the land Barikānu,	Satarpānu of the land Uppuria,
Disregard that he who touches the forehead of the sheep is dressed in his ordinary soiled garments, (or) has touched anything unclean... 	Disregard that he who touches the forehead of the sheep is dressed in his ordinary soiled garments... 
... of the king, my lord, in the house of the prefect	... the king, my lord, knows that ... enter the streets
As for the one who removes my inscription and my name: May the goddess Dinitu, my mistress, extinguish his sovereignty, break his weapon, cause his manhood to dwindle away, (and) hand him over to his enemies.	As for the one who removes my inscriptions and my name: May the goddess Dinitu, my mistress, break his weapon (and) hand him over to his enemies.
Ṣalam-šarri-iqbi	Witness Ṣalam-šarri-iqbi ... 
The coils of the colon are 14 in number. The heart of the ram is normal. Second extispicy... 	The breast-bone is thick. The coils of the colon are 16 in number. The heart of the ram is normal. Check-up... 
x, Arrapha;	Arrapha. 
If the moon is not seen with the sun on the 14th of Tammuz (IV): the king will be shut up in his palace.	If the moon in Tammuz (IV) is seen with the sun neither on the 14th nor on the 15th day: the king will be shut up in his palace.
... the scholars ... 	... the death of ... 
seal of Bel-... ,	Seal of ... ,
Witness Ahû'a-eriba, chariot driver.	Witness NN, chariot driver.
... Assyrian ... 	... wine ... 
... and the people	... and his people,
In all, 2 ... 	I shall go ... 
Witness ... ni, priest of Nabû of Nineveh.	Witness ... ayu, citizen of Nineveh.
59 ditto, ditto, the front ditto, 1 1/3 mina;	... ditto, ditto, the front ditto, 1 1/3 mina;
Month Nisan (I), 23rd day, eponym year of Mari-larim (668). In the Succession Palace.	Month Nisan (I), 4th day, eponym year of NN, in the Succession Palace.
If Adad shouts on a day without clouds: there will be darkness, variant: famine in the land.	If Adad shouts on a cloudless day: there will be darkness, variant: famine in the land.
... (and) chosen ... 	... and shall send ... 
Be present in this ram, place in it a firm positive answer, and may I see (it)!	Be present in this ram, place (in it) a firm positive answer ... 
To the king, my lord: your servant Issar-šumu-eres. Good health to the king, my lord!	To the king, my lord: your servant NN. Good health to the king, my lord!
... the treasurer ... 	... into the presence ... 
There are x unfavorable omens.	There are ... unfavorable omens... 
... he (a eunuch of mine) plundered (those cities) and brought (that booty) to the land Ḫatti (Syria-Palestine), before me. I settled 600 captives of the city Amlatu of the (tribe) Damunu (and) 5,400 captives of the city Bīt-Dērāya in the cities Kunalīa, ... , Ḫuzarra, Tae, Tarmanazi, Kulmadara, Ḫatatirra, (and) Irgillu, cities of the land Unqi. 	I settled 600 captives of the city Amlatu of the (tribe) Damunu (and) 5,400 captives of the city Dēr (Bīt-Dērāya) in the cities Kunalīa, ... , Ḫuzarra, Tae, Tarmanazi, Kulmadara, Ḫatatirra, (and) Irgillu, (5) cities of the land Unqi. 
Ba... , son of Šep-... 	... maš, son of Sa... 
(As for) the rest of his magnates, who had raised their arms because they were terrified of doing battle with me, I captured them alive in the thick of battle. 	(As for) the rest of his magnates, including Nabû-šuma-iškun, a son of Marduk-apla-iddina (II) (Merodach-baladan), who had raised their arms because they were terrified of doing battle with me, I captured them alive in the thick of battle. 
Moreover, (as for) Ṣidqâ, the king of the city Ashkelon who had not bowed down to my yoke, I forcibly removed the gods of his father’s house, himself, his wife, his sons, (ii 90) his daughters, his brothers, (and other) offspring of his father’s house and took him to Assyria. 	Moreover, (as for) Ṣidqâ, the king of the city Ashkelon who had not bowed down to my yoke, I forcibly removed the gods of his father’s house, himself, his wife, his sons, his daughters, his brothers, (and other) offspring of his father’s house and took him to Assyria. 
... they spoke	... of the spoils
Witness ... -apli, scribe.	Witness Azi-il, scribe.
Haza'-il ... 	Azi-il ... ,
1 male sheep of NN, the governor of Mazamua.	1 male sheep — of Nabû-kuṣuranni, the governor of Arzuhina;
Disregard that I, the haruspex your servant, am dressed in my ordinary soiled garments, have eaten, drunk or anointed myself with anything unclean, have touched the (libation) beer, the maṣhatu-flour, the water, the container and the fire, have changed or altered the proceedings, or have jumbled the oracle query in my mouth... 	Disregard that I, the haruspex your servant, am dressed in my ordinary soiled garments, have eaten, drunk, or anointed myself with anything unclean, changed or altered the proceedings, or jumbled the oracle query in my mouth... 
Month of Tammuz (IV), 28th day.	Month of Tebet (X), 17th day.
they did not raise... and ... 	We did not speak ... 
From the booty of those lands that I had plundered, I conscripted 20,000 archers (and) 15,000 shield bearers and added (them) to my royal contingent. I divided up the rest of the substantial enemy booty (v 15) like sheep and goats among my entire camp (and) my governors, (and) the people of my great cult centers.	From the booty of those lands, I conscripted 30,500 archers (and) 20,200 shield bearers and added (them) to my royal contingent. I divided up the rest of the substantial enemy booty like sheep and goats among my entire camp and my governors, (and) the people of my cult centers.
... has contracted and bought them from Šulmu-beli for three minas of silver by the mina of the king.	NN has contracted and bought from NN for x minas of silver by the mina of ... 
his words ... 	holds ... 
As for him, Hezekiah, fear of my lordly brilliance overwhelmed him and, after my (departure), he had the auxiliary forces (and) his elite troops whom he had brought inside to strengthen the city Jerusalem, his royal city, thereby gaining reinforcements, (along with) 30 talents of gold, 800 talents of silver, choice antimony, large blocks of ... , ivory beds, armchairs of ivory, elephant hide(s), elephant ivory, ebony, boxwood, garments with multi-colored trim, linen garments, blue-purple wool, red-purple wool, utensils of bronze, iron, copper, tin, (and) iron, chariots, shields, lances, armor, iron belt-daggers, bows and uṣṣu-arrows, equipment, (and) implements of war, (all of) which were without number, together with his daughters, his palace women, male singers, (and) female singers brought into Nineveh, my capital city, and he sent a mounted messenger of his to me to deliver (this) payment and to do obeisance.	As for him, Hezekiah, fear of my lordly brilliance overwhelmed him and, after my (departure), he had the auxiliary forces and his elite troops (iii 35) whom he had brought inside to strengthen the city Jerusalem, his royal city, thereby gaining reinforcements, along with 30 talents of gold, 800 talents of silver, choice antimony, large blocks of ... , ivory beds, armchairs of ivory, elephant hide(s), elephant ivory, ebony, boxwood, every kind of valuable treasure, as well as his daughters, (iii 40) his palace women, male singers, (and) female singers brought into Nineveh, my capital city, and he sent a mounted messenger of his to me to deliver (this) payment and to do obeisance.
If a star flashes and goes down in the east: an enemy host will attack the country, and the enemy will ravage the country.	If a star flashes in the daytime: there will be an enemy attack against the country, and the enemy will (victoriously) wander around in the country.
I saw ... 	I shall go ... 
To aid the gods Bēl (Marduk) and Nabû, lords of mine whose divinity I constantly revered, I mustered my battle troops and set out on the road. He heard about the advance of my expeditionary force and (v 70) (then) fear overwhelmed him and he returned to his (own) land. I went after him (and) brought about his defeat. I drove him away as far as the border of his land. 	To support the gods of the land Akkad, I mustered my battle troops and took the road. Urtaku, the king of the land Elam, heard about the advance of my expeditionary force, fear overwhelmed him, and he returned to his (own) land. I went after him (and) brought about his defeat. I drove him away as far as the border of his land.
40 spiced-loaves;	40 big loaves;
was damaged ... 	has made ... 
In the course of my campaign, I surrounded, conquered, (and) plundered the cities Bīt-Daganna, Joppa, Banayabarqa, (and) Azuru, the cities of Ṣidqâ that had not submitted to me quickly. (As for) the governors, the nobles, ... 	In the course of my campaign, I surrounded, conquered, (and) plundered the cities Bīt-Daganna, Joppa, Banayabarqa, (and) Azuru, (iii 5') the cities of Ṣidqâ that had not submitted to me quickly.
Disregard that I, the haruspex, your servant, have jumbled the oracle query in my mouth, (or) changed or altered the proceedings... 	Disregard that I, the haruspex your servant, have jumbled the oracle query in my mouth, or changed (or) altered the proceedings... 
fear are they... 	these are the days ... 
of the 11th day... 	of the forts ... 
Witness Nabû-tabni-uṣur, city scribe.	Witness Nabû-bel-šumati, scribe.
x mina(s), Ahu-kenu, 1/2 mina ditto;	x mina(s), Sin-šarru-uṣur, 1/3 mina ditto;
Iyyar (II), 1st day, eponym year of Atar-il, governor of Lahiru.	Month Iyyar (II), 1st day, eponym year of Šulmu-beli-lašme, governor of Der.
Witness ... mua, from Nineveh.	Witness NN, ... Nineveh.
Witness Qua.	Witness ... 
Furthermore, I, Ashurbanipal, learned inside it the wisdom of the god Nabû, all of the scribal arts. I investigated the precepts of every type of scholar there is, learned how to shoot a bow, ride a horse (and) chariot, (and) take hold of (their) reins. Kings among mankind (and) lions among the animals could not grow powerful before my bow. (i 30) I know how to wage war (and) battle; I am experienced in forming a battle line (and) fighting.	Furthermore, I, Ashurbanipal, learned inside it the wisdom of the god Nabû, all of the scribal arts. I investigated the precepts of every type of scholar there is, learned how to shoot a bow, ride a horse (and) chariot, (and) take hold of (their) reins. 
Eṭir-... 	Palṭi-... ,
Grand total 977 people, deportees, from Que. 	(Grand) total, 21 people deportees... ,
... the temple ... 	to the teams ... 
... bread from the temple	... the gods of the temples
which ... will come 	... he will come
I turned around (lit. “I turned the front of my yoke”) and took the road to the land Ellipi. (ii 5'') Before my arrival, Ispabāra, their king, abandoned his fortified cities (and) his treasury and fled far away. I overwhelmed all of his wide land like a fog. I surrounded, conquered, destroyed, devastated, (and) burned with fire the cities Marʾubištu (and) Akkuddu, (ii 10'') cities of his royal house, together with thirty-four small(er) settlements in their environs.	I turned around (lit. “I turned the front of my yoke”) and took the road to the land Ellipi. Before my arrival, Ispabāra, their king, abandoned his fortified cities (and) his treasury and fled far away. I overwhelmed all of his wide land like a fog. I surrounded, conquered, destroyed, devastated, (and) burned with fire the cities Marʾubištu (and) Akkuddu, cities of his royal house, together with thirty-four small(er) settlements in their environs.
... they appoint	... the country
The king, my lord, should do as he deems best.	The king, my lord, should know (it)... 
adjoining Liphuru,	adjoining Ešrayu,
Battle against the city Dabigu, which belonged to Aḫunu of Bīt-Adini.	Battle against the city Marinâ of Bīt-Adini.
1 ditto — the house ... ,	1, (of the) horses ... ,
This ... Nabû-... 	his ... before ... 
Will Esarhaddon, king of Assyria, ... be troubled and worried?	Will Esarhaddon, king of Assyria, be ... ?
Aššur-nārārī, vice-regent of the god Aššur, son of Išme-Dagan (II), (who was) also vice regent of the god Aššur:	Arik-dīn-ili, vice-regent of the god Aššur, son of Enlil-nārārī, vice-regent of the god Aššur, son of Aššur-uballiṭ (I) (who was) also vice-regent of the god Aššur:
In the middle surface of the 'finger' there is a fissure... 	In  the  middle  surface  of  the  'finger'  a 'weapon'-mark ... 
(As for) the governors, the nobles, and the people of the city Ekron who had thrown Padî, their king who was bound by treaty and oaths to Assyria, into iron fetters and who had handed him over to Hezekiah of the land Judah in a hostile manner, (iii 10) they became frightened on account of the villainous acts they had committed. They formed a confederation with the kings of Egypt (and) the archers, chariots, (and) horses of the king of the land Meluḫḫa, forces without number, and they came to their aid.	(As for) the governors, the nobles, and the people of the city Ekron (ii 70) who had thrown Padî, their king who was bound by treaty and oaths to Assyria, into iron fetters and who had handed him over to Hezekiah of the land Judah in a hostile manner, they became frightened on account of the villainous acts they had committed. They formed a confederation with the kings of Egypt (and) the archers, chariots, (ii 75) (and) horses of the king of the land Meluḫḫa, forces without number, and they came to their aid.
... plus the storehouse	... the houses
He shall enjoy the usufruct of the field for three crop years.	He shall have the usufruct of the field for three fallow years and three crop years.
Witness Se'-nuri. Witness Šer-ila'i.	Witness ... surri. Witness Bel-ila'i,
belonging to Bahianu, at their disposal. They have taken it as a loan.	(barley) belonging to Bahianu, at their disposal. They have taken it as a loan.
... his ... s 	... s to ... 
The money is paid completely. That man is purchased, acquired, paid off, and cleared. Any revocation, lawsuit or litigation is void.	The money is paid completely. Those fields, houses and people are purchased and acquired. Any revocation, lawsuit, or litigation is void.
It shall increase 1 shekel of silver per mina.	It will increase by 6 shekels per month.
An estate of 2 hectares "thin" (land) adjoining ... 	an estate of 2 decares adjoining ... and a wadi;
He shall enjoy it for x crop years.	He shall live in it for 5 years.
The king did not agree to ... 	The king knows that ... 
Palace of Ashurnasirpal, king of the world, king of Assyria, son of Tukultī-Ninurta (II), (who was) also king of the world and king of Assyria.	Shalmaneser, king of the universe, king of Assyria, son of Ashurnasirpal (II), king of the universe, king of Assyria, son of Tukultī-Ninurta (II), (who was) also king of the universe and king of Assyria:
power + sceptre ... 	owner of the ... 
... Šamulu, son of NN;	... tu, son of NN
Bel-u... 	From Bel-... 
fills ... 	forts ... 
Should Esarhaddon, king of Assyria, appoint the man whose name is written in this papyrus and placed before your great divinity, to the office which is written in this papyrus?	I ask you, Šamaš, great lord, whether, (should) Esarhaddon, king of Assyria, appoint the man whose name is written in this papyrus and placed before your great divinity, to the office of 'bishop' in ... ,
... (of) Sargon, king of Assyria.	of Esarhaddon, king of Assyria ... 
Bit-Zabidi ... 	Zeri-Babili ... 
On the 23rd day the king came down to the House of God. He brought forth a censer and a torch. He performed the sheep offerings before Aššur and Mullissu. He performed those before the gods of heaven.	On the 23rd day the king goes down to the House of God. He illuminates the face. He performs the regular offering before Aššur and Mullissu. He performs one before the gods of heaven.
Hulî, servant of NN —	servants of NN —
shall place 10 minas of silver (and) one mina of gold in the lap of Inurta residing in Calah, and shall return the money tenfold to its owner. He shall contest in his  non-lawsuit and not succeed.	shall place 10 minas of refined silver (and) x minas of pure gold in the lap of Ninurta residing in Calah, and shall return the money tenfold to its owners. He shall contest in his lawsuit and not succeed.
... I shall forward.	... I shall fetch
Seal of Marduk-napšati-... , owner of the ... being sold.	Seal of ... , owner of the ... being sold.
On the day that he pays the silver, he shall redeem his land.	The day that he pays back the silver in full, he shall enter his house.
Witness Ubbuku.	Witness Saklu.
... will they attack (him), and kill and plunder him? Will Esarhaddon, king of Assyria, be troubled and angry? Will he who can see, see it? Will he who can hear, hear it?	Will Esarhaddon, king of Assyria, be troubled and angry? Will he who can see, see it? Will he who can hear, hear it?
... presented ... , saying: "... 	... reached, saying: "... 
Witness Nusku-emuranni.	Witness Nušku-ila'i.
(As for) the one who alters the work of my hands, mutilates my features (on a relief), obliterates the reliefs that I have engraved (lit.: “engrave”), (or) effaces my own representation(s), may the gods Aššur, Šamaš, Adad, and the gods who dwell there remove his name (and) his descendant(s) from the land and make him live in bondage under his enemy.	(As for) the one who alters the work of my hands, mutilates my features (on a relief), obliterates the reliefs that I have engraved, or effaces my own representation(s), may the gods Sîn, Šamaš, Adad, and the great gods who dwell there remove his name (and) his descendant(s) from the land and make him live in bondage under his enemy.
I improved ... ; the people ... 	I removed ... into the presence of ... 
... below her.	... Now he
whether Nabû-... or his sons seeks a lawsuit or litigation against Ninuayu, and his brothers	whether his brothers, seeks a lawsuit or litigation against NN and sons, ... 
A mare in ... 	My men ... 
Moving on from this camp I marched to the cities in the plain of Mount Niṣir which no one had ever seen. I conquered the city Larbusa, the fortified city (iii 5) which (was ruled by) Kirteara, (and) eight cities in its environs. The troops were frightened (and) took to a rugged mountain. The mountain was as jagged as the point of a dagger. The king with his troops climbed up after them. I threw down their corpses within the mountain, massacred 172 of their fighting men, (iii 10) (and) piled up many troops on the precipices of the mountain. I brought back captives, possessions, oxen, (and) sheep from them (and) burnt their cities. I hung their heads on trees of the mountain (and) burnt their adolescent boys. I returned to my camp (and) spent the night.	Moving on from this camp I marched to the cities in the plain of Mount Niṣir which no one had ever seen. I conquered the city Larbusa, the fortified city which (was ruled by) Kirtiara, (and) eight cities in its environs. The troops were frightened (and) took to a rugged mountain. The mountain was as jagged as the point of a dagger. The king with his troops climbed up after them. I threw down their corpses in the mountain, massacred 172 of their fighting-men, (and) piled up many troops on the precipices of the mountain. I brought back captives, possessions, oxen, (and) sheep from them (and) burnt their cities. I hung their heads on trees of the mountain (and) burnt their adolescent boys (and) girls. I returned to my camp (and) spent the night.
Total 26 ... 	Total, 2 talents ... 
... in the middle ... there is a 'request'-mark... 	... there is a 'request'-mark.
5 urnutu-garments, ditto, ditto, ditto, ... ;	1 urnutu-garment, ditto, ... ;
he said: "... 	heard ... 
in your hearts conceive and put into words an ugly scheme or an evil plot against your lord Assurbanipal, king of Assyria,	in your hearts deliberate and formulate an ugly suggestion and evil advice for rebellion and insurrection against your lord Assurbanipal, king of Assyria,
In my tenth regnal year I crossed the Euphrates for the eighth time. <I captured> the cities of Sangara, the Carchemishite. Moving on from the cities of the Carchemishite I approached the cities of Aramu (and) captured Arne, his royal city, together with one hundred cities in its environs.	In my tenth regnal year I crossed the Euphrates for the eighth time. I captured the cities of Sangara, the Carchemishite. I approached the cities of Aramu (and) captured Arnê, his royal city, together with one hundred cities (in its environs).
On the day that Edu-šallim pays 1 1/2 minas of silver to Mušezib, he shall redeem his land.	On the day that he pays the silver, he shall redeem his field.
Witness Nusku-emuranni, son of Babilayu.	Witness Inurtî, son of Babilayu.
... in truth to my lord ... 	... of the king, my lord ... 
... we	... ?
10 shekels of silver ... 	10+x shekels of silver
The governor and the people of the Inner City ... 	The governor and the herald ... 
Bel-sharrani,	Shep-sharri,
I heard of this and sent word to Bel-iqbi; he came and we went together to meet the booty. He saw us, ambushed us from behind, and we had a fight. 1,500 booty sheep from the city of Huzaza, 1,500 sheep ... city of ... , ... 2 men ... men ... 	I heard of this and sent word to Bel-iqbi; he came and we went together to meet the booty. He saw us, ambushed us from behind, and we had a fight. 1,500 booty sheep from the city of Huzaza, 1,500 sheep ... city of ... , ... 100 men ... men ... 
10 ditto, in the inner precinct;	3 (whole) oxen, in the inner precinct;
When I had seized ... 	he seizes ... 
the interior of the land Nirbu. I brought within the boundaries of my land (the territory stretching) from the passes of Mount Kirruru to the land Gilzānu, from the opposite bank of the Lower Zab to the city Tīl-Bāri which is upstream from the land Zaban, from the city Tīl-ša-Abtāni to the city Tīl-ša-Zabdāni,	to the interior of the land Nirbu; I brought within the boundaries of my land (the territory stretching) from the passes of Mount Kirruru to the land Gilzānu, from the opposite bank of the Lower Zab to the city Tīl-Bāri which is upstream from the land Zaban, from the city Tīl-ša-Abtāni to the city Tīl-ša-Zabdāni, (and) the cities Ḫirimu (and) Ḫarutu (which are) fortresses of Karduniaš (Babylonia); finally, I have gained dominion over the entire extensive lands Nairi:
If Jupiter becomes visible in Tishri (VII): enemy kings will receive peace.	If Jupiter becomes steady in the morning: enemy kings will make peace.
... watch	... this
To Nabû-duri-uṣur, my lord: your servant Rimutte. Good health to my lord!	To the king, my lord: your servant NN. Good health to the king, my lord!
mutually ... 	all ... 
Disregard that treachery ... 	Disregard that ... 
Whoever in the future breaks the contract, whether Remanni-ilu or his ... or any relative of his, and seeks a lawsuit or litigation against Inurta-ila'i, shall pay one mina of refined silver and x minas of pure gold to the god ... residing in ... 	Whoever in the future, at any time, lodges a complaint or breaks the contract, whether Mušezib-Marduk or his sons, brothers or grandsons, and seeks a lawsuit or litigation against Remanni-Adad, his sons and grandsons, shall place 5 minas of refined silver and x minas of pure gold in the lap of Ištar residing in Nineveh.
For the god Marduk, his lord: Ashurbanipal, king of the world (and) king of Assyria, for the sake of his life had baked bricks made anew for Etemenanki.	For the god Marduk, his lord: Esarhaddon, king of Assyria (and) king of Babylon, had baked bricks made anew for Esagil and Etemenanki.
... does not know him ... 	... said to him ... 
shall place ... in the lap of Ištar residing in Nineveh, and shall return the money tenfold to its owners.	shall tie 2 white horses at the feet Sin residing in Harran, shall return the money tenfold to its owners.
... the governor of Arrapha to the city of ... 	governor of the city of ... ,
1 basket of silver;	... talents of silver
Issar-na'id, ... ;	Issar-na'di said: "... 
... who against the house of Daltâ	... who in the hands of NN
ask ... 	4 ... 
Those who entreat ... 	he went ... 
1 duck;	... ducks;
Witness Immani-il, ... 	Witness NN, ... 
... in ... ; ... 	... wine ... 
As to what the king, my lord, wrote me: "The ... ean who ... 	As to what the king, my lord, wrote to me: "Feed the 6,000 captives in your presence." 
me ... 	when ... 
... We are the goddesses	... We are the king's servants."
he said ... 	there is ... 
... hewn ... s, (and) the bull colossus	... the bull colossus
... Šamaš	... many
To Sargon, king of the universe, my lord: Your servant Balassu. May Nabû and Marduk bless the king, my lord! Say to the king, my lord:	Your servant Bel-iqiša: I would gladly die for the king of the universe, my lord! May Nabû and Marduk bless the king, my lord! Say to the king, my lord:
from my servants ... 	4 servants ... 
I shall release ... to the god ... 	The ... of the god ... 
... on the 5th day is surrounded by a halo and ... 	— It is surrounded by a halo ... 
