I brought ... and gave ... where ... 	... whom the king ... 
Moreover, (as for) Ṣidqâ, the king of the city Ashkelon who had not bowed down to my yoke, I forcibly removed the gods of his father’s house, himself, his wife, his sons, (ii 90) his daughters, his brothers, (and other) offspring of his father’s house and took him to Assyria. 	Perhaps the king will say: "Have they started a lawsuit against somebody?" By Bel, Nabû, (and) the gods of the king ... , I sent these words to the king, my lord, only today. May the lord of kings do as he deems best, and may Enlil, Šamaš and Marduk, the great gods, and the gods of Nippur and Babylon lengthen the days of the king, my lord.
... I ... x minas from the Inner City (and) x minas  from Arbela ... 	... ditto, ditto, the front red, of the port; 4 ... ;
... they spoke	... we captured
When the chief cupbearer entered with the army, Rusa came and defeated  him... Not one of them got out (alive).	Legitimate heir of Aššur-dān (I), bearer of the holy scepter, commander of the subjects of the god Enlil, the one whose deeds and offerings are pleasing to the great gods, and who lived to a ripe old age;
Witness ... -apli, scribe.	Witness ... 
Nabopolassar,  strong king, king of Babylon, king of the land of Sumer and Akkad, exalted ruler, the one who reveres the god Uraš and the goddess Ištar, true shepherd, protégé of the gods Nabû and Marduk, am I:	Perhaps the king will say: "Have they started a lawsuit against somebody?" By Bel, Nabû, (and) the gods of the king ... , I sent these words to the king, my lord, only today. May the lord of kings do as he deems best, and may Enlil, Šamaš and Marduk, the great gods, and the gods of Nippur and Babylon lengthen the days of the king, my lord.
Haza'-il ... 	Witness ... 
The king, our lord, has done us a favour good deeds that not (even) a father has done to his son ... : you have made us enter your entourage.	They did not agree but said: "We will not give them ... When the horses and mules ... , and he has come, then we shall pass them over." And they said: "Bring the men who went to Nabû-belu-ka''in, and we will ... !"
1 male sheep of NN, the governor of Mazamua.	Month ... , 23rd day, eponym year of Zazaya.
the valiant man who met Ḫumbanigaš (Ḫum­ban-nikaš I), king of the land Elam, (in battle) on the outskirts of (the city) Dēr and brought about his defeat; who deported the Tešian (king) (and) cut down his elite troops; who plundered the land Tuʾumuna, who(se people) had arrested their sheikh and brought (him) before the king of Chaldea; who made the wide land Bīt-Ḫumria (Israel) tremble, brought about the defeat of Egypt at the city Raphia, and brought Ḫanūnu (Hanno), king of the city Gaza, to the city Aššur in bondage; (20) who conquered the Tamudu, Ibādidi, Marsīmani, (and) Ḫayappa (tribes), whose remnants were transferred here and (whom) I (re)settled in the land Bīt-Ḫumria (Israel); skilled in war, who caught the Ionians in the middle of the sea like fish, as a fowler (does), and pacified the land Que (Cilicia) and the city Tyre;	On my third campaign, I marched against Baʾalu, the king of the land Tyre who resides in the middle of the sea. Because he did not honor my royal command(s and) did not obey the pronouncement(s) from my lip(s), (iii 20') I set up outposts against him. To prevent his people from leaving, I reinforced (its) garrison. By sea and dry land, I took control of (all of) his routes (and thus) cut off (all) access to him. (iii 25') I made water and food for the preservation of their lives scarce for their mouths. I confined them in a harsh imprisonment from which there was no escape. I constricted (and) cut short their lives. I made them (the people of Tyre) bow down to my yoke.
Disregard that I, the haruspex your servant, am dressed in my ordinary soiled garments, have eaten, drunk or anointed myself with anything unclean, have touched the (libation) beer, the maṣhatu-flour, the water, the container and the fire, have changed or altered the proceedings, or have jumbled the oracle query in my mouth... 	I filled Mount Ḫauranu (Hauran) with ... (15) I carried off ... (and) ... thousand sheep. I conquered ... Moreover, as for her (Samsi?), the terrifying radiance of (the god) Aššur, my lord, overwhelmed her and ... I spared her so (she would) praise (the victory of the god Aššur)... I set up ... as governors. 
Month of Tammuz (IV), 28th day.	Month ... , 23rd day, eponym year of Zazaya.
they did not raise... and ... 	4 minas ... ;
From the booty of those lands that I had plundered, I conscripted 20,000 archers (and) 15,000 shield bearers and added (them) to my royal contingent. I divided up the rest of the substantial enemy booty (v 15) like sheep and goats among my entire camp (and) my governors, (and) the people of my great cult centers.	I filled Mount Ḫauranu (Hauran) with ... (15) I carried off ... (and) ... thousand sheep. I conquered ... Moreover, as for her (Samsi?), the terrifying radiance of (the god) Aššur, my lord, overwhelmed her and ... I spared her so (she would) praise (the victory of the god Aššur)... I set up ... as governors. 
As to the rumour about which the king, my lord, wrote me, I have sent out scouts but they have not yet come back.	Now (however), following the king, my lord's instructions, I strictly ... do not argue with any of the sheikhs.
... at the Ulāya River, the wicked enemy, the Elamite, kept guard over the watering places... troops ... traversed. I did not give (them) water to drink or allow them (time) to recover from their fatigue... I hastened to go forth against him. The weapons ... for war. By the strength (granted me) by the god Enlil ... could not have ... ; the king of the land of Elam held back. His defeat was accomplished; his ... were scattered; (and) his assembled (forces) were dispersed. He abandoned his troops and crossed his rivers. He was benumbed ... I destroyed his country. He abandoned his strong cities (... ) (and) disappeared.	On my third campaign, I marched against Baʾalu, the king of the land Tyre who resides in the middle of the sea. Because he did not honor my royal command(s and) did not obey the pronouncement(s) from my lip(s), (iii 20') I set up outposts against him. To prevent his people from leaving, I reinforced (its) garrison. By sea and dry land, I took control of (all of) his routes (and thus) cut off (all) access to him. (iii 25') I made water and food for the preservation of their lives scarce for their mouths. I confined them in a harsh imprisonment from which there was no escape. I constricted (and) cut short their lives. I made them (the people of Tyre) bow down to my yoke.
... has contracted and bought them from Šulmu-beli for three minas of silver by the mina of the king.	Now (however), following the king, my lord's instructions, I strictly ... do not argue with any of the sheikhs.
his words ... 	Witness ... 
I conquered, plundered, ... the city Birat-Adad-rēmanni, of/which ... the Manneans.	Tribute of Adinu, the man of Bīt-Dakkuri, the Chaldean.
Kurigalzu ... has allied himself with them. He has written to ... : "Tell NN that he should not return to his country this year. He should stay (there) and we should make one country enter before the king."	Perhaps the king will say: "Have they started a lawsuit against somebody?" By Bel, Nabû, (and) the gods of the king ... , I sent these words to the king, my lord, only today. May the lord of kings do as he deems best, and may Enlil, Šamaš and Marduk, the great gods, and the gods of Nippur and Babylon lengthen the days of the king, my lord.
The man who on the 7th of Nisan ... is the messenger of Šamaš and Adad. He brings him out of the prison.	Now (however), following the king, my lord's instructions, I strictly ... do not argue with any of the sheikhs.
I keep you in the great heavens by your curl. I make smoke rise up on your right side, I kindle fire on your left.	If the left of the gall bladder is attached: your expeditionary force will slay the enemy.
As for him, Hezekiah, fear of my lordly brilliance overwhelmed him and, after my (departure), he had the auxiliary forces (and) his elite troops whom he had brought inside to strengthen the city Jerusalem, his royal city, thereby gaining reinforcements, (along with) 30 talents of gold, 800 talents of silver, choice antimony, large blocks of ... , ivory beds, armchairs of ivory, elephant hide(s), elephant ivory, ebony, boxwood, garments with multi-colored trim, linen garments, blue-purple wool, red-purple wool, utensils of bronze, iron, copper, tin, (and) iron, chariots, shields, lances, armor, iron belt-daggers, bows and uṣṣu-arrows, equipment, (and) implements of war, (all of) which were without number, together with his daughters, his palace women, male singers, (and) female singers brought into Nineveh, my capital city, and he sent a mounted messenger of his to me to deliver (this) payment and to do obeisance.	On my third campaign, I marched against Baʾalu, the king of the land Tyre who resides in the middle of the sea. Because he did not honor my royal command(s and) did not obey the pronouncement(s) from my lip(s), (iii 20') I set up outposts against him. To prevent his people from leaving, I reinforced (its) garrison. By sea and dry land, I took control of (all of) his routes (and thus) cut off (all) access to him. (iii 25') I made water and food for the preservation of their lives scarce for their mouths. I confined them in a harsh imprisonment from which there was no escape. I constricted (and) cut short their lives. I made them (the people of Tyre) bow down to my yoke.
If a star flashes and goes down in the east: an enemy host will attack the country, and the enemy will ravage the country.	Now (however), following the king, my lord's instructions, I strictly ... do not argue with any of the sheikhs.
I saw ... 	Witness ... 
Do not set your face towards ... !	Witness Ubru-Issar, servant of ... 
To aid the gods Bēl (Marduk) and Nabû, lords of mine whose divinity I constantly revered, I mustered my battle troops and set out on the road. He heard about the advance of my expeditionary force and (v 70) (then) fear overwhelmed him and he returned to his (own) land. I went after him (and) brought about his defeat. I drove him away as far as the border of his land. 	I filled Mount Ḫauranu (Hauran) with ... (15) I carried off ... (and) ... thousand sheep. I conquered ... Moreover, as for her (Samsi?), the terrifying radiance of (the god) Aššur, my lord, overwhelmed her and ... I spared her so (she would) praise (the victory of the god Aššur)... I set up ... as governors. 
40 spiced-loaves;	4 minas ... ;
If ... : the king will have no opponents ... 	... whom the king ... 
was damaged ... 	Witness ... 
In the course of my campaign, I surrounded, conquered, (and) plundered the cities Bīt-Daganna, Joppa, Banayabarqa, (and) Azuru, the cities of Ṣidqâ that had not submitted to me quickly. (As for) the governors, the nobles, ... 	shall place 10 minas of refined silver (and) x minas of pure gold in the lap of Ninurta residing in Calah, and shall return the money tenfold to its owners. He shall contest in his lawsuit and not succeed.
Let me bless you, my Tašmetu, a blessing of ... 	Witness Ubru-Issar, servant of ... 
Disregard that I, the haruspex, your servant, have jumbled the oracle query in my mouth, (or) changed or altered the proceedings... 	Disregard that an unclean person has performed extispicy in this place... 
fear are they... 	Witness ... 
Balassu;	Kahat;
of the 11th day... 	Witness ... 
... town Burunatu	... we captured
Kings ... great rulers from (both) east and west are anxious for me to be their ally. The deities Aššur, ... granted me a broad mind (and) allowed my mind to learn all of the scribal arts. They made the mention of my name great in the assembly of princes (lit. “stags”). In my stead, they stand in, ... my enemies, ... my foes, ... 	I filled Mount Ḫauranu (Hauran) with ... (15) I carried off ... (and) ... thousand sheep. I conquered ... Moreover, as for her (Samsi?), the terrifying radiance of (the god) Aššur, my lord, overwhelmed her and ... I spared her so (she would) praise (the victory of the god Aššur)... I set up ... as governors. 
Witness Nabû-tabni-uṣur, city scribe.	Witness Ubru-Issar, servant of ... 
x mina(s), Ahu-kenu, 1/2 mina ditto;	1 urnutu-garment, ditto, ... ;
Iyyar (II), 1st day, eponym year of Atar-il, governor of Lahiru.	Month ... , 23rd day, eponym year of Zazaya.
Witness ... mua, from Nineveh.	Witness ... 
there are vessels of bronze ... 	Witness ... 
... adjoining the town Ammanayu of Adad-imme;	adjoining the house of Ṣil-Nabû,
Bring the troops back to your land, Na'id-šihu! They should not go up into the mountains! How will we feed  (them)? They will want to eat! They will drink wine until they are drunk!	Legitimate heir of Aššur-dān (I), bearer of the holy scepter, commander of the subjects of the god Enlil, the one whose deeds and offerings are pleasing to the great gods, and who lived to a ripe old age;
The watch over the lands is very strong. Sixty gods are standing at my right side, sixty gods at my left.	Now (however), following the king, my lord's instructions, I strictly ... do not argue with any of the sheikhs.
If the moon is carried off at an inappropriate time: there will be an eclipse. — The moon disappeared on the 24th day.	Concerning the people of Barik-il about whom the king, my lord, wrote to me, now then Nabû-šallim of Larak has seized 53 souls and given them to Umadi, the bodyguard of the crown prince.
Witness Qua.	Witness ... 
... is passing by on account of it.	Witness Ubru-Issar, servant of ... 
5 talents, the hide-dealers of the entrance.	... ditto, ditto, the front red, of the port; 4 ... ;
a bad piece of advice ... 	4 minas ... ;
A servant who is in trouble petitions his masters. I am (now) in trouble and petitioning the king, my lord. Let the king, my lord, appoint me, and let my accounts be made with the scribes. The scribes have wrenched me away from the king.	Now (however), following the king, my lord's instructions, I strictly ... do not argue with any of the sheikhs.
Also, I am 50? years (already) and they say: "Once you have  reached old age, who will support you?" The king is not pleased with  me; I go to the palace, I am no good; I turned to a prophet (but) did  not find any hope, he was adverse and did not see much. O king my  lord, seeing you is happiness, your attention is a fortune!	Perhaps the king will say: "Have they started a lawsuit against somebody?" By Bel, Nabû, (and) the gods of the king ... , I sent these words to the king, my lord, only today. May the lord of kings do as he deems best, and may Enlil, Šamaš and Marduk, the great gods, and the gods of Nippur and Babylon lengthen the days of the king, my lord.
I imposed upon him (Šarru-lū-dāri) the payment of tribute (and) gifts (in recognition) of my overlordship so that he (now) pulls my yoke.	Just as bread and wine enter into your intestines, (so)  may they (= the gods) make this (oath) enter into your intestines and  into those of your sons and your daughters.
Furthermore, I, Ashurbanipal, learned inside it the wisdom of the god Nabû, all of the scribal arts. I investigated the precepts of every type of scholar there is, learned how to shoot a bow, ride a horse (and) chariot, (and) take hold of (their) reins. Kings among mankind (and) lions among the animals could not grow powerful before my bow. (i 30) I know how to wage war (and) battle; I am experienced in forming a battle line (and) fighting.	On my third campaign, I marched against Baʾalu, the king of the land Tyre who resides in the middle of the sea. Because he did not honor my royal command(s and) did not obey the pronouncement(s) from my lip(s), (iii 20') I set up outposts against him. To prevent his people from leaving, I reinforced (its) garrison. By sea and dry land, I took control of (all of) his routes (and thus) cut off (all) access to him. (iii 25') I made water and food for the preservation of their lives scarce for their mouths. I confined them in a harsh imprisonment from which there was no escape. I constricted (and) cut short their lives. I made them (the people of Tyre) bow down to my yoke.
Eṭir-... 	Witness ... 
The village of Bahaya in its entirety, an estate of 500 (hectares of) land with its sown fields, adjoining the village of Tapha-ari... , and the land of the village of Ṣilli-Bel the herdsman, the land of the towns of Paqutu and Dur-Šarrukkayu, and the land of the villages of Ahiqar and Ṣilli-Bel —	I filled Mount Ḫauranu (Hauran) with ... (15) I carried off ... (and) ... thousand sheep. I conquered ... Moreover, as for her (Samsi?), the terrifying radiance of (the god) Aššur, my lord, overwhelmed her and ... I spared her so (she would) praise (the victory of the god Aššur)... I set up ... as governors. 
Grand total 977 people, deportees, from Que. 	Disregard that an unclean person has performed extispicy in this place... 
... the temple ... 	Witness ... 
... bread from the temple	... we captured
which ... will come 	... we captured
Venus ... a month and 10 days ... 	4 minas ... ;
I turned around (lit. “I turned the front of my yoke”) and took the road to the land Ellipi. (ii 5'') Before my arrival, Ispabāra, their king, abandoned his fortified cities (and) his treasury and fled far away. I overwhelmed all of his wide land like a fog. I surrounded, conquered, destroyed, devastated, (and) burned with fire the cities Marʾubištu (and) Akkuddu, (ii 10'') cities of his royal house, together with thirty-four small(er) settlements in their environs.	I filled Mount Ḫauranu (Hauran) with ... (15) I carried off ... (and) ... thousand sheep. I conquered ... Moreover, as for her (Samsi?), the terrifying radiance of (the god) Aššur, my lord, overwhelmed her and ... I spared her so (she would) praise (the victory of the god Aššur)... I set up ... as governors. 
You have ... ed your great deficit ... 	Witness Ubru-Issar, servant of ... 
Venus is not yet visible. Tonight, as I am sending this  message to the king, my lord, we see only Mercury; we do not see  Venus. Presently it should be situated under Aries, in opposition to  Saturn. Saturn (means) the star of the king.	Now (however), following the king, my lord's instructions, I strictly ... do not argue with any of the sheikhs.
Drawing (means) Gemini.	The day (means) the sun. 
... they appoint	... we captured
The king, my lord, should do as he deems best.	Now (however), following the king, my lord's instructions, I strictly ... do not argue with any of the sheikhs.
adjoining Liphuru,	adjoining the house of Ṣil-Nabû,
Battle against the city Dabigu, which belonged to Aḫunu of Bīt-Adini.	The city Iallgu of Bīt-Adini I conquered.
1 ditto — the house ... ,	Witness ... 
This ... Nabû-... 	Witness ... 
Will Esarhaddon, king of Assyria, ... be troubled and worried?	To the king, my lord: your servant NN. Good health to the king, my lord!
in all 6 persons (and) the town of Musina-aplu-iddina in its entirety in the district of Arpad next to the city Nerab of the governor of Arpad —	Now (however), following the king, my lord's instructions, I strictly ... do not argue with any of the sheikhs.
Aššur-nārārī, vice-regent of the god Aššur, son of Išme-Dagan (II), (who was) also vice regent of the god Aššur:	Arik-dīn-ili, strong king, king of Assyria, builder of the temple of the god Šamaš, the exalted shrine, for posterity;  son of Enlil-nārārī, king of Assyria; son of Aššur-uballiṭ (I) (who was) also king of Assyria:
In the middle surface of the 'finger' there is a fissure... 	Disregard that an unclean person has performed extispicy in this place... 
I learned the craft of the sage Adapa, the secret (and) hidden lore of all of the scribal arts. I am able to recognize celestial and terrestrial omens (and) can discuss (them) in an assembly of scholars. I am capable of arguing with expert diviners about (the series) “If the liver is a mirror image of the heavens.” I can resolve complex (mathematical) divisions (and) multiplications that do not have a(n easy) solution. I have read cunningly written text(s) in obscure Sumerian (and) Akkadian that are difficult to interpret. I have carefully examined inscriptions on stone from before the Deluge that are sealed, stopped up, (and) confused.	On my third campaign, I marched against Baʾalu, the king of the land Tyre who resides in the middle of the sea. Because he did not honor my royal command(s and) did not obey the pronouncement(s) from my lip(s), (iii 20') I set up outposts against him. To prevent his people from leaving, I reinforced (its) garrison. By sea and dry land, I took control of (all of) his routes (and thus) cut off (all) access to him. (iii 25') I made water and food for the preservation of their lives scarce for their mouths. I confined them in a harsh imprisonment from which there was no escape. I constricted (and) cut short their lives. I made them (the people of Tyre) bow down to my yoke.
and my ... does not come into the king, my lord's presence. From this the  king, my lord, should understand that I am sick and ... 	Now (however), following the king, my lord's instructions, I strictly ... do not argue with any of the sheikhs.
My lord knows that the ... s which the king gave are ... 	... whom the king ... 
Nine of his governors were killed: the governor opposite the chief cupbearer, the governor opposite us, the governor opposite Ša-Aššur-dubbu, the governor opposite Muṣaṣir, the governor of Wazae, the governor of Šibṭuru, two governors opposite Kar-siparri, the governor of Šattera — in all nine governors of his were killed.	Perhaps the king will say: "Have they started a lawsuit against somebody?" By Bel, Nabû, (and) the gods of the king ... , I sent these words to the king, my lord, only today. May the lord of kings do as he deems best, and may Enlil, Šamaš and Marduk, the great gods, and the gods of Nippur and Babylon lengthen the days of the king, my lord.
let them come up together: Iyyar (II) is a good month, it has numerous good days. The foot of the god has gone to rest; it is (really) very auspicious to go (now) to the king, my lord.	Perhaps the king will say: "Have they started a lawsuit against somebody?" By Bel, Nabû, (and) the gods of the king ... , I sent these words to the king, my lord, only today. May the lord of kings do as he deems best, and may Enlil, Šamaš and Marduk, the great gods, and the gods of Nippur and Babylon lengthen the days of the king, my lord.
At the beginning of my kingship, during the first regnal year that I sat in majesty on the royal throne, the temple of the god Nabû which Adad-nārārī (III), ... , a king of the past (who came) before me, had built, became dilapidated and at ... Using the craft of the incantation-priest, ... through ... I (re)laid its foundation(s) and the temple ... I built (and) completed that temple ... Its grand designs ... the god Nabû and the goddess Tašmētu ... seat(s).	On my third campaign, I marched against Baʾalu, the king of the land Tyre who resides in the middle of the sea. Because he did not honor my royal command(s and) did not obey the pronouncement(s) from my lip(s), (iii 20') I set up outposts against him. To prevent his people from leaving, I reinforced (its) garrison. By sea and dry land, I took control of (all of) his routes (and thus) cut off (all) access to him. (iii 25') I made water and food for the preservation of their lives scarce for their mouths. I confined them in a harsh imprisonment from which there was no escape. I constricted (and) cut short their lives. I made them (the people of Tyre) bow down to my yoke.
(As for) the governors, the nobles, and the people of the city Ekron who had thrown Padî, their king who was bound by treaty and oaths to Assyria, into iron fetters and who had handed him over to Hezekiah of the land Judah in a hostile manner, (iii 10) they became frightened on account of the villainous acts they had committed. They formed a confederation with the kings of Egypt (and) the archers, chariots, (and) horses of the king of the land Meluḫḫa, forces without number, and they came to their aid.	On my third campaign, I marched against Baʾalu, the king of the land Tyre who resides in the middle of the sea. Because he did not honor my royal command(s and) did not obey the pronouncement(s) from my lip(s), (iii 20') I set up outposts against him. To prevent his people from leaving, I reinforced (its) garrison. By sea and dry land, I took control of (all of) his routes (and thus) cut off (all) access to him. (iii 25') I made water and food for the preservation of their lives scarce for their mouths. I confined them in a harsh imprisonment from which there was no escape. I constricted (and) cut short their lives. I made them (the people of Tyre) bow down to my yoke.
Šamaš-šumu-ukin is committing a great crime. He does not speak ... but is telling the Babylonians ... :	They argued about the house of Hunanu as long as it existed. Now they are arguing about Kar-Šarrukin... Not a day passes without their quarreling about the spoils.
... plus the storehouse	... we captured
He shall enjoy the usufruct of the field for three crop years.	... ditto, ditto, the front red, of the port; 4 ... ;
Witness Se'-nuri. Witness Šer-ila'i.	Witness ... 
belonging to Bahianu, at their disposal. They have taken it as a loan.	The king will be shut up in his palace; ... and good for the king my lord.
... his ... s 	Witness ... 
The money is paid completely. That man is purchased, acquired, paid off, and cleared. Any revocation, lawsuit or litigation is void.	shall place 10 minas of refined silver (and) x minas of pure gold in the lap of Ninurta residing in Calah, and shall return the money tenfold to its owners. He shall contest in his lawsuit and not succeed.
Through prayer(s) to the god Šamaš, my lord, (and) through supplications to the great gods, the assembly of craftsmen saw the original foundation(s) and examined the (old) cella and throne platforms. They immediately returned (and) said to me: “I have indeed seen the original foundation(s) of Narām-Sîn, a king of the distant past, the cella of the god Šamaš, the permanent residence of his divinity.”	I filled Mount Ḫauranu (Hauran) with ... (15) I carried off ... (and) ... thousand sheep. I conquered ... Moreover, as for her (Samsi?), the terrifying radiance of (the god) Aššur, my lord, overwhelmed her and ... I spared her so (she would) praise (the victory of the god Aššur)... I set up ... as governors. 
It shall increase 1 shekel of silver per mina.	The blessings for the gods who dwell in Assyria. 
As to Qurdi-Issar, the archer about whom the king, my lord, wrote me: "Encourage him, and give him a house, a plough, and a field ... "	Now (however), following the king, my lord's instructions, I strictly ... do not argue with any of the sheikhs.
An estate of 2 hectares "thin" (land) adjoining ... 	of the campaign ... 
... , eponym year of Taklak-ana-Bel (715 B.C.).	... whom the king ... 
He shall enjoy it for x crop years.	The city Iallgu of Bīt-Adini I conquered.
The solar eclipse which occurred in Nisan (I) did not touch the quadrant of Subartu. In addition, the planet Jupiter retained its position (in the sky); it was present for 15 more days. That is propitious.	They did not agree but said: "We will not give them ... When the horses and mules ... , and he has come, then we shall pass them over." And they said: "Bring the men who went to Nabû-belu-ka''in, and we will ... !"
The king did not agree to ... 	4 minas ... ;
Palace of Ashurnasirpal, king of the world, king of Assyria, son of Tukultī-Ninurta (II), (who was) also king of the world and king of Assyria.	Now (however), following the king, my lord's instructions, I strictly ... do not argue with any of the sheikhs.
Further: the legate of Der has written to me: "Send me 2,000 men!" But the men from here do not suffice (even) for the fortresses! Whence should I take the men to send to him?	They did not agree but said: "We will not give them ... When the horses and mules ... , and he has come, then we shall pass them over." And they said: "Bring the men who went to Nabû-belu-ka''in, and we will ... !"
Nabopolassar, strong king, king of Babylon, king of the land of Sumer and Akkad, the one who makes the foundations of the land firm,  pious prince, protégé of the gods Nabû and Marduk, favorite of the god Šaššu (Šamaš), beloved of the goddess Aya, the warrior of warriors whom the awesome god Erra allowed to attain his desire, the humble (and) respectful one who is assiduous towards the rites of the great gods, the king whose deeds surpass those of the kings, his ancestors, am I —	On my third campaign, I marched against Baʾalu, the king of the land Tyre who resides in the middle of the sea. Because he did not honor my royal command(s and) did not obey the pronouncement(s) from my lip(s), (iii 20') I set up outposts against him. To prevent his people from leaving, I reinforced (its) garrison. By sea and dry land, I took control of (all of) his routes (and thus) cut off (all) access to him. (iii 25') I made water and food for the preservation of their lives scarce for their mouths. I confined them in a harsh imprisonment from which there was no escape. I constricted (and) cut short their lives. I made them (the people of Tyre) bow down to my yoke.
And (he said): "I will destroy Elam; its army shall be levelled to the ground. In this manner I will finish Elam."	If the left of the gall bladder is attached: your expeditionary force will slay the enemy.
power + sceptre ... 	Witness ... 
He who (owns a field) by the king's sealed order must prove the  exemption of the field. Those who were bought are (subject to) our corn taxes, but  he refuses to pay them.	Now (however), following the king, my lord's instructions, I strictly ... do not argue with any of the sheikhs.
... Šamulu, son of NN;	... whom the king ... 
Bel-u... 	Witness ... 
fills ... 	Witness ... 
When I raised my eyes,  (I saw) the valiant Nergal seated on a regal throne, apparelled with the royal tiara; with both hands he grasped two grim maces, each with two ... heads.	They did not agree but said: "We will not give them ... When the horses and mules ... , and he has come, then we shall pass them over." And they said: "Bring the men who went to Nabû-belu-ka''in, and we will ... !"
Should Esarhaddon, king of Assyria, appoint the man whose name is written in this papyrus and placed before your great divinity, to the office which is written in this papyrus?	shall place 10 minas of refined silver (and) x minas of pure gold in the lap of Ninurta residing in Calah, and shall return the money tenfold to its owners. He shall contest in his lawsuit and not succeed.
The driller, whom your royal father shaved, used to enter the ablution chamber, and your royal father put him in charge of the statues as well. Now, he died in Elul (VI). He has left a son (who) is a novice and 'stands with his hair.' Now, if it is acceptable to the king, my lord, let them shave him. The king, my lord, knows that these are the days of the ritual — that is why I am instructing the king, my lord.	I filled Mount Ḫauranu (Hauran) with ... (15) I carried off ... (and) ... thousand sheep. I conquered ... Moreover, as for her (Samsi?), the terrifying radiance of (the god) Aššur, my lord, overwhelmed her and ... I spared her so (she would) praise (the victory of the god Aššur)... I set up ... as governors. 
... (of) Sargon, king of Assyria.	... whom the king ... 
You place a flagon of beer, a ditto of wine, an amphora of beer and ditto of wine behind the censer.	Now (however), following the king, my lord's instructions, I strictly ... do not argue with any of the sheikhs.
Bit-Zabidi ... 	Witness ... 
On the 23rd day the king came down to the House of God. He brought forth a censer and a torch. He performed the sheep offerings before Aššur and Mullissu. He performed those before the gods of heaven.	I filled Mount Ḫauranu (Hauran) with ... (15) I carried off ... (and) ... thousand sheep. I conquered ... Moreover, as for her (Samsi?), the terrifying radiance of (the god) Aššur, my lord, overwhelmed her and ... I spared her so (she would) praise (the victory of the god Aššur)... I set up ... as governors. 
What are these words of yours ... 	Witness ... 
... made it pass by	... we captured
Hulî, servant of NN —	Witness Ubru-Issar, servant of ... 
shall place 10 minas of silver (and) one mina of gold in the lap of Inurta residing in Calah, and shall return the money tenfold to its owner. He shall contest in his  non-lawsuit and not succeed.	They did not agree but said: "We will not give them ... When the horses and mules ... , and he has come, then we shall pass them over." And they said: "Bring the men who went to Nabû-belu-ka''in, and we will ... !"
... I shall forward.	... we captured
Written on the pedestal of the great lord, the god Marduk.	... ditto, ditto, the front red, of the port; 4 ... ;
He (Nabû-zēr-kitti-līšir) trusted in his own strength and mustered his army (and) camp, besieged Ningal-iddin, a servant who was loyal to me, and cut off his escape route. I mustered my army and took the direct route to the Sealand. Nabû-zēr-kitti-līšir, son of Marduk-apla-iddina (II) (Merodach-baladan), the rebel, the traitor, heard of the approach of my army and fled like a fox to the land Elam. (10') Because he failed to keep the oath of the god Aššur, his lord, they killed him with the sword in the midst of the land Elam. Naʾid-Marduk saw what they had done to his brother in Elam and he came to Assyria, before me, and kissed my feet. I made the domain of his brother subject to him and imposed my lordly tribute on him.	On my third campaign, I marched against Baʾalu, the king of the land Tyre who resides in the middle of the sea. Because he did not honor my royal command(s and) did not obey the pronouncement(s) from my lip(s), (iii 20') I set up outposts against him. To prevent his people from leaving, I reinforced (its) garrison. By sea and dry land, I took control of (all of) his routes (and thus) cut off (all) access to him. (iii 25') I made water and food for the preservation of their lives scarce for their mouths. I confined them in a harsh imprisonment from which there was no escape. I constricted (and) cut short their lives. I made them (the people of Tyre) bow down to my yoke.
... ; NN ditto; Ahu-iddina, Aramean scribe ... ;	Witness Ubru-Issar, servant of ... 
Witness Aššur-šallim-ahhe. Witness Aššur-balliṭ, his brother.	Witness Azi-il, scribe.
But whoever casts (it) aside, may Ninurta, who is called on in his prayer, turn and punish him.	Now (however), following the king, my lord's instructions, I strictly ... do not argue with any of the sheikhs.
Seal of Marduk-napšati-... , owner of the ... being sold.	... whom the king ... 
Let the king stay in his palace; ... of your enemies ... 	Now (however), following the king, my lord's instructions, I strictly ... do not argue with any of the sheikhs.
O Lugal-Marda, supreme lord, mighty warrior, when you joyfully enter this temple (and) look with pleasure upon everything that I have done (for you), speak good thing(s) about me in the presence of the god Marduk, king of heaven and earth, daily so that the days of my life are long (and) I am sated with old age. With your fierce weapons, cut down my enemies (and) destroy all of my foes.	I filled Mount Ḫauranu (Hauran) with ... (15) I carried off ... (and) ... thousand sheep. I conquered ... Moreover, as for her (Samsi?), the terrifying radiance of (the god) Aššur, my lord, overwhelmed her and ... I spared her so (she would) praise (the victory of the god Aššur)... I set up ... as governors. 
On the day that he pays the silver, he shall redeem his land.	Disregard that an unclean person has performed extispicy in this place... 
... , whether Aplaya, scribe.	... we captured
I have now sent (word), and I shall find an interpreter in ... , acquire him for the king, my lord, and send him.	Now (however), following the king, my lord's instructions, I strictly ... do not argue with any of the sheikhs.
Witness Ubbuku.	Witness ... 
... will they attack (him), and kill and plunder him? Will Esarhaddon, king of Assyria, be troubled and angry? Will he who can see, see it? Will he who can hear, hear it?	Concerning the people of Barik-il about whom the king, my lord, wrote to me, now then Nabû-šallim of Larak has seized 53 souls and given them to Umadi, the bodyguard of the crown prince.
... presented ... , saying: "... 	... whom the king ... 
Witness Nusku-emuranni.	Witness ... 
