x talents, Sam'al;	x talents, the manager of the Review Palace;
which ... will come 	... at the appearance ... will become long ... 
I turned around (lit. “I turned the front of my yoke”) and took the road to the land Ellipi. (ii 5'') Before my arrival, Ispabāra, their king, abandoned his fortified cities (and) his treasury and fled far away. I overwhelmed all of his wide land like a fog. I surrounded, conquered, destroyed, devastated, (and) burned with fire the cities Marʾubištu (and) Akkuddu, (ii 10'') cities of his royal house, together with thirty-four small(er) settlements in their environs.	I turned around (lit. “I turned the front of my yoke”) and took the road to the land Ellipi. Before my arrival, Ispabāra, their king, abandoned his fortified cities (and) his treasury and fled far away. I overwhelmed all of his wide land like a fog. I surrounded, conquered, destroyed, devastated, (and) burned with fire the cities Marʾubištu (and) Akkuddu, cities of his royal house, together with thirty-four small(er) settlements in their environs.
... they appoint	If he appoints him, as long as he holds this position, will he instigate an insurrection and rebellion against Assurbanipal ... ?
The king, my lord, should do as he deems best.	The king, my lord, should examine the crimes ... of all ... s, have compassion on those whose crimes are light like breath, count (them) among his servants, and appoint them to the royal service.
adjoining Liphuru,	adjoining house Il-mananî, horse trainer,
1 ditto — the house ... ,	... jars of wine in the house ... 
This ... Nabû-... 	... of Nabû-... 
Will Esarhaddon, king of Assyria, ... be troubled and worried?	Will Esarhaddon, king of Assyria, be ... ?
Aššur-nārārī, vice-regent of the god Aššur, son of Išme-Dagan (II), (who was) also vice regent of the god Aššur:	Aššur-uballiṭ, vice-regent of the god Aššur, son of Erība-Adad (I); Erība-Adad (I), vice-regent of the god Aššur, (was) the son of Aššur-bēl-nišēšu; Aššur-bēl-nišēšu, vice-regent of the god Aššur, (was) the son of Aššur-nārārī (II); Aššur-nārārī (II), vice-regent of the god Aššur, (was) the son of Aššur-rabi (I); Aššur-rabi (I), vice-regent of the god Aššur, (was) the son of Enlil-nāṣir (I); Enlil-nāṣir (I), vice-regent of the god Aššur, (was) the son of Puzur-Aššur (III) (who was) also vice-regent of the god Aššur:
In the middle surface of the 'finger' there is a fissure... 	If there is a 'foot'-mark in the middle of the middle surface of the 'finger,' it is the foot-mark of an ecstatic of the enemy's country.
(As for) the governors, the nobles, and the people of the city Ekron who had thrown Padî, their king who was bound by treaty and oaths to Assyria, into iron fetters and who had handed him over to Hezekiah of the land Judah in a hostile manner, (iii 10) they became frightened on account of the villainous acts they had committed. They formed a confederation with the kings of Egypt (and) the archers, chariots, (and) horses of the king of the land Meluḫḫa, forces without number, and they came to their aid.	(As for) the governors, the nobles, and the people of the city Ekron (ii 70) who had thrown Padî, their king who was bound by treaty and oaths to Assyria, into iron fetters and who had handed him over to Hezekiah of the land Judah in a hostile manner, they became frightened on account of the villainous acts they had committed. They formed a confederation with the kings of Egypt (and) the archers, chariots, (ii 75) (and) horses of the king of the land Meluḫḫa, forces without number, and they came to their aid.
... plus the storehouse	... this storehouse ... a praiseworthy structure ... of this storehouse in ... which had buckled and become weak ... 
He shall enjoy the usufruct of the field for three crop years.	He shall have the usufruct of the field for three fallow years and three crop years.
Witness Se'-nuri. Witness Šer-ila'i.	Witness ... surri. Witness Bel-ila'i,
The money is paid completely. That man is purchased, acquired, paid off, and cleared. Any revocation, lawsuit or litigation is void.	The money is paid completely. Those fields, houses and people are purchased and acquired. Any revocation, lawsuit, or litigation is void.
It shall increase 1 shekel of silver per mina.	It shall increase 2 shekels per mina per month.
An estate of 2 hectares "thin" (land) adjoining ... 	an estate of 4 hectares of land adjoining the road which leads from the village of Dannaya to the village of ... , a total of 5 (hectares) adjoining the field of Išmanni-... 
... , eponym year of Taklak-ana-Bel (715 B.C.).	State service which Sargon, king of Assyria, remitted to the provincial governor. Month of Tebet (X), 25th day, eponym year of Taklak-ana-Bel (715 B.C.). 
He shall enjoy it for x crop years.	He shall have the usufruct of it for years. He shall enjoy it for 4 crop years and 4 fallow years.
The king did not agree to ... 	They did not agree but said: "We will not give them ... When the horses and mules ... , and he has come, then we shall pass them over." And they said: "Bring the men who went to Nabû-belu-ka''in, and we will ... !"
Palace of Ashurnasirpal, king of the world, king of Assyria, son of Tukultī-Ninurta (II), (who was) also king of the world and king of Assyria.	Ashurnasirpal, great king, strong king, king of the world, king of Assyria, son of Tukultī-Ninurta (II), great king, strong king, king of the world, king of Assyria, son of Adad-nārārī (II) (who was) also great king, strong king, king of the world, king of Assyria; valiant man who
... Šamulu, son of NN;	... -uṣur, son of Ṣidqi.
Bel-u... 	x vineyards in the town of Bu... ,
fills ... 	Witness ... 
Should Esarhaddon, king of Assyria, appoint the man whose name is written in this papyrus and placed before your great divinity, to the office which is written in this papyrus?	I ask you, Šamaš, great lord, whether, (should) Esarhaddon, king of Assyria, appoint the man whose name is written in this papyrus and placed before your great divinity, to the office of 'bishop' in ... ,
... (of) Sargon, king of Assyria.	Seal of Ashurbanipal, king of the world, king of Assyria, son of Esarhaddon, king of Assyria, son of Sennacherib, (who was) also king of Assyria. 
You place a flagon of beer, a ditto of wine, an amphora of beer and ditto of wine behind the censer.	You set up a table before Šamaš, and place a censer, firewood and licorice behind the table. You place two libation vessels and two libation bowls to the left of the censer, (and) a container of wine, a container of beer, an amphora of beer, and one of wine behind the censer.
Bit-Zabidi ... 	Zeri-Babili ... 
On the 23rd day the king came down to the House of God. He brought forth a censer and a torch. He performed the sheep offerings before Aššur and Mullissu. He performed those before the gods of heaven.	On the 23rd day the king goes down to the House of God. He illuminates the face. He performs the regular offering before Aššur and Mullissu. He performs one before the gods of heaven.
... made it pass by	... made to sin ... 
Hulî, servant of NN —	Atar-hamu, servant of Asî —
shall place 10 minas of silver (and) one mina of gold in the lap of Inurta residing in Calah, and shall return the money tenfold to its owner. He shall contest in his  non-lawsuit and not succeed.	shall place 10 minas of refined silver (and) x minas of pure gold in the lap of Ninurta residing in Calah, and shall return the money tenfold to its owners. He shall contest in his lawsuit and not succeed.
... I shall forward.	... I shall give ... 
Written on the pedestal of the great lord, the god Marduk.	I had foundation inscriptions made of silver, gold, bronze, lapis lazuli, alabaster, basalt, pendû-stone, elallu-stone, (and) white limestone, (as well as) inscribed objects of baked clay, and (then) I depicted on them hieroglyphs representing the writing of my name. I wrote on them the might of the great hero, the god Marduk, (and) the deeds that I had done, my pious work, (and) I placed (these inscriptions) in the foundations (and) left (them) for far-off days.
Seal of Marduk-napšati-... , owner of the ... being sold.	Seal of ... , owner of the ... being sold.
On the day that he pays the silver, he shall redeem his land.	On the day that he pays the silver, he shall redeem his servant.
Witness Ubbuku.	Witness Ubru-Issar, servant of ... 
... will they attack (him), and kill and plunder him? Will Esarhaddon, king of Assyria, be troubled and angry? Will he who can see, see it? Will he who can hear, hear it?	Will Esarhaddon, king of Assyria, be troubled and angry? Will he who can see, see it? Will he who can hear, hear it?
... presented ... , saying: "... 	... reached, saying: "... 
Witness Nusku-emuranni.	Witness Bel-emuranni.
(As for) the one who alters the work of my hands, mutilates my features (on a relief), obliterates the reliefs that I have engraved (lit.: “engrave”), (or) effaces my own representation(s), may the gods Aššur, Šamaš, Adad, and the gods who dwell there remove his name (and) his descendant(s) from the land and make him live in bondage under his enemy.	(As for) the one who alters the work of my hands, mutilates my features (on a relief), obliterates the reliefs that I have engraved, or effaces my own representation(s), may the gods Sîn, Šamaš, Adad, and the great gods who dwell there remove his name (and) his descendant(s) from the land and make him live in bondage under his enemy.
x+20 male goats, 100 female goats, 	30 rams, 250 bearing ewes, 200 1-year-old (lambs), 3 male goats, 10 bearing female goats, 7 1-year-old (kids). Total 480 white sheep, 20 goats.
I improved ... ; the people ... 	(The god) Aššur, the father of the gods, the one who ... , the bridle that controls ... ; the god Anu, the powerful, ... whose ... cannot be altered, ... ; the god Ea, the wise, the lord ... who casts ... down on grassland, ... ; the god Enlil, the greatest lord, the foremost of ... ; the god Sîn, the pure god, the lord of the crown, the one who ... the one who widens ... ; the god Šamaš, the exalted judge, ... ; the god Adad, the canal inspector of heaven and earth, the one who gives ... to the people ... 
... below her.	... lower ... 'weapon'-mark ... 
whether Nabû-... or his sons seeks a lawsuit or litigation against Ninuayu, and his brothers	Whoever ... , whether Nabû-... , ... , seeks a lawsuit or litigation against ... , his sons, ... ,
A mare in ... 	... two bull colossi of white limestone ... the gate of that watercourse, I had erected... the strong wave and wild tide that rise up and ... canal(s), dike(s), and irrigation ditch(es) eroded their bank(s) and ... when there was breach, harvests were submerged ... I had magnificent ... s of iron made and ... the outflow of water ... when its flood was in full spate ... 
Moving on from this camp I marched to the cities in the plain of Mount Niṣir which no one had ever seen. I conquered the city Larbusa, the fortified city (iii 5) which (was ruled by) Kirteara, (and) eight cities in its environs. The troops were frightened (and) took to a rugged mountain. The mountain was as jagged as the point of a dagger. The king with his troops climbed up after them. I threw down their corpses within the mountain, massacred 172 of their fighting men, (iii 10) (and) piled up many troops on the precipices of the mountain. I brought back captives, possessions, oxen, (and) sheep from them (and) burnt their cities. I hung their heads on trees of the mountain (and) burnt their adolescent boys. I returned to my camp (and) spent the night.	Moving on from this camp I marched to the cities in the plain of Mount Niṣir which no one had ever seen. I conquered the city Larbusa, the fortified city which (was ruled by) Kirtiara, (and) eight cities in its environs. The troops were frightened (and) took to a rugged mountain. The mountain was as jagged as the point of a dagger. The king with his troops climbed up after them. I threw down their corpses in the mountain, massacred 172 of their fighting-men, (and) piled up many troops on the precipices of the mountain. I brought back captives, possessions, oxen, (and) sheep from them (and) burnt their cities. I hung their heads on trees of the mountain (and) burnt their adolescent boys (and) girls. I returned to my camp (and) spent the night.
Total 26 ... 	total ... 
... in the middle ... there is a 'request'-mark... 	... in the middle of the right side, a 'request'-mark ... 
5 urnutu-garments, ditto, ditto, ditto, ... ;	1 urnutu-garment, ditto, ... ;
in your hearts conceive and put into words an ugly scheme or an evil plot against your lord Assurbanipal, king of Assyria,	and if you hear of an ugly scheme being elaborated against your lord Assurbanipal, king of Assyria, you shall speak out in the presence of Zakutu his mother and your lord, Assurbanipal, king of Assyria;
In my tenth regnal year I crossed the Euphrates for the eighth time. <I captured> the cities of Sangara, the Carchemishite. Moving on from the cities of the Carchemishite I approached the cities of Aramu (and) captured Arne, his royal city, together with one hundred cities in its environs.	In my tenth regnal year I crossed the Euphrates for the eighth time. I captured the cities of Sangara, the Carchemishite. I approached the cities of Aramu (and) captured Arnê, his royal city, together with one hundred cities (in its environs).
... the heart of Nabû-ahu-ereš	... the heart of the king, our lord
Witness Nusku-emuranni, son of Babilayu.	Witness Inurtî, son of Babilayu.
... in truth to my lord ... 	... of the king my lord ... 
10 shekels of silver ... 	Šulmu-šarri, ... has contracted and bought it for 1/2 mina of silver ... 
The governor and the people of the Inner City ... 	The king received the wife of the governor and brought her into the Palace. On the day we heard that the king was dead and the people of the Inner City were weeping, the governor brought his wife out of the palace. She burnt a female goat-kid, (while) he installed a eunuch of his as the mayor. His (other) eunuchs stand in the presence of the mayor, dressed in festive robes and wearing golden rings, while the singer, Qisaya, and his daughters keep singing (hymns) before them.
Bel-sharrani,	Sin-... , son of Bel-Harran-ilê, ... 
I heard of this and sent word to Bel-iqbi; he came and we went together to meet the booty. He saw us, ambushed us from behind, and we had a fight. 1,500 booty sheep from the city of Huzaza, 1,500 sheep ... city of ... , ... 2 men ... men ... 	I heard of this and sent word to Bel-iqbi; he came and we went together to meet the booty. He saw us, ambushed us from behind, and we had a fight. 1,500 booty sheep from the city of Huzaza, 1,500 sheep ... city of ... , ... 100 men ... men ... 
10 ditto, in the inner precinct;	3 (whole) oxen, in the inner precinct;
When I had seized ... 	... of the land Tabal ... eu­nuchs of mine, the provincial governor(s) of the city Samʾal, (vi 5''''') the city Arpad, the city Hamath, the city Damascus, ... together with my cavalry, which I had stationed ... in the land Hamath ... the numerous troops of the god Aššur ... the land Tabal ... 
the interior of the land Nirbu. I brought within the boundaries of my land (the territory stretching) from the passes of Mount Kirruru to the land Gilzānu, from the opposite bank of the Lower Zab to the city Tīl-Bāri which is upstream from the land Zaban, from the city Tīl-ša-Abtāni to the city Tīl-ša-Zabdāni,	With the help of the gods Šamaš and Adad, the gods my supporters, I thundered like the god Adad, the devastator, against the troops of the lands Nairi, Ḫabḫu, the Šubaru, and the land Nirbu. The king who subdued (the territory stretching) from the opposite bank of the Tigris to Mount Lebanon and the Great Sea, the entire land Laqû, (and) the land Sūḫu including the city Rapiqu; he conquered from the source  of the River Subnat to the land Urarṭu. I brought within the boundaries of my land (the territory stretching) from the passes of Mount Kirruru to the land Gilzānu, from the opposite bank of the Lower Zab to the city Tīl-Bāri which is upstream from the land Zaban, from the city Tīl-ša-Zabdāni
If Jupiter becomes visible in Tishri (VII): enemy kings will receive peace.	If Jupiter becomes steady in the morning: enemy kings will make peace.
To Nabû-duri-uṣur, my lord: your servant Rimutte. Good health to my lord!	To the treasurer, my lord, your servant Aššur-reṣuwa. Good health to my lord!
mutually ... 	If ... , ... will stay ... 
Disregard that treachery ... 	Disregard that he who touches the forehead of the sheep is dressed in his ordinary soiled garments... 
For the god Marduk, his lord: Ashurbanipal, king of the world (and) king of Assyria, for the sake of his life had baked bricks made anew for Etemenanki.	For the god Marduk, his lord: Esarhaddon, king of Assyria (and) king of Babylon, had baked bricks made anew for Etemenanki.
... does not know him ... 	... says: "Marduk-šarrani has said to the son of Yakin: '... who knows the shepherd ... who lays your throne in your hands ... And I ... of Assyria ... does not sin ... '"
shall place ... in the lap of Ištar residing in Nineveh, and shall return the money tenfold to its owners.	shall place 10 minas of refined silver (and) x minas of pure gold in the lap of Ninurta residing in Calah, and shall return the money tenfold to its owners. He shall contest in his lawsuit and not succeed.
... the governor of Arrapha to the city of ... 	Perhaps the king, my lord, will say: "When are you going to depart from the Inner City ... ?" I am waiting ... for the troops; right now ... the governor of Arrapha ... 
My brother Bel-apla-iddin	Whoever in the future, at any time, lodges a complaint and breaks the contract, whether Bel-aplu-iddina or his sons, grandsons, brothers or nephews, or ... , or any relative of his,
1 basket of silver;	11 shekels of silver of Ištar of Nineveh belonging to Šep-Issar, at the disposal of Kulu'-Issar, at the disposal of Dayyan-Kurbail.
Issar-na'id, ... ;	Witness Issar-na'id.
... who against the house of Daltâ	A town called Burati, (one of) his forts outside the house of Daltâ, has turned hostile against him; he is going there, and will either pacify it or bring them down through battle. From there he will march to Ellipi against the son of Daltâ. 
Those who entreat ... 	those who enter ... 
Witness Immani-il, ... 	Witness Il-immi, ... 
... in ... ; ... 	Just as I saw, ... in ... 
As to what the king, my lord, wrote me: "The ... ean who ... 	As to what the king, my lord, wrote to me: "When are they going to cast the gate column-bases for the portico of the hilānu palaces?"
Written in the month Kislīmu, on the first day.	In the month Kislīmu, the fourth day, I marched to the land Ḫabḫu. I conquered the lands Bāzu, Sarbaliu, (and) Didualu together with the cities on the banks of the River Rūru of the land Meḫru. I brought forth their booty (and) possessions (and) brought (them) to my city Aššur.
... the moon is seen with the sun ... Subartu ... Subartu.	... the moon will be seen with the sun ... it will let the eclipse pass by.
... We are the goddesses	... are the gods, his fathers, seeing him.
Their nonexistence ... 	who in their presence ... 
To Sargon, king of the universe, my lord: Your servant Balassu. May Nabû and Marduk bless the king, my lord! Say to the king, my lord:	Your servant Bel-iqiša: I would gladly die for the king of the universe, my lord! May Nabû and Marduk bless the king, my lord! Say to the king, my lord:
from my servants ... 	As to what the king, my lord, said about Nabû-zeru-iddina: "When he ... before ... servants ... , he said to them ... 
I shall release ... to the god ... 	If above the 'increment' there is a 'request'-mark: the man will request ... from the god... 
... on the 5th day is surrounded by a halo and ... 	(If) the moon is surrounded by a halo, and ... the Pleiades stand in it ... 
Šišlu             	Marduk-bani-zeri             
Witness Aššur-ahhe-uṣur. Witness Libbalayu.	Witness ... -iqbi. Witness Aššur-ahu-uṣur. Witness Ibašši-ilani.
Witness Ahu-la-amašši, palace farmer from the town of Mera.	Witness Ahu-la-amašši, palace farmer. Witness Nabû-naṣir, also a palace farmer.
if the 'hand' of god ... is placed on him in extispicy, is it decreed and confirmed in a favorable case, by the command of your great divinity, Šamaš, great lord?	Is it decreed and confirmed in a favorable case, by the command of your great divinity, Šamaš, great lord? Will he who can see, see it? Will he who can hear, hear it?
(With regard to) Eanna, which Šulgi, a previous king, had had built and which had become old, and (with regard to) the shrine of the god Ningizzida, which Anam, an earlier king, had had constructed inside it, (with regard to) this temple, whose walls had buckled and whose bondings had disintegrated, whose parapet had collapsed and which had become unrecognizable, (and) whose reconstruction had not occurred to the kings, (his) predecessors,	(With regard to) Eanna, which Šulgi, a previous king, had had built and which had become old, (i 20) (with regard to) this temple, whose walls had buckled, whose bondings had disintegrated, <who>se parapet had become ruined, whose foundation had collapsed, (and) whose (re)construction had not occurred to (any of) the kings, (his) predecessors —
May one of the kings, my descendants, whom the god Aššur names to rule over the land and people, read my foundation inscription, (viii 10) anoint (it) with oil, make an offering, (and) return (it) to its place. The god Aššur will (then) hear his prayers.	In the future, may one of the kings, my descendants, whom the god Aššur names for shepherding the land and people, renovate its dilapidated section(s) when that palace becomes old and dilapidated. May he find an inscribed object bearing my name, anoint (it) with oil, make an offering, (and) return (it) to its place. The god Aššur will (then) hear his prayers.
To the king, my lord: your servant Ṭab-šar-Aššur: Good health to the king, my lord!	To the king, my lord: your servant NN. Good health to the king, my lord!
Fingernail of Kiqillanu, ... , owner of the people being sold.	Seal of Bel-aplu-iddina, chief singer of Til-Barsip, owner of the people being sold.
To the great crown prince, the son of the king of the whole world, my lord: your servant Adad-šumu-uṣur. Good health to the son of the king of all lands! May Aššur, Sin, Šamaš, Nabû and Marduk, and the great gods of heaven and earth very greatly bless the son of the king of all lands, my lord.	To the king, my lord: your servant Adad-šumu-uṣur. Good health  to the king, my lord! May Aššur, Sin, Šamaš, Nabû, Marduk and the great gods of heaven and earth very greatly bless the king, my lord!
Moreover, (as for) Hezekiah of the land Judah, who had not submitted to my yoke, I surrounded (and) conquered forty-six of his fortified cities, (iii 20) fortresses, and small(er) settlements in their environs, which were without number, by having ramps trodden down and battering rams brought up, the assault of foot soldiers, sapping, breaching, and siege engines. I brought out of them 200,150 people, young (and) old, male and female, (iii 25) horses, mules, donkeys, camels, oxen, and sheep and goats, which were without number, and I counted (them) as booty.	Moreover, (as for) Hezekiah of the land Judah, who had not submitted to my yoke, I surrounded (and) conquered forty-six of his fortified cities, fortresses, and small(er) settlements in their environs, which were without number, by having ramps trodden down and battering rams brought up, (iii 20) the assault of foot soldiers, sapping, breaching, and siege engines. I brought out of them 200,150 people, young (and) old, male and female, horses, mules, donkeys, camels, oxen, and sheep and goats, which were without number, and I counted (them) as booty.
Adda-kupa, 	ditto Adda-pada, ... 
in all, 4: the 'residences' of the Dikanaeans.	in all, x: the 'residences' beneath the Window.
... suati	... s to ... 
... fish, Aššur-šarru-uṣur,	Witness NN, chariot driver. Witness Aššur-šarru-uṣur.
Gadâ, ša šēpi guard;	Witness Issar-nadin-ahhe, ša šēpi guard.
If the sun stands in a halo of the moon: they will speak the truth in all lands; the son will speak the truth with his father.	If the moon is surrounded by a halo, and the sun stands in it: there will be truth in the land; the son will speak the truth with his father.
Lu-ahhe, his servant —	As to the orders which the king, my lord, gave me, (hereby) I am sending greetings to the king, my lord. May I hear about the health of the king, my lord, and may the king write me what the matter is, and encourage his servant.
Sennacherib, king of Assyria, built a house at the same time as the laying of the foundation(s) of Nineveh and gave (it) to Aššur-šumu-ušabši, his son.	Sennacherib, king of Assyria, built a house at the same time as the laying of the foundation(s) of Nineveh and gave (it) to his son.
... s of the king:	Perhaps the king will say: "Have they started a lawsuit against somebody?" By Bel, Nabû, (and) the gods of the king ... , I sent these words to the king, my lord, only today. May the lord of kings do as he deems best, and may Enlil, Šamaš and Marduk, the great gods, and the gods of Nippur and Babylon lengthen the days of the king, my lord.
To the king, my lord: your servant, Nabû-ašared. May Aššur and Ešarra bless the king.	To the king, my lord: your servant Nabû-naṣir. May Nabû and  Marduk bless the king, my lord!
1, chief treasurer;	Mušezib-ilu, deputy of the chief tracker;
... in(to) the presence	Concerning ... from Tabal and Que about whom they wrote to me  from the Palace - let Aššur, Bel (and) Nabû come into the presence of the king as soon as they lay their ... in Ṭurušpâ and their ... s from ... are visiting  the crown prince in Assyria.
Total, (in) the village of Bel-abu'a, near the town of Dumâ, in Kipani.	Total, in the village of Gurrabâ, near the town of Dur-Nabû.
Disregard that they (may) think about it, but turn back and go away... 	Disregard that they (may) think about it, but turn and ... 
... Ga... 	... — ... -ili
fifty men ... 	and to my men ... 
Witness Nabû-nadin-apli, scribe.	Witness Nabû-bel-šumati, scribe.
Witness Nabû-kabti-ahhešu, scribe, keeper of the tablet.	Witness Nabû-eṭir-napšati, scribe, keeper of the tablet.
... s, drainage pipes	Furiouly, I overwhelmed the region around that district like a fog and compacted the length and breadth (of it) like ice. In a lordly manner, I entered the city Ulḫu, the city where Ursâ (Rusâ) went for relaxation, and walked about triumphantly in the palace (that had been) his (own) royal abode. With iron axes and iron spades, I smashed its strong (city) wall, which had been built with (blocks of) massive mountain stone, as if (it were) a pot, and leveled (it) down to the ground. I tore out the lengthy beams of juniper (that formed) the roof of his palace, cut (them) up with pickaxes, and took (them back) to Assyria. I opened up his granaries (and) storehouses and (then) fed my army his abundant grain in unlimited quantities. (220) I entered his hidden wine cellars, and the extensive troops of the god Aššur drew sweet wine (to drink) from waterskins (and) leather buckets as if (it were) river water. I blocked up the outlet of the canal, the canal on which he relied (to provide water), and turned the abundant water (supply) into a swamp. I stopped up the irrigation ditches (and) drainage pipes that forked off from its (the canal’s) center, and exposed ... their pebbles to the sun. I had my fierce warriors enter his well-kept gardens, (which provide) the general impression of his city (and) which were (so) studded with fruit trees and grapevines that they dripped (fruit as abundantly) as a rainfall, and they (the warriors) made the noise of (their) iron pickaxes resound like (the thunder of) the god Adad. (225) They picked a great deal of its fruit, a countless amount, and did not leave (any) for the weary heart to smile about in the future. I (cut down and) spread out his large trees, the ornaments of his palace, like malt (spread out for drying); I made his famous city disgusting and its district a subject of revilement. I gathered up those logs — all the trees that I had chopped down —, piled (them) up in heaps, and set them on fire. I tore out by the roots their abundant crops, which are as countless as reeds in a canebrake, and did not leave even a (single) ear of barley to allow the identification of what had been destroyed. (With regard to) his well-kept field(s) that were spotted with colored flecks like polished lapis lazuli and (whose) meadowland(s) were planted with new vegetation and young shoots, (230) like the god Adad, I trampled (it) down with (my) chariotry, (my) cavalry, (and) the passage of my infantry, and I turned the meadows that his horses had relied on (for pasture) into wasteland. (With regard to) the city Sarduriḫurda, their large fortress, together with fifty-seven settlements in the environs of the district Sangibutu, I destroyed all of them, leveling (them) down to the ground. I set fire to their roof-beams and turned (them) into ashes.
Aššur-da''in-šarru, eunuch, (was) reporter.	Aššur-da''in-šarru, Dannaya, reporters.
The priest of Anu, the priest of Adad, the priest of DN, the priest of the Assyrian (Ištar), and the priest of Nabû ... in the rikshaw	The priest of Anu, the priest of Adad, the priest of Šarrat-nipha, the priest of the Assyrian Ištar, the priest of Nabû and Tašmetu, the priest of Kuruš-kadru, the priest of DN, the priest of DN, the priest of DN, the priest of DN. 
Whoever in the future ... 	Whoever in the future, at any time, breaks the contract, whether Sin-nadin-ahi or his sons or relatives, and seeks a lawsuit or litigation against Sin-šarru-uṣur and his sons, shall pay 10 minas of silver, 5 minas of gold, and four white horses to Sin residing in Harran, and shall return the silver tenfold to its owners. He shall contest in his lawsuit and not succeed.
... the kingship and Bel-ibni	... this kingship and dominion
... they are in Babylon	Concerning the laying of the gate(s) in Babylon,  about which the king, my lord, wrote to me, saying:  "Go lay it," it has been laid. The gate of the temple of Ea has been laid too,  and we will lay those of the perimeter of Esaggil and of ... 
... you did not cheat ... 	... shore of the sea ... did not have ... 
... attacked ... 	... red ... 
... their heart	... treaty with ... 
I know (that) the crown prince, my lord,	To the crown prince, my lord: your servant Ubru-Nabû, the scribe of the new palace. Good health to the crown prince, my lord! May Nabû and Marduk bless the crown prince, my lord.
17 shekels of silver belonging to Ištar of Arbela, belonging to Nabû-iqbi, at the disposal of Mutaqqin-Aššur, at the disposal of Aššur-reši-išši.	15 shekels of silver of Ištar of Arbela, belonging to Nur-Šamaš, at the disposal of Duri-Aššur, at the disposal of Arbailayu, at the disposal of Kur-ila'i, from the estate of Azhula.
1 pot stand, for the ritual;	Let them find out where the evil (portended by) the eclipse has materialized, and eradicate it. Somebody should go and perform (the rituals) in Nineveh.
The 8th of Nisan (I). 	(On the) 14th day of month of Nisan (I) he led the oxen away.
Witness Šulmu-šarri, witness Bel-Harran-ahu-uṣur,	Witness Tabalayu. Witness Bel-Harran-ahu-uṣur.
Month ... , 16th day, eponym year of Zababa-eriba.	Month ... , 23rd day, eponym year of Zazaya.
If (the moon) becomes visible on the 1st day: reliable speech; the land will become happy.	If the moon becomes visible on the 1st day: reliable speech, the land will become happy.
... of Milki-... 	Witness NN, ... of ... 
son of Bi-Dadi,	(As for) Uaiteʾ (Iautaʾ), son of Hazael, son of the brother of the father of Uaiteʾ, son of Bir-Dāda, who made himself king of the land of the Arabs — (viii 5)  (the god) Aššur, the king of the gods, the great mountain, deranged his mind and he (Iautaʾ) came before me. To show the praise of (the god) Aššur and the great gods, my lords, (viii 10) I imposed a heavy punishment upon him. I placed him in a neck-stock, bound him with a bear (and) a dog and (then) made him guard the Citadel Gate of Nineveh, (whose name is) the Entrance to the Place Where the World Is Controlled.
1 cooking pot of copper;	20 large cooking pots of copper, of two homers (capacity) each;
In the future, in days to come, may a later prince, when this wall becomes old and dilapidated, restore its weakened (portions). May he restore my inscribed name to its place. (Then) the god Aššur, the great lord, will listen to his prayers.	In the future may a later prince, when that wall becomes old and dilapidated, restore it. May he restore my inscribed name, my monumental inscriptions, and my clay inscriptions to their places. (Then) the god Aššur will listen to his prayers.
... the Kišites ... 	... his ... in the town of ... 
Remanni-Adad, chariot driver, has contracted and bought (said people) from these gentlemen for x minas of silver (by the mina) of Carchemish.	Aššur-šallim-ahhe has contracted and bought (said) threshing floor from these men for x minas of silver by the mina of Carchemish.
when help ... 	when ... 
If the moon rides a chariot in month Sililiti: the dominion of the king of Akkad will prosper, and he will capture his enemies.	If the moon rides a chariot in month Sililiti: the dominion of the king of Akkad will prosper, and his hand will capture his enemies. Sililiti is Shebat (XI).
... back ... 	... — ... -ili
Witness Sangû-Issar.	Witness Issar-nadin-ahhe, ša šēpi guard.
The deportees and the pack animals are well; the king, my lord, can be pleased.	To the king, my lord: your servant Il-yada'. Good health to the king, my lord! The land and the forts of the king my lord are well. The king, my lord, can be glad.
Witness Addî, chariot driver.	Witness NN, chariot driver.
from my presence ... 	... into the presence ... 
2 of carnelian ... ;	20 hectares of arable land ... 
I.e., it becomes visible on the 1st day.	If the moon becomes visible on the 1st day: reliable speech, the land will become happy.
Witness ... ṣu, eunuch ... 	Witness ... šu, ... horse trainer.
12 cavalry horses, ... 	Moreover, as for him (Ḫanūnu), the terrifying splendor of (the god) Aššur, my lord overwhelmed him and he flew (back) from Egypt like a bird and ... I returned him to his position. I considered his ... as an Assyrian emporium. I received gold, silver, multi-colored garments, linen garments, (15') large horses, ... 
... Borsippa  ... 	We did not ... the Borsippeans ... 
Witness Banî, scribe.	Witness Azi-il, scribe.
(and) of Susu'a, ... 	... of GN (and) of Sikris ... 
Concerning the wall about which ... 	Concerning the horses about which you wrote, even before you wrote I sent the treasurer Aššur-gimilli-terra with the army. Do whatever is opportune to do, be it to block the canal or to subjugate those people.
Ulaya: the guardian of its city.	The name of the great (inner) wall is: “Whose Brilliance Covers the Land.” The name of its outēr wall is: “Who Convulses the Regions.” The god Ulai is the guardian of his city (and) the god Kidudu is the guardian of his wall. The name of the Tabira Gate is: “Entrance for All Lands through the Strong Wall.”
Witness Nabû-balassu-iqbi, scribe, keeper of the document.	Witness Nabû-eṭir-napšati, scribe, keeper of the tablet.
... the king to me	I have sent ... to the king, my lord; the king may act as  it (best) suits the king, my lord.
