...𒅅𒀜𒋫𒍝𒀸𒁉𒀉	... ig at-ta-ṣa ina be₂-et 	I brought ... and gave ... where ... 
𒀸𒌷𒂦𒁹𒂗𒀭𒀀𒀀𒂊𒆗𒀀𒈾𒆪𒀸𒄊𒈫𒆳𒂊𒀸𒌷𒇻𒌒𒁕𒂗𒉣𒀀𒈾𒇡o𒀀𒁺𒂍𒉈𒂊𒈬𒊭𒆜𒈨𒌍𒀭𒉡𒋾𒉌𒌑𒈬𒌋𒉌𒄴𒄩𒊏𒈨𒈠𒄴𒄩𒊏𒈨𒈠𒂟𒌋𒌋𒈨𒌍𒂟𒌋𒌋𒈨𒌍𒀀𒉻𒋻	ina {URU}-BAD₃—{1}-EN—DINGIR-a.a e-kal a-na-ku ina GIR₃.2 KUR-e ina {URU}-lu-ub-da EN.NUN a-na-ṣar o a-du E₂ ṭe₃-e-mu ša {LU₂~v}-KASKAL-MEŠ an-nu-ti ni-šam-mu-u-ni ih—ha-ra-me-ma ih—ha-ra-me-ma {LU₂~v}-ERIM—MAN-MEŠ {LU₂~v}-ERIM—MAN-MEŠ a-paṭ-ṭar 	... is eating in Dur-Bel-ila'i; I am keeping watch in the piedmont, in Lubda, until we hear the news of these caravans. Thereafter I shall release the king's men.
𒋧𒀭𒁁𒈠𒆷𒆤𒌓𒆷𒋧𒉌𒊩𒀀𒁲𒊓𒌒𒋾𒃻	SUM-an BE-ma la kit-tu₂ la SUM-ni MI₂ a-di sa-ar₂-ti-ša₂ 	If indeed he does not pay, he shall give the woman and her fine.
𒉌𒅁𒂁𒈗𒌨𒁍𒁹𒊑𒈬𒌅𒁹𒃻𒈠𒄖𒉡𒀀𒈾𒉺𒉌𒉌𒇻𒌑𒌑𒋗𒊻𒍪	ni-ib-luṭ LUGAL liq-bu {1}-ri-mu-tu {1}-ša₂-ma-gu-nu a-na pa-ni-ni lu-u₂ u₂-šu-uz-zu 	May the king command that Remutu and Šamagunu be stationed in our presence.
𒁲𒈬𒀀𒈾𒌷𒁉𒋥𒅀...𒅀𒀲𒆳𒈨𒌍𒅀	DI-mu a-na {URU}-bi-rat-ia ... ia {ANŠE}-KUR-MEŠ-ia 	My forts, my ... (and) my horses are well.
𒀀𒈾𒉺𒉌𒋾𒆠𒄿𒀭𒉌𒄿𒅅𒄭𒁉𒅀𒈠𒀀𒌦𒈨𒌍𒅕𒊑𒊭𒀀𒄠𒈥𒀸𒉺𒉌𒅀𒀀𒉌𒈠𒀀𒁹𒂗𒆷𒀀𒆗𒆷𒈠𒀀𒃮𒁍𒌑𒊺𒂊𒍝𒀀𒈾𒈗𒁁𒉌𒐊𒀀𒆗𒀭	a-na pa-ni-ti ki-i an-ni-i iq-ṭi₂-bi-ia ma-a UN-MEŠ er-ri-ša-a am—mar ina pa-ni-ia-a-ni ma-a 01-en la a-kal-la ma-a gab-bu u₂-še-e-ṣa a-na LUGAL be-li₂-ia₂ a-dan {an} 	Earlier on he said to me as follows: "Should he ask for the people,  I will not hold back even a single one of those in my presence, but will set  free and give them all to the king, my lord."
𒄿𒃻𒋗𒈨𒄿𒃻𒋗𒈨...	i—ša₂-šu-me i—ša₂-šu-me ... 	Previously ... 
𒐈𒈠𒈾𒆬𒄀𒈾𒍝𒈠𒀀...	03 MA.NA KUG.GI na-ṣa ma-a ... 	brought three minas of gold, saying: ... 
𒁹𒀭𒂗𒆗𒀭...	{1}-{d}-EN—KALAG-an ... 	Bel-dan, ... ;
...𒊒𒀸𒋼𒃻𒅔𒁁𒌋𒅁𒂍𒁁...	... ŠUB—AŠ.TE GAR-in BE U eb-bet BE ... 	... The 'base of the throne' is present. The 'finger' is thick ... 
...𒄑𒍝𒍪...𒂊𒋗	... iz-za-zu ... e-šu 	... they stay ... his ... 
𒅆𒁹...𒈬𒆸𒉺𒈨𒌍𒈬𒆸𒉺𒈨𒌍...	IGI {1}-... {LU₂~v}-mu-kil—PA-MEŠ {LU₂~v}-mu-kil—PA-MEŠ ... 	Witness NN, chariot driver ... 
...𒉡𒌑𒊺𒊐	... nu u₂-še-rab 	... will bring in
𒂊𒋼𒁉𒊑...	e-te-bi-ri ... 	crossed over ... 
𒀀𒈾𒋗...	a-na ŠU ... 	into the charge of ... 
𒁹𒀭𒉺𒋧𒉽𒈨𒌍𒀸𒌋𒅗𒌉𒀀𒊓𒌓𒄿𒁕𒀀𒋾𒄿𒁕𒀀𒋾	{1}-{d}-PA—SUM—PAB-MEŠ ina UGU DUMU a-sa-par i—da-a-ti i—da-a-ti 	I sent Nabû-nadin-ahhe to my lord; afterwards ... 
𒉽𒐊𒁹𒈫𒈠𒈾𒈫𒂆	PAB 05 1:2 MA.NA 02 GIN₂ 	Total 5 1/2 minas 2 shekels... 
𒌑𒊓𒂵𒇷𒅀𒈠𒀀...	u₂-sa-ga-li-ia ma-a ... 	deported ... of
𒀭𒌉𒂍𒀀𒈾𒌋𒅗𒄭𒅗𒆠𒄿𒀾𒀪𒀀𒇻𒀀𒆗𒉡𒃻𒋗𒈝𒀀𒁲𒌓𒐉𒆚𒄑𒂟𒋫	{d}-DUMU—E₂ a-na UGU-hi-ka ki-i aš₂-ʾa-a-lu a-dan-nu ša₂ šu-lum a-di UD 04-KAM₂ iṣ-ṣab-ta 	When I enquired of Mar-Biti about you, he fixed the date of (your) well-being until the fourth day.
𒁹...𒊓𒀀𒌉𒋙o	{1}-... sa-a DUMU-šu₂ o 	... sâ, his son,
𒁹𒁹𒄥𒁲𒀸𒋩𒊮𒌷𒀀𒀀	01 {1}-qur-di—aš-šur ŠA₃.URU-a.a 	1 ditto, Qurdi-Aššur, of the Inner City;
𒁹𒀯𒀳𒁹𒀯𒄈𒋰𒋼𒉣𒀸𒍣𒆤𒄈𒋰𒁀𒍗𒂕𒋙𒌉𒋙𒀸𒋼𒉡𒁳𒁁𒌆𒆳𒌋𒌋𒉌𒆳𒂗𒌋𒌋𒈠𒌇𒅆𒆪𒂉𒆳𒉡𒄀𒈾𒄿𒀭𒌓𒀭𒈨𒌍𒃲𒈨𒌍𒁹𒆳	1 {MUL}-APIN ana {MUL}-GIR₂.TAB TE NUN ina zi-qit GIR₂.TAB BA.UŠ₂ EGIR-šu₂ DUMU-šu₂ AŠ.TE NU DIB-bat UMUŠ KUR MIN₃-ni KUR EN MIN₃-ma TUK-ši ku-dur₂ KUR NU GI.NA I.{d}-UTU DINGIR-MEŠ GAL-MEŠ ana KUR 	If the Plough star comes close to Scorpius: the ruler will die by a sting of a scorpion; after him his son will not take the throne; the mind of the land will change, the land will get another lord; the border of the land will not be stable; lamentation of the great gods over the land.
𒅆𒁹𒌋𒌋𒉡𒆠𒌋𒉌𒃮	IGI {1}-man-nu—ki—10 {LU₂~v}-I₃.DU₈ 	Witness Mannu-ki-Adad, porter.
...𒐍𒉌𒌓𒈨𒌍𒊭𒉌𒌓𒍝𒄢	... 08 NA₄-MEŠ ša {NA₄}-GUG 	8(+) carnelian stones;
𒋛𒀉𒊒𒊭𒁹𒀭𒊹𒆕𒀀𒌋𒌋𒆳𒀭𒊹𒆠𒃻𒆥𒅆𒅆𒆳𒉏𒈠𒆠	si-id-ru ša {m}-AN.ŠAR₂-DU₃-A MAN KUR AN.ŠAR₂ {KI} ša₂-kin BAD₅.BAD₅ {KUR}-ELAM.MA {KI} 	Battle line of Ashurbanipal, king of Assyria, the one who established the defeat of the land Elam.
𒈫𒆗𒆳𒂍𒋗𒉀𒂍𒋗𒉀	02 kal-lat E₂—TU₅ E₂—TU₅ 	2 pails for the bathroom;
𒂍𒊕𒅍...	E₂.SAG.IL₂ ... 	Esaggil ... front
...𒈪𒌝𒈠𒀀𒈾𒈗𒁁𒉌𒐊𒇻𒊺𒁉𒆷𒆠𒄿𒉈𒂊𒈠𒉺𒀭𒈗𒌌𒄿𒈤𒄯𒀀𒆠𒃻𒉺𒀭𒈗𒈤𒊒𒇻𒊺𒁉𒆷	... mi um-ma a-na LUGAL be-li₂-ia₂ lu-še-bi-la ki-i ṭe₃-e-ma pa-an LUGAL ul i-mah-har a-ki ša₂ pa-an LUGAL mah-ru lu-še-bi-la 	... saying, "Let me send (it) to the king, my lord. If my report is not convenient for the king, let me send what is agreeable to the king."
𒇻𒌋𒁲𒂊𒅅𒌑𒈠𒀀𒀀𒁀𒊭𒀜𒌑𒀀𒀀𒈾𒈠𒉌𒂊𒊭𒌋𒌆𒇷𒋬𒋗𒈫𒇽𒊕𒊒𒋼𒅁𒆠𒁺𒌋𒉌𒅇𒇽𒀀𒅆𒂟𒇽𒀀𒅆𒂟𒊭𒀜𒅀𒊭𒀸𒌋𒌆𒇷𒉺𒄣𒁺𒌋𒉌𒋡𒀭𒉌𒅖𒈬𒌋𒉌𒈠𒀀𒇽𒀀𒁀𒉺𒆠𒀉𒌋𒌆𒇻𒀉𒋫𒍮𒌨𒋫𒄠𒈨𒌋𒄴𒊑𒄣𒂍𒆬𒌓𒊭𒊑𒄴𒋼𒌋𒌆𒇷𒈗𒁁𒉌	lu-u de-e-iq u₂-ma-a {LU₂~v}-A.BA ša AD-u₂-a a-na ma-ne₂-e ša dul-li TA@v ŠU.2 {LU₂}-šak-ru-te ip-qi₂-du-u-ni u₃ {LU₂}-A—SIG₅ {LU₂}-A—SIG₅ ša AD-ia ša ina dul-li pa-qu-du-u-ni qa-an-ni iš-mu-u-ni ma-a {LU₂}-A.BA pa-qi₂-id dul-lu it-ta-ṣu ur-ta-am-me-u ih-tal-qu E₂ KUG.UD ša re-eh-te dul-li LUGAL be-li₂ 	Now, the scribe whom my father appointed to count the work done by the drunks, and the nobles of my father who were assigned to the work — the moment they heard that a scribe had been appointed, they quit the work and ran away. The king, my lord, did not give me a house (nor) silver for the rest of the work.
𒁹𒀴𒀭𒃽𒀀𒁲𒌦𒈨𒌍𒋙...	{1}-ARAD—{d}-GAŠAN a-di UN-MEŠ-šu₂ ... 	Urda-Belet and his people, ... ,
...𒍢𒃮𒁼𒌋𒅆𒀸𒁼𒂔𒌋𒉠𒄑𒆪𒃻𒈠𒆠𒋫𒅆	... ZE₂ DU₈ SUHUŠ U IGI ina SUHUŠ EDIN U MURUB₄ {GIŠ}-TUKUL GAR-ma KI.TA IGI 	... of the gall bladder is split and faces the base of the 'finger.' In the base of the middle surface of the 'finger' there is a 'weapon'-mark and it faces downward... 
𒁲𒅗𒄀𒉡𒌋𒀀𒈾𒀭𒀸𒋩𒌋𒀭𒈨𒌍𒃲𒈨𒌍...𒐋𒄘𒌦𒌋𒑆𒈠𒈾𒆬𒄀𒐈𒈨...𒁹𒅆𒐊𒈨𒐕𒌋𒌋𒐋𒌆𒋠𒃰...𒐌𒀲...𒌋𒌋𒐉𒄑𒆗𒁹𒈨𒐕𒌍𒑆𒋢...𒐏𒀲𒆳𒊏𒈨𒌍𒀴𒌋𒌋𒐉...𒌍𒅆𒐉𒈨𒌋𒐍𒇻𒀴𒈨𒌍𒌋...𒌋𒑆𒅆𒐈𒈨𒌋𒌋𒐈𒀲𒁹𒊺𒉽𒉽...𒌋𒌋𒁕𒀜𒌓𒁁𒇻𒋼𒐊𒆳𒋾𒌑𒈠...𒅆𒌓𒋾𒀭𒀸𒋩𒂗𒅀...𒄑𒈣...	SA₂.DUG₄ gi-nu-u a-na {d}-aš-šur u DINGIR.MEŠ GAL.MEŠ ... 6 GUN 19 MA.NA KU₃.GI 3 ME ... 1 LIM 5 ME 86 TUG₂ SIG₂ GADA ... 7 ANŠE ... 24 {GIŠ}-ESI 1 ME 99 {KUŠ}-... 40 ANŠE.KUR.RA.MEŠ NITA₂ 24 ... 30 LIM 4 ME 18 UDU.NITA₂.MEŠ 10+... 19 LIM 3 ME 23 ANŠE 1 {ŠE}-MUNU₄ ... man-da-at-tu₂ be-lu-te-ia₂ šat-ti-šam-ma ... ši-pir-ti {d}-aš-šur EN-ia ... {GIŠ}-MA₂ ... 	Sattukku (and) ginû offerings for the god Aššur and the great gods ... 6 talents, 19 minas of gold, 300 ... , 1,586 bolts of woven linen, ... +7 homers ... (ii' 15') ... +24 ebony, 199 leather ... +40 stallions, 24 ... , 30,418 sheep, 10+... 19,323 homers, (measured by) 1 seah, of malt, ... my lordly tribute, yearly ... the message of the god Aššur, my lord, ... boat ... 
𒌋𒌋𒐍𒁾𒈨𒌍𒌋𒂊𒄈𒀀𒋼𒌓𒀭𒀭𒁁	28 DUB-MEŠ 10 e-gir₂-a-te UD—AN—{d}-BE 	28 tablets, 10 one-column tablets, Enuma Anu Enlil,
𒋦𒆜...	SUHUR KASKAL ... 	adjoining the road ... 
𒋬𒊮𒁉𒌓𒈬𒀭𒉌𒄿𒌓𒁹𒆚𒃻𒌗𒀭𒉌𒂊𒌗...𒊭𒈬𒀭𒈾𒀭𒍑𒂗𒊮𒌓𒁹𒆚𒃻𒌗𒂊𒊑𒁉𒌗...𒊭𒈬𒀭𒈾𒀭𒍑𒋾𒂟𒈨𒌍𒀉𒆗𒈨𒃻𒁹𒌓𒈥𒄿𒋾𒌋𒌋𒆳𒉏𒈠𒆠𒀀𒈾𒆕𒌍𒄑𒆪𒉠𒌋𒀞𒌑𒍮𒌋𒉌𒋾𒁉𒅆𒄴𒁲𒃻𒅆𒌨𒁴𒀀𒈾𒈨𒈲𒆳𒀸𒋩𒆠𒇻𒌑𒀀𒈾𒂗𒆤𒆠𒁺𒌑𒈨𒌍𒉌	TA@v ŠA₃-bi UD-mu an-ni-i UD 01-KAM₂ ša₂ ITI an-ni-e {ITI}-... ša MU.AN.NA an-nit EN ŠA₃ UD 01-KAM₂ ša₂ ITI e-ri-bi {ITI}-... ša MU.AN.NA an-nit-ti ERIM-MEŠ A₂.KAL-ME ša₂ {1}-tam-mar-i-ti MAN {KUR}-NIM.MA {KI} a-na DU₃-eš {GIŠ}-TUKUL MURUB₄ u ME₃ u₂-ṣu-u-ni ti-bi ši-ih-ṭi ša₂ HUL-tim a-na mi₃-ṣir KUR—aš-šur {KI} lu-u₂ a-na EN.LIL₂ {KI} DU-u₂-MEŠ-ni 	From this day, the first day of this month, ... of this year, to the first day of the coming month, ... of this year, will the troops and army of Tammaritu, king of Elam, come forth to engage in battle and will they make a hostile incursion into Assyrian territory, or against Nippur?
...𒄑𒈿𒂵𒊑𒍝𒋼	... {GIŠ}-NA₂ ga-ri-ṣa-te 	x trays of cakes
𒅆𒁹𒄩𒊏𒌋𒌋	IGI {1}-ha-ra—U.U 	Witness Hara-Dadi, ditto.
𒀀𒆳𒈗𒀀𒈾𒁹𒀭𒂗𒋩𒅕𒁲𒈬𒀀𒀀𒅆𒊮𒁀𒅗𒇻𒄭𒂵𒅗	a-mat LUGAL a-na {1}-{d}-EN—ŠUR-ir DI-mu a.a-ši ŠA₃-ba-ka lu DUG₃.GA-ka 	The king's word to Bel-eṭir: I am well; you can be glad.
...𒊭𒆳𒆗𒁺𒄩...	... ša {KUR}-kal-du ha-... 	... of Chaldea ... 
𒌍𒀲𒆳𒊏𒈨𒌍𒆳𒆪𒊓𒀀𒀀𒊭𒌷𒌓𒋢𒀀	30 {ANŠE}-KUR.RA-MEŠ {KUR}-ku-sa-a-a ša {URU}-par-su-a 	30 Kushite horses from Parsua,
...𒄿𒈠𒄩𒄷𒉌𒌑𒇡𒊏𒊒𒌋𒉌𒉺𒄩𒀀𒍪𒋗𒌑𒇽𒉺𒄴𒄭𒍪𒀸𒊮𒄀𒁲𒈠𒀀𒋾𒀸𒊮𒅖𒆠𒍮𒊏𒀀𒊑𒌑𒇡𒊏𒅈	... i-ma-ha-hu-ni u₂-ṣar-ra-ru-u-ni pa-ha-a-zu šu-u₂ {LU₂}-pa-ah-hi-zu ina ŠA₃ gi-di-ma-a-ti ina ŠA₃ iš-ki ṣu-ra-a-ri u₂-ṣar-ra-ar 	The water which he mixes with ... and libates ... is insolence.(Only) an insolent person makes libations with ladles and testicles.
𒅆𒁹𒁕......𒊭𒌉𒌋𒌋𒌉𒌋𒌋	IGI {1}-da-... {LU₂~v}-... ša DUMU—MAN DUMU—MAN 	Witness Da... , ... of the crown prince.
𒋝𒋀𒋾...	sik-sis-ti ... 	the hem ... 
𒊩𒀭𒉺𒊏𒆳𒊩𒆳𒋙𒉡𒐈𒊒𒂅𒌅𒄫𒈠	{MI₂}-{d}-PA—ra-mat GEME₂-šu₂-nu 03 ru-ṭu tu-piš-ma 	Nabû-ramat, their servant of 3 spans —
...𒇻𒈠𒊍𒋛𒌓𒈨𒋙𒁍𒁕𒈨𒌍𒂗𒈾𒀀𒈾𒆪𒀴𒅗𒅗𒆷𒈬...𒀀𒀠𒋃𒆠𒄿𒁷𒌁𒆠𒂗𒈗𒈨𒌍𒅁𒁍𒋗𒆳𒌵𒆠...𒁷𒌁𒆠𒇷𒁍𒇻𒅇𒋗𒈬𒃻𒈗𒁁𒉌𒅀𒀸𒅆𒂟𒁴...	... lu-ma-as-si UD-me-šu₂ GID₂.DA-MEŠ en-na a-na-ku ARAD-ka ka-la-mu ... a al-lak ki-i TIN.TIR {KI} EN LUGAL-MEŠ ip-pu-šu KUR—URI {KI} ... TIN.TIR {KI} li-pu-lu u₃ šu-mu ša₂ LUGAL be-li₂-ia ina SIG₅-tim ... 	Now I, your servant, shall ... everything. I shall go to Nippur. If the lord of kings rebuilds Babylon, the land of Akkad in its entirety (and) the citizens of Babylon should reciprocate, so that the name of the king, my lord, will be mentioned graciously forever.
𒅆𒁹𒀀𒀀𒉌𒀪𒊑	IGI {1}-a.a—ni-iʾ-ri 	Witness Aya-niri.
𒀀𒃶𒉌𒀀𒆥𒀀𒆥...	a-kan-ni {LU₂~v}-A—KIN {LU₂~v}-A—KIN ... 	now the messenger ... 
𒅆𒁹𒀸𒋩𒌋𒌋𒉽𒃲𒆠𒈲𒃲𒆠𒈲𒌉𒁹𒉽𒁀𒊍𒋼	IGI {1}-aš-šur—MAN—PAB GAL—ki-ṣir GAL—ki-ṣir DUMU {1}-PAB—ba-as-te 	Witness Aššur-šarru-uṣur, cohort commander, son of Ahi-bašte.
𒁹...𒃼𒉌𒊺𒆷𒆷𒋼𒀾𒋻𒋾𒆍𒈨𒌍𒋙𒃻𒈫𒄘𒌦𒆬𒄀𒊓𒄀𒊒𒄿𒈾𒋗𒄣𒌌𒋾𒉺𒅁𒆪	1 ... qar-ni še-la-la-te aš₂-kut-ti KA₂.MEŠ-šu₂ ša₂ 2 GUN KU₃.GI sa-ge-ru i-na šu-qu-ul-ti šap-ku 	1 ... with horns ... the locking bar for his doors, which were cast from refined gold 2 talents in weight;
𒀀𒈾𒃲𒂍𒃲𒂍𒀀𒊓𒌓𒉡𒊌𒀉𒈫𒅗𒀸𒊮𒋙𒉡𒆷𒌅𒁄𒉡𒊌𒋗𒌒𒊒𒌋𒅗𒁹𒀀𒁉𒇷𒂊𒈠𒀀𒋫𒀀𒂟𒈨𒌍𒉌𒌅𒍝𒁉𒋫𒉡𒊌𒈪𒉡𒊭𒂊𒁄𒅗𒉌𒌒𒌓𒊒𒊏	a-na {LU₂~v}-GAL—E₂ {LU₂~v}-GAL—E₂ a-sa-par nu-uk A₂.2-ka ina ŠA₃-šu₂-nu la tu-bal nu-uk šu-up-ru UGU {1}-a-bi-le-e ma a-ta-a {LU₂~v}-ERIM-MEŠ-ni tu-ṣa-bi-ta nu-uk mi-nu ša e-pal-ka-ni ar₂-hiš šup-ra 	I wrote to the major-domo: "Don't try to take them by force. (Instead) write to Abilê: 'Why have you seized our men?' and quickly write me what he replies."
...𒄿𒈥𒊏𒀀𒌓𒈬...	... i-mar-ra-a UD-mu ... 	... will he see ... ? The day ... 
𒅗𒋃𒋫𒌓𒁲𒃻𒆳𒈾𒄿𒊑𒀀𒁲𒀀𒀊𒁀𒃻𒁲𒀭𒌑𒊺𒋗𒅅𒋙𒁺	ka-šid TA tam-di ša₂ {KUR}-na-i-ri a-di A.AB.BA ša₂ SILIM {d}-šam-še ŠU ik-šu₂-du 	Conqueror from the sea of the land Nairi to the western sea; he conquered.
𒌗𒃶𒌓𒌋𒌋𒐋𒆚𒅆𒈬𒁹𒂗𒆗𒀭𒃻𒆳𒃻𒆳𒌷𒆗𒄭𒀸𒈫𒂊𒁍𒊑𒋙	{ITI}-GAN UD 26-KAM₂ lim-mu {1}-EN—KALAG-an {LU₂~v}-GAR.KUR {LU₂~v}-GAR.KUR {URU}-kal-hi ina 02-e pu-ri-šu₂ 	Month Kislev (IX), 26th day, eponym year of Bel-dan, governor of Calah, during his second term.
...𒈬𒂊𒆷𒅋𒋃𒈠𒀀𒆠𒄿𒋢𒄭...𒉌𒈠𒀀𒉠𒈨𒌍𒊭𒌷𒈨𒌍𒉌𒋙𒃮𒁍𒈠...𒉌𒈨𒌍𒊭𒌦𒈨𒌍𒀀𒈨𒌍𒅔𒋫𒋛𒀪...	... mu-e la il-lak ma-a ki-i su-hi-... ni ma-a MURUB₄-MEŠ ša URU-MEŠ-ni-šu₂ gab-bu ma ... ni-MEŠ ša UN-MEŠ A-MEŠ in-ta-si-ʾu ... 	When ... , the centres of all his cities ... They washed the faces of the people with water ... 
𒊭𒈬𒊬𒌑𒅆𒋛𒀀𒈬𒅀𒌋𒋗𒈨𒀜𒀜𒆕𒅀𒅁𒁀𒌅𒀸𒊩𒈠𒅆𒌓𒉌𒆸𒋾𒌑𒄬𒆷𒄣𒀉𒋾𒈬𒊬𒂊𒅆𒋛𒀀𒈬𒋙𒆷𒄿𒊕𒅗𒉡𒀭𒈨𒌍𒃲𒈨𒌍𒃻𒀭𒂊𒌋𒆠𒁴𒈗𒊻𒋢𒇺𒆠𒁍𒈬𒋙𒆰𒋙𒀸𒆳𒇻𒄬𒇷𒄣	ša MU.SAR-u₂ ši-ṭir MU-ia u šu-me AD AD DU₃-ia ib-ba-tu ina mim-ma ši-pir ni-kil-ti u₂-hal-la-qu it-ti MU.SAR-e ši-ṭir MU-šu₂ la i-šak-ka-nu DINGIR.MEŠ GAL.MEŠ ša₂ AN-e u KI-tim LUGAL-us-su lis-ki-pu MU-šu₂ NUMUN-šu₂ ina KUR lu-hal-li-qu 	(As for) the one who destroys an inscribed object bearing my name or the name of the father of the father who had engendered me, makes (it) disappear by some crafty device, (or) does not place (it) with an inscribed object bearing his name, may the great gods of heaven and netherworld overthrow his kingship (and) make his name (and) seed disappear from the land.
𒀸𒌋𒈫𒁄𒈨𒌍𒅀𒋫𒌷𒉌𒉡𒀀𒀜𒌅𒈲𒌋𒋙𒀀𒇉𒀀𒋥𒂊𒄵𒀀𒈾𒆳𒉺𒋡𒊏𒄷𒁍𒉌𒀀𒌨𒌦𒈨𒌍𒅅𒁺𒊒𒆳𒌑𒈥𒍮𒄑𒁀𒌅𒆳𒌑𒁀𒈾𒀜𒆳𒂊𒀀𒋛𒁉𒀝𒋫𒆳𒄤𒈨𒌍𒋙𒉡𒀀𒂁𒊩𒆷𒋢𒉡𒃻𒋗𒋙𒉡𒋫𒆠𒆗𒆳𒂊𒌑𒊺𒊑𒁕	ina 12 BALA.MEŠ-ia TA {URU}-ni-nu-a at-tu-muš 10-šu₂ {ID₂}-A.RAD e-bir a-na {KUR}-pa-qa-ra-hu-bu-ni a-lik UN.MEŠ ig-du-ru KUR-u₂ mar-ṣu iṣ-ba-tu {KUR}-u₂-ba-na-at KUR-e a-si-bi ak-ta-šad GAZ.MEŠ-šu₂-nu a-duk šal-la-su-nu NIG₂.ŠU-šu₂-nu TA qe₂-reb KUR-e u₂-še-ri-da 	In my twelfth regnal year I moved out from Nineveh (and) crossed the Euphrates for the tenth time. I marched to the land Paqaraḫubunu, (where) the people became frightened (and) took to a rugged mountain. I besieged (and) captured the mountain peak. I massacred them (and) (iii 20) brought plunder and possessions of theirs down from the mountain.
𒂊𒉡𒈠𒂍...𒂍𒀭𒌍𒂍𒀭𒊩𒌆𒃲𒂍𒀭𒌓𒂍𒀭𒀀𒀀...𒂍𒀭𒃽𒀏𒆠𒃽𒊏𒁉𒋾...𒊭𒁹𒀸𒋩𒉽𒀀𒌋𒌋𒆳𒀸𒋩𒆠𒌉𒁹𒆪𒋾𒀭𒈦𒌋𒌋𒆳𒀸𒋩𒆠...𒂊𒁍𒋙𒂍𒈨𒌍𒃻𒋾𒈾𒆷𒁀𒊕𒌓𒈨...	e-nu-ma E₂ ... E₂ {d}-30 E₂ {d}-NIN.GAL E₂ {d}-UTU E₂ {d}-a-a ... E₂ {d}-GAŠAN-NINA {KI} GAŠAN ra-bi-ti ... ša {m}-aš-šur-PAP-A MAN KUR aš-šur {KI} DUMU {m}-tukul-ti-{d}-MAŠ MAN KUR aš-šur {KI} ... e-pu-šu₂ E₂.MEŠ ša₂-ti-na la-ba-riš u₄-me ... 	At that time, the temple of ... , the temple of the god Sîn, the temple of the goddess Ningal, the temple of the god Šamaš, the temple of the goddess Aya, ... , (rev. 5') the temple of the goddess the Lady of Nineveh, the great lady, (... ) which Ashurnasirpal (II), king of Assyria, son of Tukultī-Ninurta (II), king of Assyria, ... had built — with the passage of time those temples ... 
𒁹𒊓𒋻𒉺𒉡𒊭𒆳𒁀𒊑𒅗𒀀𒉡	{m}-sa-tar-pa-nu ša {KUR}-ba-ri-ka-a-nu 	Satarpānu of the land Barikānu,
...𒇽𒀳𒇻𒆷𒄿𒁄𒈛	... {LU₂}-ENGAR lu la i-pal-lah₃ 	The 'farmer' should not be afraid of it.
...𒈗𒁁𒉌𒅀𒄿𒈾𒂍𒇽𒊕𒉡	... LUGAL be-li₂-ia i-na E₂ {LU₂}-šak-nu 	... of the king, my lord, in the house of the prefect
𒁹𒊏𒀪𒌑𒀀𒉡𒌉𒉽𒋙𒌉𒉽𒋙𒊭𒁹𒂗𒀸𒌷𒈾𒄀𒀀𒋫𒀀𒀀𒄿𒊑𒅗𒅅𒄭𒁉𒀀	{1}-ra-ʾi-u₂-a-nu DUMU—PAB-šu₂ DUMU—PAB-šu₂ ša {1}-EN—AŠ {URU}-na-gi-a-ta-a.a i-tal-ka iq-ṭi₂-bi-a 	Ra'iwanu, the nephew of Bel-iddina from Nagiati has come and told me (this):
𒁁𒊮𒆸𒆸𒌋𒐉𒊮𒁉𒇻𒀴𒃻𒅆𒂕𒋾	BE ŠA₃.NIGIN 14 ŠA₃-bi UDU.NITA₂ ša₂-lim EGIR-ti 	The coils of the colon are 14 in number. The heart of the ram is normal. Second extispicy... 
𒉿𒂡𒋙𒁹𒌍𒀸𒌗𒋗𒌓𒌋𒐉𒆚𒆠𒀭𒌓𒉡𒅆𒅕𒈗𒀸𒂍𒃲𒋙	pi-šir₃-šu₂ 1 30 ina {ITI}-ŠU UD 14-KAM₂ KI {d}-UTU NU IGI-ir LUGAL ina E₂.GAL-šu₂ 	If the moon is not seen with the sun on the 14th of Tammuz (IV): the king will be shut up in his palace.
...𒌑𒉈𒋙𒉡𒋾𒈠...𒀸𒍢𒂊𒊑𒌑𒊺𒈨𒋙𒉡𒋾	... u₂-bil-šu₂-nu-ti-ma ... ina ṣe-e-ri u₂-še-šib-šu₂-nu-ti 	... he took them and ... settled them in the steppe.
𒃻𒊩𒈠𒈾𒋻𒌅...	ša₂ mim-ma na-kut-tu ... 	of any critical situation ... 
...𒇽𒌝𒈠𒉌...𒆳...	... {LU₂}-um-ma-ni ... kur ... 	... the scholars ... 
𒉌𒌓𒈩𒁹𒀭𒂗...	{NA₄}-KIŠIB {1}-{d}-EN—... 	seal of Bel-... ,
𒅆𒁹𒉽𒌋𒀀𒋢𒁳𒉺𒈨𒌍𒁳𒉺𒈨𒌍	IGI {1}-PAB-u-a—SU DIB—PA-MEŠ DIB—PA-MEŠ 	Witness Ahû'a-eriba, chariot driver.
