I brought ... and gave ... where ... 	... and shall send ... 
Bel-sharrani,	Bel-Harran-belu-usur
I heard of this and sent word to Bel-iqbi; he came and we went together to meet the booty. He saw us, ambushed us from behind, and we had a fight. 1,500 booty sheep from the city of Huzaza, 1,500 sheep ... city of ... , ... 2 men ... men ... 	I heard of this and sent word to Bel-iqbi; he came and we went together to meet the booty. He saw us, ambushed us from behind, and we had a fight. 1,500 booty sheep from the city of Huzaza, 1,500 sheep ... city of ... , ... 100 men ... men ... 
10 ditto, in the inner precinct;	1 ditto of grapes;
When I had seized ... 	... and shall send ... 
the interior of the land Nirbu. I brought within the boundaries of my land (the territory stretching) from the passes of Mount Kirruru to the land Gilzānu, from the opposite bank of the Lower Zab to the city Tīl-Bāri which is upstream from the land Zaban, from the city Tīl-ša-Abtāni to the city Tīl-ša-Zabdāni,	from the source of the River Subnat to the passes of Mount Habruru (and) to the land Gilzānu, from the opposite bank of the Lower Zab to the city Tīl-Bāri which is upstream from
Concerning what my lord wrote to me: "... and be confident until we come, and fear the king!" — by your gods, I am very confident.	Concerning the guard about whom the king, my lord, wrote to me, whom the servants of the king my lord have hired, he will depart tomorrow.
If Jupiter becomes visible in Tishri (VII): enemy kings will receive peace.	If the moon becomes visible on the 1st day: reliable speech, the land will become happy.
If a planet affects the stars of the sky: the king will finish all lands. — Mars becomes bright and affects the stars.	If Jupiter becomes visible in the path of the Anu stars: there will be a flood, and the harvest of the land will prosper.
... ; NN, ... telû, in all 2 ... , ... 	... his ... in the town of ... 
... his eyes ... he blessed.	... s to ... 
... watch	... we captured
Now then I am writing to you: Send me Nabû-bel-šumati and his accomplices, and I will promptly send you your gods and make peace.	Now then I am writing to you: be attentive, considering that since life has become narrow for him, he is seeking ways to get out and escape.
To Nabû-duri-uṣur, my lord: your servant Rimutte. Good health to my lord!	To the king, my lord: your servant NN. Good health to the king, my lord!
mutually ... 	4 minas ... ;
Disregard that treachery ... 	Disregard that an unclean person has performed extispicy in this place... 
Whoever in the future breaks the contract, whether Remanni-ilu or his ... or any relative of his, and seeks a lawsuit or litigation against Inurta-ila'i, shall pay one mina of refined silver and x minas of pure gold to the god ... residing in ... 	Whoever in the future, at any time, breaks the contract, whether Sin-nadin-ahi or his sons or relatives, and seeks a lawsuit or litigation against Sin-šarru-uṣur and his sons, shall pay 10 minas of silver, 5 minas of gold, and four white horses to Sin residing in Harran, and shall return the silver tenfold to its owners. He shall contest in his lawsuit and not succeed.
For the god Marduk, his lord: Ashurbanipal, king of the world (and) king of Assyria, for the sake of his life had baked bricks made anew for Etemenanki.	Seal of Ashurbanipal, king of the world, king of Assyria, son of Esarhaddon, king of Assyria, son of Sennacherib, (who was) also king of Assyria. 
Tablet of Nabû-šallimšunu, the chief royal scribe, chief tablet-writer (and) scholar of Sargon (II) king of Assyria, (and) son of Ḫarmakki, the royal scribe, an Assyrian.	Seal of Ashurbanipal, king of the world, king of Assyria, son of Esarhaddon, king of Assyria, son of Sennacherib, (who was) also king of Assyria. 
... does not know him ... 	... whom the king ... 
... servants of the king, my lord, both Assyrians and Tabaleans who have been sold here for money — (even) those who brought (only) 4 or 5 shekels have been sold —	Concerning the Arameans of whom the king, my lord, wrote, there are among them Arameans, who came from Uruk. They are now on the shore of the channel of Merodach-Baladan.
shall place ... in the lap of Ištar residing in Nineveh, and shall return the money tenfold to its owners.	shall place 10 minas of refined silver (and) x minas of pure gold in the lap of Ninurta residing in Calah, and shall return the money tenfold to its owners. He shall contest in his lawsuit and not succeed.
... the governor of Arrapha to the city of ... 	... ditto, ditto, the front red, of the port; 4 ... ;
My brother Bel-apla-iddin	Bel-hutu, the son of Bel-iddina
... When the designers ... my names	... whom the king ... 
Now I am gathering troops in Meturna, as the king, my lord, wrote to me. I am waiting for the messenger of the king, my lord.	To the king, my lord: your servant NN. Good health to the king, my lord!
1 basket of silver;	1 bedspread of ... ;
Issar-na'id, ... ;	4 minas ... ;
... who against the house of Daltâ	adjoining the house of Ṣil-Nabû,
Now I have ... ed the royal bodyguard ... who came	... to the bodyguard and to ... 
ask ... 	Witness ... 
As to the bought slave concerning whom the king, my lord, wrote me, he has now turned up in the domain of his servant, and I am sending the ... s to the king, my lord.	Concerning the people of Barik-il about whom the king, my lord, wrote to me, now then Nabû-šallim of Larak has seized 53 souls and given them to Umadi, the bodyguard of the crown prince.
This year the waters have increased and risen up to the wall of Ezida. There are oblates of Išum available; if it pleases the king, my lord, let them glaze kiln-fired bricks and brick up the quay-wall of Ezida and let me put the inscription of the king, my lord, therein. They should cut the waters off.	Der is situated on the border of another country. If it pleases the king, my lord, let a bodyguard and an Assyrian master-builder go and live there. Let them perform the work on the temple and establish the name of the king, my lord, forever. The king, my lord, should not neglect the guard of the temple.
Those who entreat ... 	... whom the king ... 
1 duck;	... ducks;
The treaty of Sin-šarru-iškun, king of Assyria, son of Assurbanipal,  king of Assyria, with Nabû-apla-iddina ... , with Ṭebetaya ... ,  (and) with Aqri  ... in the presence of Jupiter, Venus ... 	Palace of Shalmaneser, king of the universe, king of Assyria, son of Ashurnasirpal (II), king of the universe, king of Assyria, son of Tukultī-Ninurta (II), (who was) also king of the universe and king of Assyria: ... stone ... 
Witness Immani-il, ... 	Witness ... 
(... ) should ask the elders of his land: “Is it true that Šamaš-rēša-uṣur, 	... x hundred and ten hectares of field in the town of Za... , 
... in ... ; ... 	4 minas ... ;
Perhaps my lord will say: "Why didn't the bodyguard proceed here in  advance?" He is helping him across the river, thereupon he will proceed here.	Perhaps the king, my lord, will say: "What is the news of the king of Elam?" The king of Elam is in the mountain, in the town Burati. He has not set out, he is still there.
As to what the king, my lord, wrote me: "The ... ean who ... 	... Aššur to the king, my lord ... 
... the ... s of the district ... not on ... , because it is not old.	... the kings, my descendants, ... the people ... the great gods ... 
I ask you, Šamaš, great lord, whether the army of Esarhaddon, king of Assyria, should go to conquer Dur-Illil, a fortress which is located on the border of Mannea, and whether that city, Dur-Illil, will be delivered to them.	I ask you, Šamaš, great lord, whether Šamaš-šumu-ukin, son of Esarhaddon, king of Assyria, should within this year seize the hand of the great lord, Marduk, in the Inner City, and lead Bel (to Babylon),
me ... 	Witness ... 
Written in the month Kislīmu, on the first day.	... ditto, ditto, the front red, of the port; 4 ... ;
... the moon is seen with the sun ... Subartu ... Subartu.	If the moon is seen at an inappropriate time: dispersal of a city.
... We are the goddesses	... we captured
he said ... 	Witness ... 
At present I am continuously performing the ritual; and I have the (items for the) king's funeral burning collected in a storehouse in the Inner City.	If there is continually fog in the land: the dynasty of the king of the land will rule the world.
Their nonexistence ... 	Witness ... 
From the men at my disposal, 135 had died.	If the moon is seen at an inappropriate time: dispersal of a city.
... hewn ... s, (and) the bull colossus	... his ... in the town of ... 
... Šamaš	... Arbela
To Sargon, king of the universe, my lord: Your servant Balassu. May Nabû and Marduk bless the king, my lord! Say to the king, my lord:	To the king, my lord: your servant NN. Good health to the king, my lord!
from my servants ... 	4 minas ... ;
We will do everything that Assurbanipal, king of Assyria, our lord, tells us (to do) according to his command; when Assurbanipal, king of Assyria, our lord, goes against his enemy, we will muster our bowmen and stand with Assurbanipal, king of Assyria, our lord, make battle against his foes, overwhelm, as is our fervent desire, his enemy, and make our name good in the eyes of Assurbanipal, king of Assyria, our lord.	If you should sin against this treaty which Esarhaddon, king of Assyria, your lord, has concluded with you concerning Assurbanipal, the great crown prince designate, (and concerning) his brothers, sons by the same mother as Assurbanipal, the great crown prince designate, and the rest of the offspring of Esarhaddon, king of Assyria, your lord,
I shall release ... to the god ... 	... whom the king ... 
... on the 5th day is surrounded by a halo and ... 	... and shall send ... 
Šišlu             	Marduk-bani-zeri             
the face of Ištar ... passes ... Ištar,	the names of the kings and ... officials 
Witness Aššur-ahhe-uṣur. Witness Libbalayu.	Witness Ahû'a-eriba. Witness Šamaš-nammir, merchant.
Witness Ahu-la-amašši, palace farmer from the town of Mera.	Witness Ubru-Nabû, palace manager.
The money is paid completely. That house is purchased and acquired.	The money is paid completely. Those fields, houses and people are purchased and acquired. Any revocation, lawsuit, or litigation is void.
I have right now sent the master-builders to the king, my lord. Perhaps the magnates will say in the Palace: "... 	If the left of the gall bladder is attached: your expeditionary force will slay the enemy.
if the 'hand' of god ... is placed on him in extispicy, is it decreed and confirmed in a favorable case, by the command of your great divinity, Šamaš, great lord?	Is the killing, plundering (or) looting of Ša-Nabû-šû, chief eunuch of Esarhaddon, king of Assyria, who is on a mission in Egypt, decreed and confirmed in accordance with the command of your great divinity, Šamaš, great lord? Will he who can see, see it? Will he who can hear, hear it?
(With regard to) Eanna, which Šulgi, a previous king, had had built and which had become old, and (with regard to) the shrine of the god Ningizzida, which Anam, an earlier king, had had constructed inside it, (with regard to) this temple, whose walls had buckled and whose bondings had disintegrated, whose parapet had collapsed and which had become unrecognizable, (and) whose reconstruction had not occurred to the kings, (his) predecessors,	(With regard to) Eanna, which Šulgi, a previous king, had had built and which had become old, (i 20) (with regard to) this temple, whose walls had buckled, whose bondings had disintegrated, <who>se parapet had become ruined, whose foundation had collapsed, (and) whose (re)construction had not occurred to (any of) the kings, (his) predecessors —
All those who initially committed a crime have been forgiven by the king. (As to) all the libels that have been uttered against me in the palace, I am not guilty of any of them. Now, should there be a misdemeanour of mine, let my lord speak for me to the king so that he will forgive me and I can come and kiss the feet of the king and of my lord.	Let an order be given to the palace-overseers: when the elders pass by beneath the terrace, let them allow me to see the face of the king, my lord,  and may the king look at me. Let them constantly send me word on the health of the king, my lord.
I towed the boats and went a day’s march below Cutha.	He has taken it as a loan.
Ereš-... 	when ... 
May one of the kings, my descendants, whom the god Aššur names to rule over the land and people, read my foundation inscription, (viii 10) anoint (it) with oil, make an offering, (and) return (it) to its place. The god Aššur will (then) hear his prayers.	May any future ruler, whom (the god) Aššur names for shepherding the land and people (and) during whose reign that temple becomes dilapidated, (25) renovate its dilapidated section(s). May he find (this) inscribed object, anoint (it) with oil, make an offering, (and) put (it back) in its place. (The god) Aššur and the goddess Ištar will (then) hear his prayers.
The chief cook wrote to me concerning the town ... , saying: "They have  chased away the delegate ... 	The king, your father, said to Rimutu ... : "The governor ... died according to his fate ... "
To the king, my lord: your servant Ṭab-šar-Aššur: Good health to the king, my lord!	To the king, my lord: your servant NN. Good health to the king, my lord!
Fingernail of Kiqillanu, ... , owner of the people being sold.	Seal of ... , owner of the ... being sold.
cattle ... 	Witness ... 
To the great crown prince, the son of the king of the whole world, my lord: your servant Adad-šumu-uṣur. Good health to the son of the king of all lands! May Aššur, Sin, Šamaš, Nabû and Marduk, and the great gods of heaven and earth very greatly bless the son of the king of all lands, my lord.	Perhaps the king will say: "Have they started a lawsuit against somebody?" By Bel, Nabû, (and) the gods of the king ... , I sent these words to the king, my lord, only today. May the lord of kings do as he deems best, and may Enlil, Šamaš and Marduk, the great gods, and the gods of Nippur and Babylon lengthen the days of the king, my lord.
Moreover, (as for) Hezekiah of the land Judah, who had not submitted to my yoke, I surrounded (and) conquered forty-six of his fortified cities, (iii 20) fortresses, and small(er) settlements in their environs, which were without number, by having ramps trodden down and battering rams brought up, the assault of foot soldiers, sapping, breaching, and siege engines. I brought out of them 200,150 people, young (and) old, male and female, (iii 25) horses, mules, donkeys, camels, oxen, and sheep and goats, which were without number, and I counted (them) as booty.	Moreover, (as for) Hezekiah of the land Judah, who had not submitted to my yoke, I surrounded (and) conquered forty-six of his fortified cities, fortresses, and small(er) settlements in their environs, which were without number, by having ramps trodden down and battering rams brought up, (iii 20) the assault of foot soldiers, sapping, breaching, and siege engines. I brought out of them 200,150 people, young (and) old, male and female, horses, mules, donkeys, camels, oxen, and sheep and goats, which were without number, and I counted (them) as booty.
Adda-kupa, 	Adad-mushammer,
in all, 4: the 'residences' of the Dikanaeans.	in the presence of Nabû-ballussu-iqbi,
... suati	... we captured
Bel-le'i and about 90 mares of Mušeṣi are eating in the  presence of Aššur-da''inanni. I did not see him and his son is  (not) coming either.	We shall buy the horses and bring them. The mule express of Aššur-da''inanni should alert the equipment of the Arzuhinaeans.
Desire, desire, love, seek ... !	... wherever he goes ... 
witness ... 	Witness ... 
... fish, Aššur-šarru-uṣur,	... of Dur-Šarrukku ... 
Gadâ, ša šēpi guard;	Witness Issar-nadin-ahhe, ša šēpi guard.
Month of Šakināte, twenty-eighth day, eponymy Iaḫalu, the chief administrator (mašennu).	Month ... , 30th day, eponym year of Metunu.
... that I had conquered with the help of the god Aššur, my lord, ... (5') ... the armory, which is in Kalḫu, ... — I made (it) greater than before... the previous kings, my ancestors, for the son ... a bīt-ḫilāni, a place for his leisure ... the sides of that building ... I incorporated unused land as an addition ... of the city ... 	At that time, by means of the prisoners from the lands that I had conquered with the help of the god Aššur, my lord, the arsenal, which was in Kalḫu, that Shalmaneser (III), king of Assyria, son of Ashurnasirpal (II), a ruler who came before me, had built, had no terrace and its site had become too small.
If the sun stands in a halo of the moon: they will speak the truth in all lands; the son will speak the truth with his father.	If the moon and sun are in balance: reliable speech will be placed in the mouth of people; ... ; i.e. on the 14th day (the moon) will be seen with the sun.
Lu-ahhe, his servant —	NN, his servant,
Sennacherib, king of Assyria, built a house at the same time as the laying of the foundation(s) of Nineveh and gave (it) to Aššur-šumu-ušabši, his son.	Palace of Sennacherib, king of Assyria: (This is) the audience gift that Karib-il, king of the land Saba, presented to me. Whoever places (it) in the service of a god (or another) person ... 
... s of the king:	... whom the king ... 
To the king, my lord: your servant, Nabû-ašared. May Aššur and Ešarra bless the king.	To the king, my lord: your servant NN. Good health to the king, my lord!
1, chief treasurer;	... , farmer;
At that time I controlled (as) with a bridle the land of the Papḫu, the lands Katmuḫu, Buššu, Mummu, Alzu, Madanu, Niḫanu, Alaia, Tepurzu, Purulumzu (and) the entire extensive land of the Šubaru. I subdued at my feet the kings, their leaders, and imposed (upon them) corvée. With my surpassingly strong might I frequently traversed impassable rocky mountains the paths of which no other king knew. Forty kings of the lands Nairi fiercely took up a position for armed conflict. I fought with them (and) brought about their defeat. I caused their blood to flow into the caves and ravines of the mountains. (Thus) I became lord of all their lands and levied upon them tribute and impost forever.	At the beginning of my sovereignty (lit. at the beginning of the throne of my sovereignty), at the beginning of my reign, I uprooted 28,800 Hittite people from Syria (lit. “Beyond the Euphrates”) and led (them) into my land... I conquered the lands of the Papḫu (and) Uqumanu as far as the lands Šarnida (and) Meḫru. Annually I regularly received the tribute of their lands and the produce of their mountains. (As) with a bridle I controlled the lands Katmuḫu, Buššu, Alzu, Madanu, Niḫanu, Alaia, Tepurzu, Purulumzu, (and) the entire land of the extensive Šubaru. I subdued at my feet the kings, their leaders, and imposed (upon them) corvée. With my surpassingly strong might I frequently traversed mighty mountains (and) extremely difficult ranges, the paths of which no other king knew. I cut into their mountains with copper picks (and) widened their impassable paths. I did battle with forty kings of the lands Nairi (and) brought about the defeat of their army. (Thus) I became lord of all their lands. I fastened bronze clasps to the necks of those same kings of the lands Nairi (and) brought them to Ekur, the great mountain, the temple of my support, into the presence of the god Aššur, my lord. I made them swear by the great gods of heaven (and) underworld (and) levied upon them tribute and impost forever.
... in(to) the presence	... they removed again
When I wrote to the king, saying, "Cancer stands in the halo of the moon," ... did not deliver my letter to the king, but they took it, erased the omen without ... , and concealed from the king the portent that had come.	If the sun stands in the halo of the moon: in all lands (people) will speak the truth; the son will speak the truth with his father.
... he is	... we captured
Total, (in) the village of Bel-abu'a, near the town of Dumâ, in Kipani.	7,000 stalks of vine. Total, (in) the town of Aku'anu near the city of Harran.
2 'litres' of small bread loaves, 4 thick bread loaves.	3 litres of bread, 2 litres per day,
What is this? It should be cleared up! If there is anything left of it, let them send it to me, and I will make it double at once. Within ... has not sent ... as to where it would be.	 he should come; if there are any, we should trim them and lay them aside. Their water should be drawn out so that we can lift them for our use.
Disregard that they (may) think about it, but turn back and go away... 	Disregard what they speak with (their) mouths, or what they think... 
... Ga... 	4 minas ... ;
fifty men ... 	Witness ... 
Witness Nabû-nadin-apli, scribe.	Witness Azi-il, scribe.
Witness Nabû-kabti-ahhešu, scribe, keeper of the tablet.	Witness Issar-nadin-ahhe, ša šēpi guard.
... s, drainage pipes	... in all 10 persons,
... from Kar-kaldayu ... ; Aššur-maqtu-šatbi ... 	... at the left, Aššur-ahu-... 
Aššur-da''in-šarru, eunuch, (was) reporter.	Witness Aššur-šarru-ušur, chariot driver ... 
The priest of Anu, the priest of Adad, the priest of DN, the priest of the Assyrian (Ištar), and the priest of Nabû ... in the rikshaw	(Only) the high priest and the assistant priest, the priest of DN, the priest of Ištar of Nineveh, the ... , the warden of the House of Aššur, and the ... who ascend the dais may enter the holy of holies of Aššur. 
(As for) the field of the Assyrians, held in tenancy, I have told (them) to ... , but they have not agreed to ... 	(As to) the news of the Urarṭians, ... the departure of ... the emissary of the Mannean (king) ... oxen and sheep ... "
Whoever in the future ... 	... whom the king ... 
... of the king, my lord, is with me. Up to one year they will serve in the palace of the king, my lord. This man, who loves ... Dakuru (and) whom your father always ... 	To the king, my lord: your servant Il-yada'. Good health to the king, my lord! The land and the forts of the king my lord are well. The king, my lord, can be glad.
... the kingship and Bel-ibni	... whom the king ... 
... they did not obtain his ... Now then ... 	... ditto, ditto, the front red, of the port; 4 ... ;
... being sold.	... whom the king ... 
When the god Marduk, the great lord, called my name for ruling over the land, made the fame of my royal majesty great among all of the black-headed (people), gave me the people of the four quarters (of the world) to shepherd, ... of his people, ... the four quarters (of the world),	When the god Šamaš and the goddess Annunītu called (me) by name for ruling over the land (and) placed the lead-rope(s) of all the people in my hands — at that time, (with regard to) Ebabbar, the temple of the god Šamaš of Sippar, my lord, and Eulmaš, the temple of the goddess Annunītu of Sippar-Annunītu, my lady,
... they are in Babylon	... they removed again
... you did not cheat ... 	... whom the king ... 
a seal of agate; 7 kidney-shaped gems of agate;	x, troops of the king, of the land of Sallat;
... attacked ... 	... we captured
had ... 	Witness ... 
... their heart	... we captured
I know (that) the crown prince, my lord,	... Aššur to the king, my lord ... 
... like this	... we captured
17 shekels of silver belonging to Ištar of Arbela, belonging to Nabû-iqbi, at the disposal of Mutaqqin-Aššur, at the disposal of Aššur-reši-išši.	Two minas of silver by the mina of Carchemish, belonging to Sin-remanni, at the disposal of Mannu-ki-Issaran, major-domo of the viziers.
As to the Aramean troops about whom the king, my lord, wrote to me:  "Equip them! They are going on a campaign." I will give them their  (travel) provisions, sackcloth, leather bags, sandals and oil.	Concerning the people of Barik-il about whom the king, my lord, wrote to me, now then Nabû-šallim of Larak has seized 53 souls and given them to Umadi, the bodyguard of the crown prince.
1 pot stand, for the ritual;	That is bad for the Westland.
The 8th of Nisan (I). 	The 'strength' is absent.
Witness Šulmu-šarri, witness Bel-Harran-ahu-uṣur,	Witness Našuh-ayali, witness Ahi-le'i, viziers.
— ... and stands with Regulus.	... and shall send ... 
... give to the king. Month of Tebet (X), eponym year of  Mannu-ki-mat-Aššur (793 B.C.).	NN, reporter. Month Tebet (X), ... th day, eponym year of Sagab (651).
Month ... , 16th day, eponym year of Zababa-eriba.	Month ... , 23rd day, eponym year of Zazaya.
If (the moon) becomes visible on the 1st day: reliable speech; the land will become happy.	If the moon is seen at an inappropriate time: dispersal of a city.
... of Milki-... 	... whom the king ... 
son of Bi-Dadi,	seal of Adad-naṣir,
Let the king, my lord, write me what (his) orders are.	To the king, my lord: your servant NN. Good health to the king, my lord!
1 cooking pot of copper;	1 ditto of grapes;
In the future, in days to come, may a later prince, when this wall becomes old and dilapidated, restore its weakened (portions). May he restore my inscribed name to its place. (Then) the god Aššur, the great lord, will listen to his prayers.	The gods Aššur and Adad will listen to the prayers of a later prince when that wall becomes dilapidated and he rebuilds (it). May (the same prince) restore my clay cone to its place.
... the Kišites ... 	Witness ... 
Remanni-Adad, chariot driver, has contracted and bought (said people) from these gentlemen for x minas of silver (by the mina) of Carchemish.	Šulmu-šarri, ... has contracted and bought it for 1/2 mina of silver ... 
Ashurnasirpal, king of the world, king of Assyria, son of Tukultī-Ninurta (II), king of the world, king of Assyria, son of Adad-nārārī (II) (who was) also king of the world and king of Assyria.	Arik-dīn-ili, strong king, king of Assyria, builder of the temple of the god Šamaš, the exalted shrine, for posterity;  son of Enlil-nārārī, king of Assyria; son of Aššur-uballiṭ (I) (who was) also king of Assyria:
While work on the altar was being done, the House of Aššur was cleared. The ... was turned into the storehouse of Ninurta and separated from ... 	The king sent the letter of Balassu, (and) for three years we have kept the guard with the noblemen of Assyria, (and) our land has feared the king.
when help ... 	Witness ... 
If the moon rides a chariot in month Sililiti: the dominion of the king of Akkad will prosper, and he will capture his enemies.	If the moon becomes visible on the 1st day: reliable speech, the land will become happy.
you have turned the palace into a ... 	of the campaign ... 
... back ... 	4 minas ... ;
At the mention of your weighty name, by the command of your great divinity she will rise up ... "	Be present in this ram, place (in it) a firm positive answer, favorable designs, favorable, propitious omens by the oracular command of your great divinity, and may I see (them).
... the Arameans	... we captured
Land of Melid, Philistia	Bond of the lands, Arbela!
Witness Sangû-Issar.	Witness ... 
about whom you wrote,	they wrote ... 
The deportees and the pack animals are well; the king, my lord, can be pleased.	The forts and the land of the king, my lord, are well.
Witness Addî, chariot driver.	Witness Azi-il, scribe.
from my presence ... 	my lord ... 
(When) I am angry in my temple, who ... ?	has made an agreement with ... 
... I did not take ... my ... I set out and ... in the neighborhood of the city of the Brook of Egypt, a place that has no river(s) ... water drawn by bucket ... where thirst (and) hunger ... 	(... ) A second time I marched to the land Mari ... The kings of the people of the city Qatnu, the king(s) of ... the family whose fathers ... , his ... and his wives ... at the edge of the plain ... together with his brothers ... 
2 of carnelian ... ;	4 minas ... ;
I.e., it becomes visible on the 1st day.	If on the 1st day,
I have written all that I have heard ... 	have become submissive. What the chief ... 
whether ... or ... or a strong enemy will attack NN and the army of Esarhaddon, king of Assyria,	The word of Ištar of Arbela to Esarhaddon, king of Assyria:
Witness ... ṣu, eunuch ... 	Witness ... 
12 cavalry horses, ... 	... and shall send ... 
... goes down. The king has ... to his servant ... 	... ditto, ditto, the front red, of the port; 4 ... ;
... Borsippa  ... 	4 minas ... ;
Witness Banî, scribe.	Witness ... 
When rains become scarce in Akkad, do this!	The moon will become visible in Adar (XII) on the 30th day.
As to what the king, my lord, wrote to me: "The Ukkaean has sent me the following message: 'At this very moment I am going ... 	As to what the king, my lord, wrote to me: "When are they going to cast the gate column-bases for the portico of the hilānu palaces?"
(and) of Susu'a, ... 	... and shall send ... 
... evil names ... , this caused them to sin.	... we will go and ... the face
I have built here a ... with the Gambuleans.	... we will go and ... the face
Concerning the wall about which ... 	of the campaign ... 
Ulaya: the guardian of its city.	... to the bodyguard and to ... 
Witness Nabû-balassu-iqbi, scribe, keeper of the document.	Witness Marduk-zeru-ibni, scribe.
(from) Bīt-Adini and the land Ḫatti, and from Lubarna, the Patinu. I settled (them) therein. I cleared away the old ruin hill (and) dug down to water level. I sank (the foundation pit) down to a depth of 120 layers of brick. I founded therein a palace of cedar, cypress, daprānu-juniper, boxwood, meskannu-wood, terebinth, and tamarisk as my royal residence (and) for my lordly leisure for eternity. I made (replicas of) beasts of mountains and seas in white limestone and parūtu-alabaster (and) stationed (them) at its doors. I decorated it in a splendid fashion; I surrounded it with knobbed nails of bronze. I hung doors of cedar, cypress, daprānu-juniper, (and) meskannu-wood in its doorways. I took in great quantities and put therein silver, gold, tin, bronze, booty from the lands over which I gained dominion.	I filled in the terrace. I founded therein a palace of boxwood, meskannu-wood, cedar, cypress, terebinth, tamarisk, meḫru-wood, eight palace (area)s as my royal residence (and) for my lordly leisure (and) decorated (them) in a splendid fashion. I fastened with bronze bands doors of cedar, cypress, daprānu-juniper, boxwood, (and) meskannu-wood (and) hung (them) in their doorways. I surrounded them with knobbed nails of bronze. I depicted in greenish glaze on their walls
... the king to me	... we arrived
200 gulēnu-coats of the house ... 	My father's house ... 
The Twins (and) the Narudi; Adad, Šala, Kidinbirbir, DN:	The 1st day (and) the 3rd day are good;
Seal of Lidbubu-lipušu, seal of Ahi-nuri, a total of 2 men, owners of the man being sold.	Seal of ... , owner of the ... being sold.
... sick ears	... we captured
Witness ... Witness Nabuza', merchant.	Witness Ubru-Issar, servant of ... 
Month ... , ... th day, eponym year of Nabû-le'i, governor of Arbela.	Month ... , 23rd day, eponym year of Zazaya.
— The Yoke star means Mars.	The day (means) the sun. 
On the fifth day, monthly, is the procession of Tašmetu;	(On the) 14th day of month of Nisan (I) he led the oxen away.
That which is (written) upon a silver spoon of the goddess Tašmētu of the Inner City (Aššur).	That which was (engraved) upon a seal of lapis lazuli.
Whoever erases my inscribed name (or) places (it) in the service of a god or (another) person, may the deities Aššur, Sîn, (and) Šamaš make his name (and) his seed disappear.	As for the one who removes my inscriptions and my name: May the god Aššur, my lord, overthrow his sovereignty (and) destroy his name (and) his seed from the land.
Let me resettle the ruined lands ... for the king, and let ... by the king's command.	I have sent ... to the king, my lord; the king may act as  it (best) suits the king, my lord.
... I received, before Anu	... we arrived
"... Reap your harvest ... 	... whom the king ... 
married ... 	Witness ... 
Seal of Na'id-Issar, seal of Aššur-matka-da''in, sons of Issar-šumu-iddina, weaver of the queen, owner of the man being sold.	Seal of Bel-aplu-iddina, chief singer of Til-Barsip, owner of the people being sold.
... another ... 	Witness ... 
or ... , or the palace superintendents, the staff-bearers (and) the watchmen, or the mounted scouts (and) the trackers,	or the keepers of the outer gates, or the attendants of the mule stables, or the lackeys, or the cooks, confectioners (and) bakers, the entire body of craftsmen,
5 cups for the bathroom;	A case for spears, of iron;
total 5, at 2 seahs each.	Total, 2 talents ... 
Witness Šulmu-beli, village manager.	Witness Azi-il, scribe.
... reached Aries.	... we arrived
they are ... persons ... 	1 ... -garment ... ,
Now then the army of the king, my lord, has raised its weapons against the Mannean and will tear down his royal city. There is nothing in these signs that would concern the king, my lord, and his country.	Let them accept and assign ... where the king my lord asked, and let him go to his duty and invoke blessings upon the  king my lord before Sin and Nikkal.
The king goes straight to the house. Šerua, Kippat-mati and Tašmetu go to the palace and sit down in the Labbunu-house. The king performs a sheep offering, provides cooked meat, and ‘arouses’ the House of God. 	The king raised Lord Tiara, lifted it upon his head and brought it into the house of Anu. Šerua, Kippat-mati, Tašmetu, the Axe and Kutatati went with Lord Tiara to the house of Anu.
2-year-old,	3-year-olds,
opposite ... 	Witness ... 
The messenger of Aššur-patinu is now coming."	Fingernail of Aššur-na'di, son of Mardanu, owner of the man being sold.
Palace of Ashurnasirpal, king of the world, king of Assyria, son of Tukultī-Ninurta (II), king of Assyria, son of Adad-nārārī (II) (who was) also king of Assyria: plunder from the city Mariru of the land Ḫatti.	Arik-dīn-ili, strong king, king of Assyria, builder of the temple of the god Šamaš, the exalted shrine, for posterity;  son of Enlil-nārārī, king of Assyria; son of Aššur-uballiṭ (I) (who was) also king of Assyria:
20 ... ;	Witness ... 
... Remanni-ilu ... 	... whom the king ... 
May the goddess Ningal, the supreme lady, say good things about me in your presence.	And the artisans will make a golden statue  of ... in my presence.
Concerning the masons of Cutha, about whom the king said:  "I shall send word. They will do (it)."	Concerning the application of the ṣillibānu-treatment about which the king, my lord, said: "It is very hot" — 
Witness Silim-Adad.	Witness ... 
Disregard that the days ... 	... and shall send ... 
... , in all 4	... whom the king ... 
... habbur-wine;	... we captured
If he does not, he shall pay (in) silver according to the market price of Nineveh.	An estate of x hectares of field according to the seah of 10 'litres' ... 
Month Tishri (VII), 25th day, eponym year of Aššur-da''inanni of Que.	Month ... , 23rd day, eponym year of Zazaya.
1 golden dress pin; a golden ... , a ditto (= golden) falcon on it; a ... of obsidian, lapis lazuli and carnelian;	x ... of obsidian, lapis lazuli and carnelian;
... Nabû-balliṭanni ... 	... and shall send ... 
about which the king, my lord, wrote to me,	To the king, my lord: your servant NN. Good health to the king, my lord!
